rank	username	minecraft:mined/minecraft:white_terracotta
1	MilleGrug	21404
2	Barlycorn	14528
3	joethahobo	11963
4	TheShyPig	8292
5	Inbefour	8006
6	Spacewardharpy7	6641
7	Rumpletaezer	5660
8	Skylord_Luke	5343
9	Snowflowe	5208
10	EveryonesUncle	5096
11	EcksD	4528
12	Huwulling	4507
13	Karbl	3887
14	RatatJuice	3263
15	Sral7	3033
16	RebelAndroid	3022
17	Steelynan	2963
18	thewindmillman	2946
19	kekhon	2714
20	lordpipe	2498
21	EMC_	2480
22	Mahoose	2417
23	TheSecondLord	2318
24	Onennon	2185
25	ConnorDanky_	2179
26	The_SlideV5	2018
27	Hoid_the_Roamer	1961
28	Soplight	1892
29	xolstoi	1879
30	YungMaki	1832
31	SuperPooch06	1793
32	GoofySilly	1779
33	QuiCreans	1634
34	DarlaMeow	1584
35	Hyp3rion_	1499
36	Euclidoris	1474
37	Dusk_95	1466
38	FreakGenius	1445
39	_Bguette_	1380
40	CoffeeNoir	1236
41	Werbe	1231
42	Merv__	1172
43	heckface	1143
44	Wooptey	1099
45	Fullut	1048
46	QueenShuvi	970
47	audiocracked	932
48	Historical_Sand	916
49	PlasticOtari	862
50	livingdaydreams	840
51	Eczbek	834
52	diggydog67	825
53	TooManyDuck	788
54	Enderxz3	770
55	Parcc	728
56	set67	716
57	yulgur1	699
58	SellyZ	696
59	The_slideV3	683
60	_Karmaa	680
61	_8man	637
62	UrbanPlanningEx	630
63	MirielThePastor	613
64	Blu3beast	609
65	Kamflame10	577
66	KingMatthew506	557
67	NomadicRobin_	553
68	Hermanni__	548
69	gcaisawesome	497
70	El_Jalapeno	460
71	gabriels543	455
72	Nyxiom_	448
73	Kakolbus	447
74	the_russell1611	429
75	500am	421
76	F_Uhre	418
77	00000000-0000-0000-0009-01ff0c3e5e4f	413
78	Smoke____	409
79	titanlax	407
80	Deodorante	401
81	cog	388
82	shineh10	387
83	RoofTyler	380
84	groofles	375
85	Ezekson	361
86	ProfessorBee	359
86	ImDisconnected_	359
88	fanofbands101	344
89	AuroraValkyrie	300
90	Jakobo1337	289
91	AgressiveEggdog	286
91	beeperbeeper5	286
93	djancak	283
94	Blaiku	281
95	ApophisNova	278
95	MyNamaSheff	278
97	SpaceTurtleOX	270
98	Lord_Jord	266
99	MAns_44	261
100	mariominejedi	256
101	Swexti	252
102	mwrty	251
103	masskedman	249
104	theonlymagikarp	242
105	TechnoNinja64	236
106	SpouHn	220
107	Di_infiri	208
108	NATE_the_HALO	200
109	Comma__	194
110	Kowcio_	189
111	PhantomsGhost_	187
112	fkGrim	179
113	eitanzaki	178
114	fluddd	172
115	SDMNAEK	168
116	Alteriity	158
117	Ozixar	156
118	PegLegPete93	152
119	wobn	150
119	lillips	150
121	The11thDoctor	147
122	Zaridey	146
123	pintsizedrogue	141
124	Dan_Scha	140
125	Nycteus_	139
126	himak1	138
127	RoskobiOne	135
127	HyperCave	135
129	iHuBlack	132
130	ougstur	129
131	Stynxy	126
132	ProbablyNick	123
133	CarltheCuck	122
134	elicobnoah	118
135	Noah_Bez	113
136	Groovy_MoonBird	112
137	Bumpy419	102
138	Tristankill	100
139	Natty	97
140	Blamphe	93
141	jcool7	86
142	emrekn	78
142	Inchef	78
142	_Boipl_	78
145	noam464	77
146	Sabby65	74
147	Juk3b0x	67
148	xxPipperDipperxx	66
148	Nicserso	66
150	MangoTheFish	65
151	natajimi	64
151	CuzIm2Kev	64
153	thescout7	61
154	NameGenerat0r	59
155	CarryLine	57
155	Elastiq	57
157	ImpavidArcher	56
157	the__Reaper4999	56
159	ROY4LE	55
159	Powowowow	55
161	Crowman1	54
161	how_are_you	54
163	MeowMeowMcmuffin	53
164	ItsDeltaMC	52
165	KarlKaek	51
165	MyNameIsJobo	51
165	LexMakesHistory	51
168	Mr_Byzantine	50
169	duqboy	49
170	little_dUki	48
171	rats_life	47
172	fr0stss	44
173	XboxPanda	41
173	Moofyman	41
173	ZeroKraken	41
176	olliebollie48	40
177	Frozil20	37
177	Myszoaz	37
177	Jackattack53	37
177	DanTheBuilderino	37
181	_Virify_	36
182	Chrisdeadeye	33
182	RealGroot	33
184	Jimb0nat0r	32
185	Sleepy_Time_	31
186	jnp_gaming	30
187	rarrq	29
188	DepressedCubic	27
188	lorpus	27
188	Akoot_	27
188	MyNameIsDakar	27
192	soundad	26
192	StinkyDiplomat	26
194	TheEnderMan548	25
195	XxCookiequeenxX	24
196	Mookle96	23
197	seanitoo	22
198	ShedJr_	21
199	Rebytre	19
199	SSytex_X	19
199	Luigipunch989	19
202	Thaumatarge	18
202	Esme_1	18
204	m_be9	17
205	Meatlaugh	16
206	WinterYoke	15
207	Tyrannosplart	14
208	MovingFish7	13
208	AltnumberF4	13
210	2Stout	12
210	impossibleteapot	12
210	ReflexCode	12
213	AlexxO_o	11
213	claivin	11
213	MightyWertu	11
216	Jovaphobic	10
217	NatalieTW	9
217	301851	9
217	AnnieBathory	9
220	asspharte	8
220	IamCL4SSY	8
220	yatsuta	8
220	__tomato	8
224	Bandito_Roamer	7
224	StylesK	7
224	SaintJosie	7
224	Kijiki	7
224	Skippeh	7
224	Legendosh	7
230	Blackberry1310	6
230	fade_emerge78823	6
230	Xalithia	6
230	J4ko8_	6
230	SvenskaHugo	6
230	xzvu	6
236	tuckerdoodle	5
236	Toriankel	5
236	monky_irl	5
236	07shiny	5
240	Eraza	4
240	andy_rex	4
240	luseis	4
240	Optiprimus	4
240	tsitrawhy	4
240	SammiWolfGirl	4
240	monolu	4
247	6king6colt6	3
247	LeDuctTape	3
247	Taddaiv	3
247	Mattesco	3
247	RedcatVII	3
247	OffWithTheirHead	3
247	mihimihimihi	3
247	alderban107	3
247	CattSoup	3
247	trexgb	3
257	Hpdinosaur	2
257	Cats_Fly	2
257	Da_Boss_Rani	2
257	eclipseboi	2
257	legal_tax_evader	2
257	Rocco_Lane	2
257	Vetral1	2
257	Cyber_Stealth05	2
257	sxc_	2
257	NoChumpChange	2
257	teakings	2
257	stavgod	2
257	MineMaster0012	2
257	gusstationwerker	2
257	Deliriohm	2
272	SmashingPump	1
272	Iagoku	1
272	_Razaria	1
272	ZaneABrain	1
272	MrKrabOnCoke	1
272	Whiterooster001	1
272	Devintronix	1
272	12Magner05	1
272	pr33tu	1
272	groggregg42	1
272	KGTV	1
272	r123moore	1
272	benediktine1	1
272	Winklepicker279	1
272	Marbz_	1
272	Freeman666	1
272	Doom_melon	1
272	calajimi	1
272	Hiryu27	1
272	k1ngGilgamesh	1
272	Kouridragon	1
272	wfk7	1
272	XeroByMyth	1
272	lizardfightclub	1
272	Maenara	1
272	Fuad_R	1
272	Shogunite	1
272	Razzgriz	1
272	Eraxa	1
