rank	username	minecraft:picked_up/minecraft:azure_bluet
1	noam464	12966
2	El_Jalapeno	1355
3	eitanzaki	1327
4	lillips	864
5	Inbefour	664
6	Di_infiri	553
7	audiocracked	543
8	Groundler	516
9	HellsSponge	498
10	thescout7	479
11	EveryonesUncle	454
12	500am	432
13	Winklepicker279	382
14	MousePlays	376
15	TechnoNinja64	367
16	YungMaki	358
17	ROY4LE	338
18	oxfordschool	307
19	Kakolbus	296
20	Snowflowe	288
21	Mahoose	283
22	Groovy_MoonBird	267
23	EMC_	227
24	TheShyPig	225
25	Quotary	220
26	Rasmanden	201
27	Warlord324	200
28	Freak_Genius	186
29	kekhon	185
30	epiksk8erduck	182
30	lordpipe	182
32	Fullut	160
33	Nicserso	159
34	KartivGal	152
35	Lord_Jord	151
36	Blackberry1310	148
37	BlancoFlaco	146
38	Steelynan	143
39	beeperbeeper5	136
40	Yatitay	134
41	pintsizedrogue	132
42	orxngejuice	130
43	Lutres_Torane	128
44	LordSpeed37	127
44	__tomato	127
44	Njensen7	127
47	Smoke____	124
48	Hyp3rion_	118
48	lcvezra	118
50	Onennon	116
51	Jiminie	113
52	jnp_gaming	101
53	Skylord_Luke	96
53	Legendosh	96
55	cedric72	95
56	ApophisNova	90
56	MyNamaSheff	90
58	Rumpletaezer	89
59	SuperPooch06	88
59	Werbe	88
59	DarlaMeow	88
62	EcksDofficial	83
63	MangoTheFish	82
63	claivin	82
63	KingMatthew506	82
66	MattieHD	81
66	xxPipperDipperxx	81
66	Blaiku	81
69	RobotMinion101	71
70	CoffeeNoir	70
71	joethahobo	68
71	pappaberg	68
73	set67	67
73	breadbowlgamer	67
75	Malorn_Aetherius	66
75	PeteO1995	66
77	SellyZ	65
78	wezzzi	64
78	Xclax101	64
80	SammiWolfGirl	63
81	TheSecondLord	62
81	The_slideV3	62
83	Sral7	60
84	SaucyDark	59
84	_Boipl_	59
86	Deathkob	58
87	ImpavidArcher	56
87	DAD_1996	56
87	Frozil12	56
87	djancak	56
87	_TCARREIRA_	56
92	Notta	55
92	hcb238	55
94	PortlyPete69	54
95	Kubelz	51
95	AnnieBathory	51
95	NormanFetus	51
95	_k2x	51
95	Sheldor097	51
100	IAmTheWalrus910	50
101	AuroraValkyrie	48
101	Akoot_	48
103	Merv__	47
103	King_Pancake1	47
105	Avrelion	46
105	Chromary	46
107	Bandito_Roamer	45
107	Wolf_Mauler_73	45
107	Spacewardharpy7	45
107	Kowcio_	45
111	chipklip	44
111	Racengan	44
113	CollinMH06	43
113	RedcatVII	43
115	diggydog67	42
116	PhantomsGhost_	41
116	livingdaydreams	41
118	Menthas	40
118	Reamdin	40
118	titanlax	40
118	FishyBoy3811	40
122	cowgirlkasia	39
122	_zzoe	39
122	Blu3beast	39
125	M_Patata	36
125	MasterNueve	36
127	emrekn	35
128	G1ldor	34
128	Marbz_	34
128	GlitchyPlate810	34
131	Ssor69	33
131	_Karmaa	33
133	PigDab	32
133	GravitySaint	32
135	Mr_Byzantine	31
135	Arceus1975	31
135	MyNameIsDakar	31
138	m_be9	30
138	FetteMutter	30
138	WyngGoy	30
138	pixelviolin	30
142	MSK__	29
142	LilLizardWizard	29
144	Jackattack53	28
144	anbbang	28
146	teslawolf38	27
147	Windo_licker	26
147	MyNameIsJobo	26
147	TheSeismicDuck	26
150	slkiey	25
150	RodSerlingCringe	25
150	DanTheBuilderino	25
150	Barlycorn	25
150	TrollerYT	25
155	Jovaphobic	24
155	toetagnyc	24
155	monky_irl	24
158	0nly_sn1per	23
158	Fast_Turtle	23
158	tobinwilliams	23
158	Fuhrer_Teemo	23
158	Serval2000	23
163	picardred	22
163	thewindmillman	22
163	Bumpy419	22
163	wilgot_	22
163	Lirael42	22
168	KarlKaek	21
168	surfinggiraffejp	21
168	sp00ky_ghost977	21
171	MunkaKris	20
171	6king6colt6	20
171	NoxxxxiS	20
171	AJplaysMC_	20
171	burbankbuilder28	20
171	ReyTheLegend	20
171	stellarjay	20
171	CalebDHawk	20
179	RebelAndroid	19
179	ItsAki_	19
179	The11thDoctor	19
179	NomadicRobin_	19
179	MovingFish7	19
179	Soplight	19
179	SSytex_X	19
186	Ganongeek	18
186	Natty	18
186	12Magner05	18
186	StanceTB	18
