rank	username	minecraft:picked_up/minecraft:birch_button
1	500am	967
2	EcksD	205
3	thewindmillman	81
4	EMC_	64
4	Legendosh	64
6	MangoTheFish	58
7	Rasmanden	52
8	YungMaki	40
9	eitanzaki	34
10	Sral7	33
11	Fildyr	31
12	mwrty	28
12	noam464	28
14	Freak_Genius	27
15	PigDab	25
16	xxPipperDipperxx	20
16	Soplight	20
18	Snowflowe	19
19	lordpipe	17
19	Spenduh	17
21	TheSecondLord	13
21	Hyp3rion_	13
23	Mahoose	12
23	Smoke____	12
25	rarrq	10
25	IAmTheWalrus910	10
27	Ezekson	9
28	SuperPooch06	8
28	DAD_1996	8
28	TheShyPig	8
28	claivin	8
28	Kowcio_	8
33	NotMeanttoChange	7
33	Motsaro	7
33	Jackattack53	7
33	SvenskaHugo	7
37	pintsizedrogue	6
37	kekhon	6
37	_Nuf	6
37	_Dean_123	6
37	HypixelForums	6
37	jake314810	6
37	DeGodz4life	6
44	bloodbiter	5
44	swag_bro2004	5
44	El_Jalapeno	5
44	GravitySaint	5
44	Kateesaur	5
49	The_Great_Jake	4
49	teslawolf38	4
49	xPixelRainx	4
49	EveryonesUncle	4
49	The_Skramz	4
49	Deerfoot	4
49	_Ruzeeq_	4
49	Shin69	4
49	UCP_TheKingK	4
49	camando92	4
59	ivorico	3
59	joethahobo	3
59	thescout7	3
59	Awyrlas	3
59	Mewar	3
59	ROY4LE	3
59	hcb238	3
59	Chromary	3
59	ApophisNova	3
59	YahooScreen9000	3
59	Akoot_	3
59	NameGenerat0r	3
59	bndo	3
59	bloomkieren	3
59	Steelynan	3
59	Eczbek	3
59	Kubeusz2010	3
59	MissCeleste7	3
59	MyNamaSheff	3
59	Yahrto	3
79	_Virify_	2
79	Mr_Byzantine	2
79	T045RTY	2
79	Cryptacity	2
79	Jokerman369	2
79	ayqq	2
79	SullyhS	2
79	loveseeker	2
79	420BreadLizard	2
79	Leeeegend	2
79	BumbleBeever	2
79	SkateboardR6	2
79	djancak	2
79	fffMike	2
79	LeeMcGee30	2
79	Winston_Ingram	2
79	Nicserso	2
79	TechnoNinja64	2
79	Zoeyfortnite	2
98	Sleek_Storm_721	1
98	Dedalus36	1
98	ImpavidArcher	1
98	hm947	1
98	ShedJr_	1
98	oreee	1
98	nocturne78	1
98	beeperbeeper5	1
98	Whiterooster001	1
98	Vizzoid	1
98	Blackberry1310	1
98	ProfessorBee	1
98	Scathra	1
98	Bolete	1
98	Kakolbus	1
98	Giannism	1
98	MyNameIsJobo	1
98	Hiryu27	1
98	Werbe	1
98	RobotMinion101	1
98	fred870d	1
98	cedric72	1
98	fxiryglitch	1
98	Sky_light_KING	1
98	SeagullRedRover	1
98	Blu3beast	1
98	DolphinLaugh	1
98	stavgod	1
98	Eraxa	1
98	stahouo	1
98	HAruSAme14	1
98	Njensen7	1
98	KingMatthew506	1
98	Hermanni__	1
98	oxfordschool	1
98	little_dUki	1
98	AltnumberF4	1
98	UrbanPlanner1978	1
98	vandmanden	1
98	Faart	1
98	00000000-0000-0000-0009-01f898304150	1
