rank	username	minecraft:picked_up/minecraft:birch_leaves
1	thewindmillman	14040
2	Smoke____	13541
3	PlasticOtari	8452
4	EveryonesUncle	8331
5	Mahoose	7655
6	Ezekson	4448
7	Cowison	3512
8	Legendosh	3193
9	CoffeeNoir	3147
10	beeperbeeper5	2951
11	Miko_Fullbuster	2661
12	Spacewardharpy7	2210
13	gcaisawesome	2006
14	joethahobo	1639
15	pintsizedrogue	1248
16	LeauVox4921	1116
17	KeruNatsema	1113
18	Di_infiri	941
19	KarlKaek	923
20	ShedJr_	892
21	HesDemonPants	835
22	Marbz_	799
23	HellsSponge	755
24	YungMaki	752
25	ROY4LE	701
26	claivin	697
27	Jimi7hits	690
28	Merv__	629
29	Gamergirl420628	609
30	Werbe	598
31	Jeteight	575
32	Skylord_Luke	530
33	TheShyPig	502
34	The_slideV3	469
35	noam464	445
36	Deerfoot	410
37	Fullut	409
38	CollinMH06	403
39	kyouma777	396
40	Bandito_Roamer	394
41	intropass	364
42	SlayerCrypto	359
43	500am	332
44	Snowflowe	313
45	Akoot_	310
46	Tommhh	284
47	Ryker	282
48	Chazama	274
49	Lez_	252
50	tuckerdoodle	249
51	ewsophie	240
52	NameGenerat0r	239
53	swag_bro2004	236
54	kekhon	228
55	titanlax	220
56	hcb238	216
57	Onennon	214
58	RoskobiOne	213
58	RebelAndroid	213
60	DkansK	210
61	Enderslayerxz3	208
62	boog4loo	201
63	r123moore	197
64	Awyrlas	195
64	Freak_Genius	195
66	Frozil12	192
67	Kubeusz2010	190
68	rarrq	186
69	Steven1282598	178
70	Optiprimus	175
71	diggydog67	174
72	CACTUSLAD	159
73	wwwwinnebagoooo	156
74	TechnoNinja64	155
75	Blaiku	153
75	lordpipe	153
77	CarltheCuck	151
78	lcvezra	148
79	SSytex_X	138
80	SaucyDark	135
81	killmeiamtraitor	129
81	Deguns123	129
83	The_Quack_Dealer	128
84	Steelynan	125
84	FelixPSY375	125
86	groofles	123
86	PortlyPete69	123
