rank	username	minecraft:picked_up/minecraft:blue_stained_glass_pane
1	beeperbeeper5	424
2	Hyp3rion_	282
3	noam464	266
4	El_Jalapeno	264
5	Franco093	160
6	TheShyPig	152
7	Leithz6	112
8	ShedJr_	109
8	2Stout	109
10	ApophisNova	94
10	MyNamaSheff	94
12	epiksk8erduck	91
13	__tomato	78
14	Pickel_Lord	64
15	Eraxa	62
16	masskedman	59
17	ImpavidArcher	55
18	sp00ky_ghost977	40
19	r123moore	36
19	Akoot_	36
21	MightyWertu	31
22	Blaiku	26
22	AssFullaCum	26
24	UltraZombie	25
25	eitanzaki	23
25	TheSecondLord	23
27	Mahoose	22
27	NomadicRobin_	22
29	Freak_Genius	20
29	SSytex_X	20
31	lordpipe	19
32	Di_infiri	18
33	kekhon	17
34	jacxhadow	16
35	Merv__	14
35	teslawolf38	14
35	Toriankel	14
38	rarrq	13
38	Blackberry1310	13
38	UncreativeArtist	13
38	LordSpeed37	13
42	AuroraValkyrie	10
42	EMC_	10
42	T045RTY	10
42	burbankbuilder28	10
42	sebastiensaborio	10
47	pintsizedrogue	9
47	titanlax	9
49	nocturne78	8
49	lcvezra	8
49	TechnoNinja64	8
52	Groovy_MoonBird	7
52	Jiminie	7
52	the__Reaper4999	7
52	Soplight	7
56	Dusk_95	6
56	Legendosh	6
56	HesDemonPants	6
56	jnp_gaming	6
56	Smoke____	6
61	heckface	5
61	NotMeanttoChange	5
61	SuperPooch06	5
64	Hpdinosaur	4
64	xxPipperDipperxx	4
64	walll	4
64	RobotMinion101	4
64	little_dUki	4
69	Drlzyy	3
69	bloodbiter	3
69	__Fanda__	3
69	Zythose	3
69	The11thDoctor	3
69	lillips	3
69	laron58	3
69	EcksDofficial	3
77	joethahobo	2
77	jushykins	2
77	MrExplorer	2
77	ROY4LE	2
77	Onennon	2
77	claivin	2
77	Spacewardharpy7	2
77	stahouo	2
77	kinas45y5	2
86	Mr_Byzantine	1
86	Comma__	1
86	m_be9	1
86	SteveCraftBlocks	1
86	bbquakes	1
86	set67	1
86	Werbe	1
86	gloryoftherain	1
86	OverallConcept	1
86	Frozil12	1
86	KG1999	1
86	ArborTigress	1
86	Kubeusz2010	1
86	Ezekson	1
86	aubergined	1
