rank	username	minecraft:picked_up/minecraft:book
1	TechnoNinja64	23374
2	HellsSponge	17308
3	Hyp3rion_	17273
4	noam464	10670
5	joethahobo	8918
6	Historical_Sand	8903
7	500am	8209
8	beeperbeeper5	6724
9	YungMaki	6156
10	gcaisawesome	5218
11	Lord_Jord	3507
12	kekhon	3237
13	Mahoose	3223
14	Hermanni__	2922
15	Legendosh	2888
16	PigDab	2882
17	Di_infiri	2637
18	oxfordschool	2379
19	Ezekson	1864
20	Akoot_	1832
21	Freak_Genius	1706
22	eitanzaki	1585
23	TheSecondLord	1487
24	Comma__	1483
25	SteveCraftBlocks	1478
26	Enderslayerxz3	1419
27	Blu3beast	1409
28	thescout7	1301
29	Racengan	1248
30	Arceus1975	1212
31	mwrty	1166
32	El_Jalapeno	1139
33	Blaiku	1126
34	chipklip	1055
35	pintsizedrogue	1052
36	aec9	1017
37	Bumpy419	966
38	Merv__	920
39	KarlKaek	901
40	PlasticOtari	883
41	mariominejedi	806
42	Rumpletaezer	804
43	fffMike	773
44	Dedalus36	754
45	Smoke____	753
46	EfficientC52	752
47	Skippeh	749
48	TheShyPig	710
49	Snowflowe	673
50	MightyWertu	669
51	sp00ky_ghost977	636
52	Maenara	622
53	Spacewardharpy7	621
54	Hisiste	615
55	Zaridey	586
56	peach0s	576
57	Drlzyy	555
58	Awyrlas	532
59	JayToe	512
60	NotMeanttoChange	486
60	fw3xywashere	486
62	Werbe	482
63	_Karmaa	456
64	SkateboardR6	448
65	MinttyFressh	440
66	Inbefour	427
66	diggydog67	427
68	Frxnkz	425
69	Warlord324	415
70	Soplight	399
71	m_be9	383
71	pixelviolin	383
73	EveryonesUncle	382
74	Iagoku	363
75	whoaluv	360
76	stahouo	359
77	The_slideV3	353
77	Njensen7	353
79	RebelAndroid	350
79	Spenduh	350
81	sebastiensaborio	341
82	DanTheBuilderino	334
83	T045RTY	311
84	Cocoamallows	305
85	FirsTimeGamingTV	303
86	lcvezra	299
87	MattieHD	297
88	Zoeyfortnite	296
89	lordpipe	291
90	SpookyDraggin	290
91	ROY4LE	287
92	Rich_Kat	277
93	claivin	276
94	ZeroKraken	272
95	Quaintster	267
96	Inchef	261
97	Kakolbus	259
98	Onennon	257
99	thewindmillman	254
100	Marbz_	253
101	NYJ	250
102	_naturell	247
103	Luigipunch989	246
104	Nicserso	245
105	Skylord_Luke	243
106	himak1	241
107	CSG_Haru	240
108	Kyrum2169	234
109	wobn	230
110	PlzNoBM	223
110	Sheldor097	223
112	301851	221
113	OfficerAnvil	220
114	jewbacaman	210
115	Blackberry1310	206
116	jnp_gaming	204
117	Lutres_Torane	200
118	rarrq	199
119	soundad	197
120	lotarp	195
121	Rasmanden	193
122	fluddd	192
123	Karetoko	186
123	SlayerCrypto	186
123	sufjanlover	186
123	Frozil12	186
127	KingFaenor	180
128	33sudo	177
129	ItzWqlfy	175
130	I_Am_Mushkin	173
131	kinas45y5	165
132	bloodbiter	161
133	kars0n	159
134	Vizzoid	157
134	ApophisNova	157
134	MyNamaSheff	157
137	Jovaphobic	151
138	dudcreeper	150
138	zorin123	150
140	SaucyDark	149
140	gabriels543	149
142	livingdaydreams	148
142	uhm__okay	148
144	Sky_light_KING	141
145	Diavri	139
145	Sral7	139
147	xxPipperDipperxx	138
147	EcksD	138
147	vandmanden	138
150	Jackattack53	136
151	Airem_Core	133
152	PegLegPete93	132
153	Malorn_Aetherius	130
154	TheEnderman548	126
155	Hpdinosaur	124
156	set67	123
156	Noah_Bez	123
156	Eraxa	123
159	Xclax101	121
160	TheOuterCore	120
161	Groovy_MoonBird	119
161	Fullut	119
163	Kamflame10	117
163	XxCookiequeenxX	117
163	anbbang	117
163	FelixPSY375	117
167	John6970	114
167	Wolverine4302	114
169	Myszoaz	113
169	fkGrim	113
171	CoffeeNoir	112
171	intropass	112
171	censorsheep	112
174	diamondgolem35	111
174	InfernalMound	111
174	Ardennes	111
177	ImpavidArcher	105
178	SammiWolfGirl	103
179	XboxPanda	102
179	JESS_THE_RERE	102
181	NameGenerat0r	99
182	DarkDescent2392	98
182	ProfessorBee	98
182	KingMatthew506	98
185	stellarjay	96
186	burbankbuilder28	95
187	Razzgriz	93
188	SokaOtaku	90
189	ShedJr_	89
190	Kubelz	88
190	TheDankPlatypus	88
190	MovingFish7	88
193	BRRRN179	87
193	rotten_mango	87
193	NotMeowMix	87
196	Bandito_Roamer	84
196	Natty	84
196	2Stout	84
196	AlexStrange	84
196	SvenskaHugo	84
201	Euclidoris	83
202	Dusk_95	82
203	Mr_Worthless	81
203	teslawolf38	81
203	2blox	81
206	Groundler	80
207	stuy9	78
207	BumbleBeever	78
209	jacxhadow	77
210	CheifJumbo	76
210	stavgod	76
212	TheMilkerOfCats	75
212	Mewar	75
212	Winklepicker279	75
212	Hiryu27	75
212	RedcatVII	75
212	__tomato	75
218	EMC_	74
219	RodSerlingCringe	73
220	featherflyy	72
220	Miko_Fullbuster	72
222	Corbsman	71
223	Kim_Jong_eel	69
223	HolyVenom	69
225	EcksDofficial	68
226	emrekn	67
226	NomadicRobin_	67
228	Mercadies	66
229	12Magner05	64
229	egglapras	64
229	LilyNova	64
229	MustaLoordi	64
229	TrollerYT	64
234	Ssor69	63
234	FishisTTV	63
236	CliffEmAll	62
236	natajimi	62
236	KG1999	62
239	pappaberg	60
239	Deathkob	60
241	Swexti	59
242	MSK__	58
242	DennyKai	58
244	PhantomsGhost_	57
244	Jackster03	57
244	Meatlaugh	57
244	laron58	57
248	Xalithia	56
249	YungJakobo	55
249	ProbsNotNova	55
251	Hyugo	54
251	AssFullaCum	54
251	mobunni	54
254	CaptainDeadBread	53
254	IAmTheWalrus910	53
256	Kynigito	52
256	masskedman	52
256	Kowcio_	52
256	WYFYoyo	52
260	BodaciousCake	51
260	Kkanot	51
260	fred870d	51
260	Matorz	51
260	561cool	51
265	WET_WET_WET	50
266	TooManyDuck	48
266	Upstro10	48
266	MyNameIsJobo	48
266	AmbroseForLife	48
266	CarryLine	48
266	Decaying_Lotus	48
266	underscore_2	48
266	Dogcorn69420	48
266	RadarHz	48
266	_AAZAR	48
266	Earlesstrain4	48
277	Stynxy	46
278	MOSS000	45
278	Enigma0251	45
278	Quincannon	45
278	MAns_44	45
278	FlashMigma	45
278	The_SlideV5	45
284	Ozixar	44
284	NoChumpChange	44
284	jcool7	44
287	SlowMoNinja1994	42
287	_Nuf	42
287	Stiar	42
287	ouija_	42
287	Purplehere	42
287	Giannism	42
287	AJplaysMC_	42
287	NoobSlayerPro	42
287	GravitySaint	42
287	radioactv_jelly	42
287	Moetis	42
298	Windo_licker	41
299	_Dean_123	40
299	eiC_	40
