rank	username	minecraft:picked_up/minecraft:brain_coral_block
1	TheShyPig	767
2	ImpavidArcher	434
3	pintsizedrogue	432
4	_Dean_123	307
5	Kouridragon	302
6	YungMaki	280
7	Jovaphobic	248
8	HellsSponge	237
9	Hyp3rion_	233
10	Enderslayerxz3	192
11	AuroraValkyrie	183
12	Vetral1	178
13	Di_infiri	172
14	Jiminie	170
15	thewindmillman	138
16	RoskobiOne	136
17	fkGrim	122
18	PlasticOtari	109
19	500am	104
20	Nagasaki_Riku	102
21	Kakolbus	101
22	lordpipe	94
23	EcksD	93
24	Merv__	85
24	Mewar	85
26	tsohomie	84
27	Xclax101	79
28	eiC_	78
28	Inbefour	78
30	Nicserso	76
31	Fullut	74
31	Maenara	74
33	ApophisNova	70
33	MyNamaSheff	70
35	livingdaydreams	64
35	xxPipperDipperxx	64
37	Rumpletaezer	61
37	Arceus1975	61
37	Eerini	61
40	ShedJr_	59
41	Iagoku	56
41	groofles	56
43	Ssor69	55
44	12Magner05	54
44	aec9	54
46	oxfordschool	51
47	Onennon	48
47	Karbl	48
49	Xalithia	47
50	r123moore	45
51	Skylord_Luke	42
51	__tomato	42
53	TheSeismicDuck	41
54	djancak	37
55	SaucyDark	34
55	Noah_Bez	34
57	AvaRosey	32
58	burbankbuilder28	31
58	Smoke____	31
60	kekhon	29
60	PortlyPete69	29
62	MyNameIsJobo	25
63	urbeans	24
63	NameGenerat0r	24
63	stellarjay	24
66	SpacesickPrism	23
67	Bandito_Roamer	21
68	diamondgolem35	20
68	Jackattack53	20
70	Werbe	19
71	Marbz_	18
71	SuperPooch06	18
71	Legendosh	18
74	monky_irl	17
74	h2p_emrld	17
76	ratglock	16
76	noam464	16
76	Voxin2K	16
76	Fizznut909	16
76	Quotary	16
81	eitanzaki	15
81	Rebytre	15
81	jnp_gaming	15
84	Dusk_95	13
84	laron58	13
86	_Karmaa	12
86	Freak_Genius	12
88	ZoharGoldMine	11
88	KingMatthew506	11
90	Jiminbub	10
90	claivin	10
92	erkada	9
93	Powowowow	8
94	Mahoose	7
94	emrekn	7
94	IdeallyGrey	7
94	diggydog67	7
98	KarlKaek	6
98	RatatJuice	6
100	Prismyst	5
100	El_Jalapeno	5
100	Blaiku	5
103	shyshyannne	4
103	Shiirazuku	4
103	balin55	4
106	Jimi7hits	3
106	StinkyDiplomat	3
106	Blu3beast	3
106	censorsheep	3
106	Sral7	3
111	joethahobo	2
111	beeperbeeper5	2
111	Stynxy	2
111	paranoid_plant	2
111	_Cloverbelle_	2
111	Quaintster	2
111	Typadopoulos	2
111	Ezekson	2
119	TheSecondLord	1
119	jacxhadow	1
119	MattieHD	1
119	ProfessorBee	1
119	surfinggiraffejp	1
119	TheDankPlatypus	1
119	Zaridey	1
119	CruncyIsTaken	1
119	Sky_light_KING	1
119	Deathkob	1
119	SingedBread	1
119	Kowcio_	1
119	lcvezra	1
119	Steelynan	1
119	TechnoNinja64	1
119	Zoeyfortnite	1
