rank	username	minecraft:picked_up/minecraft:bucket
1	Hyp3rion_	10923
2	Marbz_	3801
3	noam464	3661
4	thewindmillman	1607
5	Mahoose	692
6	HellsSponge	447
7	Freak_Genius	385
8	Jackattack53	372
9	El_Jalapeno	360
10	eitanzaki	303
11	joethahobo	289
12	beeperbeeper5	264
13	Smoke____	257
14	Di_infiri	237
15	thescout7	222
16	kekhon	207
17	Blackberry1310	198
18	Legendosh	176
19	Akoot_	171
20	Werbe	169
21	PigDab	156
22	Frozil12	141
23	TechnoNinja64	112
24	himak1	101
25	SammiWolfGirl	90
26	censorsheep	89
27	EcksDofficial	87
28	Rebytre	82
29	Blaiku	81
29	h2p_emrld	81
31	Soplight	80
32	PlasticOtari	77
33	fffMike	75
34	ROY4LE	73
34	YungMaki	73
36	prizm_	69
37	PhantomsGhost_	66
38	Spacewardharpy7	65
39	Ezekson	62
40	TheShyPig	59
41	EMC_	57
41	_Nuf	57
41	lillips	57
44	TheSecondLord	56
45	ImpavidArcher	53
45	cedric72	53
47	chipklip	50
48	GingerNeutron	49
48	Blu3beast	49
50	Segotep999	48
51	KarlKaek	46
52	TheThomas69	45
52	500am	45
54	stavgod	41
55	xxPipperDipperxx	39
56	Spaghettatron	38
56	Enderslayerxz3	38
58	Arceus1975	37
58	lordpipe	37
58	jnp_gaming	37
61	Inbefour	36
62	rarrq	35
63	Kakolbus	34
63	SuperPooch06	34
65	pintsizedrogue	33
65	MyNameIsJobo	33
65	MyNameIsDakar	33
68	Franco093	32
68	lcvezra	32
70	T045RTY	31
70	gaziter10	31
70	Onennon	31
70	_Bguette_	31
70	oxfordschool	31
75	Jovaphobic	29
75	Merv__	29
75	PortlyPete69	29
78	6king6colt6	28
78	Jiminie	28
78	NameGenerat0r	28
81	Lord_Jord	27
81	WyngGoy	27
83	Mr_Byzantine	26
83	CoffeeNoir	26
83	NotMeanttoChange	26
83	ApophisNova	26
83	groofles	26
83	__tomato	26
83	MyNamaSheff	26
90	SvenskaHugo	25
91	set67	24
91	Bumpy419	24
91	GravitySaint	24
91	BlankityMcBlank	24
91	KingMatthew506	24
96	Historical_Sand	23
96	Afinnity	23
96	AvaRosey	23
96	tsitrawhy	23
96	Steelynan	23
101	Covalents	22
101	_Boipl_	22
101	Racengan	22
101	Kowcio_	22
101	Kateesaur	22
