rank	username	minecraft:picked_up/minecraft:chain
1	noam464	4689
2	Freak_Genius	1730
3	thewindmillman	1705
4	Legendosh	843
5	beeperbeeper5	578
6	SammiWolfGirl	518
7	pintsizedrogue	473
8	ImpavidArcher	342
9	Mahoose	295
10	sebastiensaborio	284
11	OtariCharlie	250
12	Smoke____	194
13	12Magner05	182
14	SkateboardR6	180
15	MangoTheFish	168
16	burbankbuilder28	158
17	Frozil12	132
18	PigDab	129
19	Norrhede	128
20	Kakolbus	119
21	kekhon	114
22	Blaiku	105
23	500am	103
24	eitanzaki	102
24	Enderslayerxz3	102
26	mwrty	100
27	EveryonesUncle	95
28	Merv__	87
29	livingdaydreams	85
30	jacxhadow	81
31	Eraxa	80
32	Blackberry1310	78
33	Soplight	77
34	Werbe	76
34	AssEatrAndLicker	76
36	Kubeusz2010	73
37	anbbang	67
38	ROY4LE	66
39	iMiszel	64
39	cichy096	64
41	fanofbands101	62
42	TheShyPig	60
43	Fullut	59
44	xxPipperDipperxx	57
44	fred870d	57
46	Flores991	53
47	Cowison	48
47	Quotary	48
49	Winklepicker279	47
50	Dusk_95	42
51	MyNameIsDakar	41
52	Historical_Sand	37
53	Chromary	35
54	ApophisNova	32
54	MyNamaSheff	32
56	Mr_Byzantine	30
56	_Dean_123	30
58	TheSecondLord	28
59	gcaisawesome	27
59	Akoot_	27
61	RodSerlingCringe	26
62	joethahobo	23
63	rarrq	22
63	Ezekson	22
65	r123moore	21
66	Lord_Jord	20
66	_Karmaa	20
66	Eczbek	20
69	bloodbiter	18
70	Zythose	17
70	Skylord_Luke	17
70	Luigipunch989	17
73	KarlKaek	16
73	BobDeBouwer1337	16
73	MrExplorer	16
73	HellsSponge	16
77	Awyrlas	15
77	2Stout	15
77	YungMaki	15
80	Myszoaz	14
80	Inchef	14
80	Arceus1975	14
80	Shogunite	14
80	IdeallyGrey	14
85	SingedBread	13
85	SvenskaHugo	13
87	Swexti	12
87	ogoa	12
87	2blox	12
90	himak1	11
90	purpolepickle	11
90	Marbz_	11
90	lordpipe	11
94	Dedalus36	10
94	CoffeeNoir	10
94	Mimiir345	10
94	MousePlays	10
94	KeruNatsema	10
94	MightyWertu	10
94	Spacewardharpy7	10
94	ZeroKraken	10
102	Ze_BaronKrigler	9
102	Optiprimus	9
102	djancak	9
102	Erased_Identity	9
106	noodlepack	8
106	Di_infiri	8
106	EcksDofficial	8
109	Tommhh	7
109	RatatJuice	7
109	SpaceGrenadier	7
109	CalebDHawk	7
109	WYFYoyo	7
114	Travasaur	6
114	Nesquiczek	6
114	CharlieButt	6
114	Nycteus_	6
114	ElectricDragon81	6
119	AuroraValkyrie	5
119	TheFlfthHorseman	5
119	benediktine1	5
119	CheifJumbo	5
119	GlitchyPlate810	5
124	_stets	4
124	ShedJr_	4
124	titanlax	4
124	SteveCraftBlocks	4
124	SlayerCrypto	4
124	Snowflowe	4
124	Hoid_the_Roamer	4
124	seramalen	4
124	FishyBoy3811	4
124	brofrickcheaters	4
124	FishisTTV	4
135	Groovy_MoonBird	3
135	PhantomsGhost_	3
135	EMC_	3
135	T045RTY	3
135	NinjaKnifeKill	3
135	Myrlewen	3
135	CaptainBadKid	3
135	Mattesco	3
135	The_Quack_Dealer	3
135	Razzgriz	3
135	Kowcio_	3
135	Freedrik	3
147	teslawolf38	2
147	RebelAndroid	2
147	LoboTheLobster	2
147	Prodiginus	2
147	mimbo1211	2
147	NomadicRobin_	2
147	Deathkob	2
147	Racengan	2
147	halfbakedlasagna	2
147	Airem_Core	2
147	sadvavilloso	2
147	CACTUSLAD	2
147	PortlyPete69	2
147	jnp_gaming	2
161	chimpmunker	1
161	rachcl	1
161	JingleLizi	1
161	Chickenchaser2	1
161	jiggywraps	1
161	CyrusIsTired	1
161	orxngejuice	1
161	Gamergirl420628	1
161	M_Patata	1
161	SuperPooch06	1
161	whoaluv	1
161	CarryLine	1
161	PuFY	1
161	gustarbite	1
161	Syropatathe	1
161	LexMakesHistory	1
161	Vegvisir	1
161	MasterNueve	1
161	Winston_Ingram	1
161	VentiHilton	1
161	oxfordschool	1
161	GigiDuru	1
161	kinas45y5	1
161	YoshikageBites	1
