rank	username	minecraft:picked_up/minecraft:chiseled_polished_blackstone
1	noam464	950
2	CliffEmAll	499
3	Snowflowe	295
4	eitanzaki	293
5	EveryonesUncle	256
6	Lord_Jord	249
7	PigDab	239
8	TheSecondLord	221
9	Solar_Power	192
10	Blaiku	184
11	FreakGenius	170
12	TheKingK_	144
13	Mookle96	136
13	thewindmillman	136
15	Mattesco	132
16	MSK__	86
17	Enderxz3	82
18	Cowison	80
19	Manaateee	78
20	Druid95	69
21	FishyBoy3811	65
22	Apollo_993	62
23	cichy096	61
24	Lez_	53
25	Kubeusz2010	52
26	beeperbeeper5	51
27	crashomon	50
28	Kakolbus	45
29	Hyp3rion_	44
29	F_Uhre	44
31	luseis	43
32	TheShyPig	35
32	Yamdalorian	35
34	HUNTERmaun	34
35	pixelviolin	32
36	teslawolf38	28
36	lizardfightclub	28
38	SmashingPump	27
39	RoskobiOne	26
39	Fullut	26
41	mwrty	25
42	GreedyFern8581	23
43	Historical_Sand	22
43	rarrq	22
43	Optiprimus	22
46	U_Mos_	20
47	himak1	19
47	gustarlep	19
49	RebelAndroid	18
49	500am	18
49	Eraxa	18
49	YungMaki	18
53	Mahoose	16
53	Kowcio_	16
53	Pumpkin_P_Patch	16
56	fanofbands101	15
56	ImpavidArcher	15
56	BobDeBouwer1337	15
59	Olib3ar	14
60	k_ce	13
60	ShedJr_	13
60	ScootOfBoot	13
60	Shogunite	13
60	Legendosh	13
65	diamondgolem35	12
65	PlasticOtari	12
67	PazinGaming	11
67	Moofyman	11
67	Buuck_	11
67	Decaying_Lotus	11
71	wwwwinnebagoooo	10
71	Segotep999	10
73	joethahobo	9
73	kekhon	9
73	Secret_Canary	9
73	TheWickedBird	9
77	_i_ERROR_i_	8
78	_Huge_Male_	7
78	set67	7
78	Di_infiri	7
78	Hahaa_0	7
78	Racengan	7
78	Iamthejo	7
78	RadarHz	7
85	pintsizedrogue	6
85	powercas_gamer	6
85	Huwulling	6
85	Crowman1	6
85	Awyrlas	6
90	_Razaria	5
90	ooga47	5
92	PhantomsGhost_	4
92	ECstardust	4
92	6king6colt6	4
92	77Holly7	4
92	Hpdinosaur	4
92	Alteriity	4
92	skroobiez	4
92	SteveCraftBlocks	4
92	2extreeme	4
92	Silvo614	4
92	Billious	4
92	AlexxO_o	4
92	Dakar_	4
92	LazySupport00	4
92	Eczbek	4
92	Ezekson	4
92	Jimb0nat0r	4
109	j5ylim	3
109	Frozil20	3
109	excelsionprime	3
109	r123moore	3
109	Marbz_	3
109	Jackattack53	3
109	fragrantmonke444	3
109	Jonafrog99	3
109	WET_WET_WET	3
109	NomadicRobin_	3
109	Spenduh	3
120	Groovy_MoonBird	2
120	livingdaydreams	2
120	Inchef	2
120	Werbe	2
120	Gryglu583	2
120	Spacewardharpy7	2
120	Steelynan	2
120	MissCeleste7	2
120	Teebone15	2
129	EMC_	1
129	NinjaKnifeKill	1
129	ChampPog_	1
129	Scathra	1
129	shadowthemonkey	1
129	oscminus	1
129	Elastiq	1
129	Syropatathe	1
129	DarlaMeow	1
129	StinkyDiplomat	1
129	MAns_44	1
129	blackeemperor	1
129	Jjackoe	1
129	ItsDeltaMC	1
129	SammiWolfGirl	1
129	hermmm_	1
129	youarefrench_	1
129	taengoos	1
129	ConnorDanky_	1
129	TheSandwhich_	1
129	FishisTTV	1
