rank	username	minecraft:picked_up/minecraft:cobbled_deepslate_slab
1	gcaisawesome	10440
2	EMC_	536
3	500am	524
4	AltnumberF4	522
5	YungMaki	393
6	PlasticOtari	199
7	Smoke____	176
8	ImpavidArcher	169
9	tuckerdoodle	132
10	SvenskaHugo	107
11	thewindmillman	103
12	prizm_	94
13	hm947	84
14	benediktine1	64
15	Megarboh	63
16	Ryker	48
17	lordpipe	47
18	dartwaffle	44
19	Rebytre	40
20	Smashic	35
21	00000000-0000-0000-0009-01fbab7ea71d	33
22	Masssonnn	25
23	Kubelz	24
24	corvidpartyfor6	22
24	Winklepicker279	22
26	Hermanni__	19
27	Marbz_	18
28	Huwulling	14
29	Mahoose	13
29	00000000-0000-0000-0009-01f898304150	13
31	pintsizedrogue	12
32	RebelAndroid	11
33	orxngejuice	8
34	Prismyst	6
34	91stCataclysm	6
34	CalebDHawk	6
37	UCP_TheKingK	5
37	WYFYoyo	5
39	ATurtle4936	4
40	JuuustYeet	3
40	Jackattack53	3
42	SquadMonster	2
42	ZoomieZoomie	2
44	rachcl	1
44	fluddd	1
44	Spacewardharpy7	1
44	Ezekson	1
