rank	username	minecraft:picked_up/minecraft:cyan_wool
1	noam464	98358
2	joethahobo	31953
3	HellsSponge	6724
4	xxPipperDipperxx	4873
5	EcksD	3595
6	mwrty	2803
7	YungMaki	2283
8	TheShyPig	1769
9	PhantomsGhost_	1677
10	Fildyr	1661
11	Smoke____	1209
12	EcksDofficial	1154
13	beeperbeeper5	1040
14	Swexti	756
15	Inbefour	737
16	Blu3beast	597
17	eitanzaki	562
18	thewindmillman	497
19	rarrq	453
20	Blaiku	416
21	Werbe	390
21	AssEatrAndLicker	390
23	The11thDoctor	302
24	oxfordschool	292
25	Xalithia	279
26	TechnoNinja64	272
27	Ezekson	265
28	Rumpletaezer	257
29	Legendosh	228
30	NameGenerat0r	182
31	KarlKaek	156
32	kekhon	142
33	Eraxa	139
34	Maenara	128
34	JackyKwacky	128
36	Mr_Byzantine	122
37	Di_infiri	120
38	SaucyDark	106
39	Merv__	98
40	Bumpy419	94
41	ItsColin11	92
42	Frozil12	90
43	lordpipe	70
44	Babushka0430	68
45	mariominejedi	65
46	bra1nbrain	64
46	MattieHD	64
46	shyshyannne	64
46	Deathkob	64
46	El_Jalapeno	64
51	fanofbands101	61
52	KingMatthew506	59
53	CalebDHawk	55
54	WyngGoy	54
55	BleachMyEyes	41
55	Breb74	41
55	Sral7	41
58	pintsizedrogue	40
58	Mahoose	40
60	teslawolf38	38
61	Quotary	31
62	Nekomin0	28
63	The_slideV3	25
64	RebelAndroid	22
64	PortlyPete69	22
66	silverpopcorn	20
67	Cowison	19
68	ImpavidArcher	16
68	HesDemonPants	16
70	Shogunite	15
71	6king6colt6	12
71	IWorkAtIkea	12
71	DarlaMeow	12
74	BumbleBeever	9
75	JoCoLi	8
76	Jackattack53	7
76	Freak_Genius	7
76	Dogcorn69420	7
79	heckface	5
79	TheSeismicDuck	5
79	Sheldor097	5
79	RoboTramp7865	5
79	PlasticOtari	5
84	soundad	4
84	ShedJr_	4
84	Comma__	4
84	fluddd	4
84	marumochis	4
84	sp00ky_ghost977	4
84	Soplight	4
84	PlzNoBM	4
84	jcool7	4
84	kinas45y5	4
94	Historical_Sand	3
94	Fullut	3
94	Hermanni__	3
97	Foof13	2
97	Wooptey	2
97	T045RTY	2
97	Megarboh	2
97	Cambo5000	2
97	r123moore	2
97	Voxin2K	2
97	CruncyIsTaken	2
97	Akoot_	2
97	Barlycorn	2
97	Nagasaki_Riku	2
97	RadarHz	2
109	KomputerDude	1
109	dopplexd	1
109	TheSecondLord	1
109	pr33tu	1
109	AJplaysMC_	1
109	kevinpamberg	1
109	ApophisNova	1
109	FishyBoy3811	1
109	Lord_Jord	1
109	Groundler	1
109	Racengan	1
109	__Auspicious	1
109	Spacewardharpy7	1
109	MakeHistory157	1
109	SexcMf	1
109	ReyTheLegend	1
109	stahouo	1
109	lcvezra	1
109	ZeroKraken	1
109	Skippeh	1
109	MyNamaSheff	1
109	Kiki_Majiki	1
109	Zoeyfortnite	1
