rank	username	minecraft:picked_up/minecraft:deepslate
1	thewindmillman	85616
2	gcaisawesome	68291
3	Smashic	45023
4	Marbz_	43074
5	Segotep999	33168
6	Hyp3rion_	24334
7	joethahobo	21370
8	pintsizedrogue	17843
9	Ezekson	17390
10	Mattesco	12632
11	beeperbeeper5	11717
12	Kakolbus	10786
13	lordpipe	10191
14	Lutres_Torane	8919
15	corvidpartyfor6	8697
16	PlasticOtari	8657
17	Mahoose	8212
18	Miko_Fullbuster	8167
19	RebelAndroid	7930
20	Enderslayerxz3	7904
21	500am	7854
22	YungMaki	7432
23	Hermanni__	6867
24	Huwulling	6694
25	SvenskaHugo	6145
26	EMC_	5638
27	MinttyFressh	5454
28	_stets	5363
29	12Magner05	5175
30	PigDab	4826
31	pixelviolin	4801
32	MilleGrug	4690
33	Jiminie	4194
34	fw3xywashere	4185
35	Snowflowe	4094
36	MSK__	3957
37	Ryker	3860
38	LeauVox4921	3854
39	Winklepicker279	3756
40	EcksD	3695
41	Fuad_R	3500
42	Megarboh	3298
43	MAns_44	3145
44	Jimi7hits	3113
45	Skylord_Luke	3088
46	Jackattack53	2960
47	Smoke____	2856
48	CoffeeNoir	2851
49	AltnumberF4	2652
50	MrKrabOnCoke	2510
51	Inchef	2436
52	hm947	2374
53	RoskobiOne	2073
54	Freak_Genius	1981
55	Flores991	1865
56	AlexxO_o	1861
57	UCP_TheKingK	1838
58	Skippeh	1707
59	Solar_Power	1693
60	dartwaffle	1674
61	diamondgolem35	1635
62	NoHaHeHa	1510
63	groofles	1496
64	Steelynan	1493
65	ImpavidArcher	1301
66	Legendosh	1300
67	SpacesickPrism	1254
68	BronkerBrum	1214
69	TheSecondLord	1198
70	SingedBread	1139
71	Spacewardharpy7	1137
72	Sheldor097	1132
73	Alteriity	1131
74	fluddd	1010
75	ApophisNova	999
75	MyNamaSheff	999
77	EveryonesUncle	944
78	Toriankel	914
79	rarrq	909
80	Rebytre	901
81	dimondking777	849
82	Drlzyy	798
83	crying_wolf_13	790
84	Steven1282598	719
85	Lord_Doob	687
86	ShedJr_	676
87	verynothing	659
88	MineMaster0012	646
89	SvenskaAlvar	601
90	TAKrules	576
91	masskedman	564
92	Deathkob	492
93	WYFYoyo	485
94	2blox	407
95	titanlax	399
96	Sleepy_Time_	363
97	T045RTY	352
98	HolyVenom	342
99	TheOuterCore	337
100	noam464	328
101	Soplight	320
102	Khelvoryk	313
103	KGTV	300
104	Da_Boss_Rani	287
105	lillips	281
106	DinoDoctor_	276
107	jcool7	264
108	orxngejuice	262
109	Valoth	261
110	KingEgg1	256
111	Wowful	255
111	StinkyDiplomat	255
113	Timfinity4	238
114	XboxPanda	232
115	mobunni	228
116	Eczbek	223
117	NomadicRobin_	222
118	prizm_	218
119	benediktine1	214
120	_Karmaa	209
121	eitanzaki	206
122	NameGenerat0r	202
123	TheEnderman548	200
124	hcb238	199
125	kekhon	195
126	infiniteQuery	192
127	mihimihimihi	161
128	Merv__	148
129	91stCataclysm	146
130	fffMike	137
131	Weepingbiel	130
132	TheALV	123
133	xPixelRainx	122
134	xxPipperDipperxx	121
135	Covalents	109
136	Kowcio_	102
137	Akoot_	100
137	iSammael	100
139	wwwwinnebagoooo	90
140	Silvo614	78
141	4383	74
141	iHuntWeeaboos	74
143	Blackberry1310	73
144	RadarHz	71
144	00000000-0000-0000-0009-01f898304150	71
146	Lord_Jord	67
146	Spenduh	67
148	JohnnyMines	64
148	KarlKaek	64
148	Auseawesome	64
148	Masssonnn	64
152	IdeallyGrey	58
153	tuckerdoodle	57
154	sp00ky_ghost977	43
155	Frozil12	40
156	Dan_Scha	35
157	SBean737	33
158	LazySupport00	27
159	Xalithia	26
160	NATE_the_HALO	25
161	lizardfightclub	24
161	ChronoSounds	24
161	ItsDeltaMC	24
164	HellsSponge	22
165	Prismyst	20
165	BungalowBeet	20
167	Historical_Sand	18
167	Hisiste	18
169	MyNameIsDakar	16
170	_Boipl_	15
171	Kamflame10	13
172	fuyyuu_oke	10
172	CuzIm2Kev	10
172	Quotary	10
175	Arceus1975	9
175	AuroraSkies	9
175	yulgur1	9
178	binman420	8
179	Njensen7	7
180	Zackran	5
180	microcrisp	5
182	Lez_	4
182	mrnosetackle	4
182	Racengan	4
182	GlitchyPlate810	4
186	MattieHD	3
186	TheThomas69	3
186	00000000-0000-0000-0009-01ff0c3e5e4f	3
189	egglapras	2
189	Awyrlas	2
189	LeGold	2
189	rosanotroza	2
189	Nycteus_	2
189	Vicemaniac	2
189	kyouma777	2
189	smogfrog	2
189	FelixPSY375	2
189	little_dUki	2
199	itburb	1
199	RatatJuice	1
199	Myszoaz	1
199	_HoneySlime_	1
199	SuperPooch06	1
199	Moofyman	1
199	MinuteMira	1
199	ATurtle4936	1
199	starbits140	1
199	Kubeusz2010	1
