rank	username	minecraft:picked_up/minecraft:deepslate_brick_slab
1	pintsizedrogue	1283
2	Kowcio_	1067
3	Hahaa_0	883
4	thewindmillman	665
5	AstreaTSS	390
6	k_ce	383
7	CattSoup	257
8	Crowman1	251
9	Marbz_	230
10	SquadMonster	225
11	Huwulling	199
12	ImpavidArcher	189
12	beeperbeeper5	189
14	Pineapplesugr	186
15	MrKrabOnCoke	152
16	HUNTERmaun	151
17	Elastiq	149
18	Masssonnn	144
19	Wowful	133
19	mihimihimihi	133
21	Nicserso	128
22	Mr_Byzantine	107
23	Spacewardharpy7	104
24	TheSecondLord	103
25	ZoomieZoomie	101
26	Lez_	94
27	luseis	86
28	lorywithay	85
29	Skylord_Luke	83
30	Mahoose	81
31	Mattesco	73
32	12Magner05	65
33	Ezekson	64
34	Galactic_Badger	54
35	crashomon	41
36	PazinGaming	38
37	Manaateee	33
38	nattybears	32
39	Winklepicker279	30
40	fragrantmonke444	29
41	Tiktola01	26
41	NameGenerat0r	26
43	Touched_Bread	22
44	Ryker	21
44	drunkeeez	21
44	weabis	21
44	Pumpkin_P_Patch	21
48	Megarboh	20
49	_Huge_Male_	18
49	LeEricc	18
51	MAns_44	16
51	TheBananaKat	16
53	sp00ky_ghost977	15
54	Buuck_	14
54	SvenskaHugo	14
56	Napoleonpancake	11
57	Admiral_Fizzy	10
58	bubbLyPrototype	8
58	Dakar_	8
60	TooPure2	7
60	Fuad_R	7
62	QuiCreans	6
62	fade_emerge78823	6
62	TheWildMateo	6
62	EngagedGrub41	6
62	Yamdalorian	6
62	TheWickedBird	6
68	kyouma777	5
69	Ev0luti0nz	4
69	diamondgolem35	4
69	breadbowlgamer	4
69	2extreeme	4
69	ScootOfBoot	4
69	hermmm_	4
75	EdGalbraith	3
75	Jimb0nat0r	3
75	skitzxo	3
78	N00bula	2
78	500am	2
78	Reneedium	2
78	Jimi7hits	2
78	FreakGenius	2
78	SpacesickPrism	2
78	Enderxz3	2
78	PlasticOtari	2
86	skroobiez	1
86	Secret_Canary	1
86	olliebollie48	1
86	91stCataclysm	1
86	Jackattack53	1
86	Hyp3rion_	1
86	Solar_Power	1
86	JETrotter	1
86	Werbe	1
86	PigDab	1
86	NomadicRobin_	1
86	Blaiku	1
86	Segotep999	1
86	Soplight	1
