rank	username	minecraft:picked_up/minecraft:deepslate_brick_stairs
1	CuzIm2Kev	1601
2	pintsizedrogue	631
3	RoskobiOne	436
4	Mattesco	410
5	ZoomieZoomie	341
6	Skylord_Luke	339
7	weabis	334
8	Kowcio_	211
9	luseis	196
10	TheSecondLord	177
11	thewindmillman	172
12	ImpavidArcher	165
13	Winklepicker279	130
14	Crowman1	111
15	nattybears	93
16	beeperbeeper5	89
17	mihimihimihi	86
18	Huwulling	80
19	RoofTyler	79
20	Jimb0nat0r	75
21	Megarboh	69
22	Jimi7hits	67
22	EngagedGrub41	67
24	sp00ky_ghost977	49
25	00000000-0000-0000-0009-01ff0c3e5e4f	45
26	diamondgolem35	41
27	Fuad_R	37
28	breadbowlgamer	36
28	PlasticOtari	36
30	91stCataclysm	35
31	Ezekson	31
32	SquadMonster	29
33	binman420	28
34	SvenskaHugo	25
35	Mr_Byzantine	24
35	CattSoup	24
37	olliebollie48	22
37	thebaddruid	22
39	KGTV	19
39	benediktine1	19
41	LeauVox4921	18
41	YungMaki	18
43	Touched_Bread	16
44	StinkyDiplomat	15
45	MAns_44	13
46	lordpipe	11
47	jessewegottacook	10
47	Wowful	10
49	shrimp_flips	8
50	CoffeeNoir	7
50	Enderxz3	7
52	Jeteight	6
52	tsitrawhy	6
54	Lez_	5
54	Hyp3rion_	5
54	lizardfightclub	5
57	Methalox1	4
57	LeEricc	4
59	NieToksikpl	3
59	HoltGrim	3
59	CalebDHawk	3
62	PazinGaming	2
62	Marbz_	2
62	Solar_Power	2
62	Lord_Jord	2
62	Lord_Doob	2
67	FazeObama69	1
67	DinoDoctor_	1
67	MogusBussy69	1
67	rarrq	1
67	kekhon	1
67	catandmoose	1
67	TheWildMateo	1
67	UCP_TheKingK	1
