rank	username	minecraft:picked_up/minecraft:deepslate_diamond_ore
1	Hyp3rion_	3431
2	Segotep999	1626
3	500am	1107
4	thewindmillman	750
5	beeperbeeper5	627
6	Smashic	603
7	MilleGrug	535
8	Fuad_R	507
9	YungMaki	321
10	Marbz_	222
11	pintsizedrogue	197
12	Rebytre	189
13	SingedBread	181
14	TheSecondLord	180
15	EMC_	167
16	groofles	160
17	Mahoose	154
17	joethahobo	154
19	Jackattack53	151
20	Enderslayerxz3	150
21	jcool7	145
22	12Magner05	134
23	MinttyFressh	132
24	PlasticOtari	111
25	pixelviolin	109
26	gcaisawesome	92
27	Drlzyy	90
28	Inchef	84
29	Megarboh	81
30	XboxPanda	80
30	HolyVenom	80
32	Smoke____	67
33	SvenskaHugo	64
34	dimondking777	61
34	fw3xywashere	61
36	MSK__	58
37	Miko_Fullbuster	57
38	hm947	55
39	Steven1282598	47
40	TheEnderman548	41
41	Jiminie	39
42	kekhon	37
42	UCP_TheKingK	37
44	EcksD	36
45	eitanzaki	34
46	NomadicRobin_	33
47	Lutres_Torane	32
47	Racengan	32
47	TheOuterCore	32
50	BronkerBrum	31
50	Legendosh	31
52	RebelAndroid	30
53	LeauVox4921	28
54	Spacewardharpy7	27
54	Steelynan	27
56	Ryker	26
56	mrnosetackle	26
56	noam464	26
59	KingEgg1	24
59	Freak_Genius	24
61	ApophisNova	23
61	dartwaffle	23
61	MyNamaSheff	23
64	Kakolbus	22
64	Jimi7hits	22
64	TheALV	22
67	PigDab	21
67	Dan_Scha	21
69	Flores991	19
69	Myszoaz	19
71	Hermanni__	18
72	Da_Boss_Rani	17
72	SvenskaAlvar	17
72	Lord_Doob	17
75	00000000-0000-0000-0009-01ff0c3e5e4f	16
76	Deathkob	14
76	MAns_44	14
78	CoffeeNoir	13
78	AltnumberF4	13
80	Mattesco	12
80	fluddd	12
80	verynothing	12
83	rarrq	11
83	EveryonesUncle	11
85	KGTV	10
85	WYFYoyo	10
87	ShedJr_	9
87	Spenduh	9
87	RadarHz	9
90	AlexxO_o	8
90	Sheldor097	8
90	Ezekson	8
90	00000000-0000-0000-0009-01f7965f8059	8
94	Merv__	7
94	T045RTY	7
94	TAKrules	7
94	masskedman	7
94	wwwwinnebagoooo	7
94	Kowcio_	7
94	GlitchyPlate810	7
101	_stets	6
101	Skippeh	6
103	xxPipperDipperxx	5
103	Soplight	5
103	00000000-0000-0000-0009-01f532a65833	5
106	diamondgolem35	4
106	Masssonnn	4
106	2blox	4
106	EcksDofficial	4
110	tuckerdoodle	3
110	4383	3
110	Winklepicker279	3
110	Solar_Power	3
110	Wowful	3
110	IdeallyGrey	3
110	Weepingbiel	3
117	itburb	2
117	Prismyst	2
117	SquadMonster	2
117	Khelvoryk	2
117	Xalithia	2
117	Covalents	2
117	lordpipe	2
117	ItsDeltaMC	2
125	prizm_	1
125	CruncyIsTaken	1
125	vadar12	1
125	fffMike	1
