rank	username	minecraft:picked_up/minecraft:diamond
1	Frozil20	24905
2	Werbe	21076
3	Hyp3rion_	16282
4	EcksD	15727
5	500am	15556
6	joethahobo	11953
7	YungMaki	11161
8	beeperbeeper5	10372
9	Spacewardharpy7	9381
10	HellsSponge	9005
11	lordpipe	8609
12	eitanzaki	6623
13	Di_infiri	6358
14	Smoke____	5728
15	xzvu	5472
16	thewindmillman	5384
17	RealGroot	5222
18	PhantomsGhost_	5147
19	TheSecondLord	5121
20	kekhon	5089
21	gusstationwerker	5034
22	noam464	4951
23	pintsizedrogue	4880
24	TheShyPig	4552
25	alderban107	3868
26	Mahoose	3827
27	Skylord_Luke	3737
28	Kowcio_	3720
29	Rebytre	3700
30	Fullut	3479
31	fluddd	3372
32	NomadicRobin_	3252
33	Tyrannosplart	3250
34	ConnorDanky_	3176
35	mwrty	3171
36	Njensen7	3102
37	Blaiku	3069
38	Snowflowe	3056
39	MilleGrug	2997
40	Fuad_R	2985
41	Inchef	2921
42	EMC_	2809
43	PigDab	2782
44	ROY4LE	2755
45	Ezekson	2679
46	gcaisawesome	2665
47	Enderxz3	2638
48	rarrq	2589
49	h2p_emrld	2553
50	livingdaydreams	2532
51	12Magner05	2458
52	claivin	2398
53	Jackattack53	2302
54	AlexxO_o	2251
55	F_Uhre	2239
56	fffMike	2158
57	thescout7	2123
58	PlasticOtari	2091
59	vandmanden	2063
60	Groovy_MoonBird	1959
61	fade_emerge78823	1938
62	FreakGenius	1885
63	Skippeh	1848
64	Wowful	1787
65	Akoot_	1782
66	Blackberry1310	1778
67	_Dean_123	1757
68	luseis	1744
69	Steelynan	1739
70	Racengan	1721
71	SmashingPump	1654
72	Smashic	1651
73	XboxPanda	1647
74	EveryonesUncle	1632
75	yulgur1	1623
76	Nicserso	1589
77	FallenCorps	1572
78	Eraxa	1563
79	Esme_1	1562
80	Zoeyfortnite	1553
81	I_Am_Mushkin	1512
82	Huwulling	1479
83	TechnoNinja64	1459
84	Iamthejo	1444
85	ImpavidArcher	1435
85	m_be9	1435
87	GlitchyPlate810	1423
88	Inbefour	1395
89	Awyrlas	1382
