rank	username	minecraft:picked_up/minecraft:diamond_axe
1	groofles	95
2	Smashic	83
3	Di_infiri	79
4	FreakGenius	77
5	eitanzaki	70
6	Akoot_	66
7	Hyp3rion_	65
8	kekhon	62
9	pintsizedrogue	53
10	thewindmillman	50
11	TheShyPig	41
12	annebolyn	35
13	xxPipperDipperxx	33
13	KingMatthew506	33
15	Mahoose	30
15	PlasticOtari	30
17	Werbe	28
18	Nach0Bear	26
19	thescout7	25
20	rarrq	24
21	Yamdalorian	23
22	_Huge_Male_	22
22	lordpipe	22
24	KarlKaek	20
24	Blackberry1310	20
24	luseis	20
27	H0UNDFRMH3LL	19
27	Blu3beast	19
27	ConnorDanky_	19
30	ImpavidArcher	18
30	skitzxo	18
32	Groovy_MoonBird	17
32	El_Jalapeno	17
32	Spenduh	17
32	hermmm_	17
36	Merv__	16
36	Blaiku	16
38	Arceus1975	15
38	TechnoNinja64	15
40	77Holly7	14
40	royal_2	14
40	Saucepeh	14
40	ROY4LE	14
40	XboxPanda	14
40	AspenLightVT	14
40	Kowcio_	14
40	EcksD	14
48	noam464	13
48	HellsSponge	13
48	MovingFish7	13
48	LeEricc	13
48	SpacesickPrism	13
53	EMC_	12
53	T045RTY	12
53	joethahobo	12
53	beeperbeeper5	12
53	goldyx	12
58	6king6colt6	11
58	DinoDoctor_	11
58	SOA1RR	11
58	SuperPooch06	11
58	RebytreGT	11
58	Tyrannosplart	11
58	Meatlaugh	11
58	Groundler	11
58	Soplight	11
58	fffMike	11
58	LeeMcGee30	11
69	himak1	10
69	gcaisawesome	10
69	burbankbuilder28	10
69	Hiryu27	10
69	HyperCave	10
69	lizardfightclub	10
69	TheKingK_	10
69	__tomato	10
69	SammiWolfGirl	10
69	OfficerAnvil	10
69	Enderxz3	10
80	Jackattack53	9
80	Rumpletaezer	9
80	Reneedium	9
80	TheWildMateo	9
80	F_Uhre	9
80	Xclax101	9
86	PazinGaming	8
86	Frozil20	8
86	skroobiez	8
86	m_be9	8
86	GingerNeutron	8
86	r123moore	8
86	MyNameIsJobo	8
86	guiltybastard	8
86	The_slideV3	8
86	cog	8
86	Racengan	8
86	YungMaki	8
86	Ezekson	8
99	Froste131	7
99	BlancoFlaco	7
99	Natty	7
99	Historical_Sand	7
99	gaziter10	7
99	TheSecondLord	7
99	MattieHD	7
99	_Dean_123	7
99	Kamflame	7
99	set67	7
99	mwrty	7
99	Touched_Bread	7
99	Jonafrog99	7
99	ApophisNova	7
99	Luminad3	7
99	Maenara	7
99	NameGenerat0r	7
99	SingedBread	7
99	Buuck_	7
99	Warlord324	7
99	TheEnderMan548	7
99	xzvu	7
99	Kubeusz2010	7
99	cichy096	7
99	MyNamaSheff	7
99	Legendosh	7
99	HesDemonPants	7
126	Mr_Byzantine	6
126	myaccountwasgone	6
126	catandmoose	6
126	ProfessorBee	6
126	yheece	6
126	Zythose	6
126	oscminus	6
126	Mr_Sun15	6
126	FreddyFart	6
126	Dakar_	6
126	claivin	6
126	MAns_44	6
126	Burge_r	6
126	starbits140	6
126	_i_ERROR_i_	6
126	Steelynan	6
126	taengoos	6
143	Jovaphobic	5
143	k_ce	5
143	Euclidoris	5
143	ZigzagLily43042	5
143	corpsecity	5
143	pappaberg	5
143	OreTheBear	5
143	Skylord_Luke	5
143	KeruNatsema	5
143	IamCL4SSY	5
143	Hahaa_0	5
143	censorsheep	5
143	fluddd	5
143	MightyWertu	5
143	wwwwinnebagoooo	5
143	Pumpkin_P_Patch	5
143	jcool7	5
143	_3Stump_	5
143	laron58	5
143	Skippeh	5
143	Jimb0nat0r	5
143	Zoeyfortnite	5
143	h2p_emrld	5
143	diggydog67	5
167	Bandito_Roamer	4
167	SpartanNamor	4
167	CloroxBleach385	4
167	Sleek_Storm_721	4
167	Hpdinosaur	4
167	MoistMicrowave	4
167	SnowyAvi	4
167	Sleepy_Evelyn	4
167	Enigma0251	4
167	Masssonnn	4
167	NotKaden_	4
167	BlueZabu	4
167	GOOBERGABE04	4
167	Doom_melon	4
167	Btabtab	4
167	Truckoss	4
167	HeraclesOGU	4
167	NomadicRobin_	4
167	Inbefour	4
167	Deathkob	4
167	weabis	4
167	Bloo2406	4
167	WyngGoy	4
167	Cocoamallows	4
167	Eraxa	4
167	Kyrum2169	4
167	BlankityMcBlank	4
167	tsitrawhy	4
167	miramyu	4
167	PortlyPete69	4
167	BungalowBeet	4
167	jnp_gaming	4
167	MandenR1	4
167	Kateesaur	4
201	PhantomsGhost_	3
201	Mowelan	3
201	soundad	3
201	shineh10	3
201	Yatitay	3
201	Tommhh	3
201	I_Am_Mushkin	3
201	TachibanaAkira	3
201	Franco093	3
201	lorywithay	3
201	Gregward_Smith	3
201	titanlax	3
201	Auseawesome	3
201	Nicky_H225	3
201	Hetti301	3
201	_Nuf	3
201	poopybh	3
201	Fullut	3
201	philandr	3
