rank	username	minecraft:picked_up/minecraft:egg
1	_Boipl_	6574
2	luseis	5437
3	SammiWolfGirl	5195
4	Mahoose	5173
5	TechnoNinja64	4006
6	thescout7	3668
7	CliffEmAll	3617
8	k_ce	3413
9	Legendosh	3014
10	FreakGenius	2745
11	joethahobo	2612
12	Enderxz3	2437
13	Smashic	2425
14	pintsizedrogue	2423
15	Werbe	2388
16	Hisiste	2330
17	TheShyPig	2278
18	xxPipperDipperxx	2200
19	SteveCraftBlocks	2144
20	Lez_	2054
20	Arceus1975	2054
22	PlasticOtari	2025
23	kekhon	2005
24	djancak	1879
25	H72l9w	1826
26	kalzor	1757
27	KermitTheKripple	1713
28	thewindmillman	1559
29	starbits140	1489
30	Groovy_MoonBird	1482
31	El_Jalapeno	1395
32	Freedrik	1343
33	CarltheCuck	1320
34	HellsSponge	1245
35	Zoeyfortnite	1232
36	Ezekson	1193
37	Jackattack53	1135
38	EkkoTraveler	1116
39	OfficerAnvil	1086
40	Blackberry1310	1074
41	T045RTY	1053
42	eitanzaki	1032
43	beeperbeeper5	1016
44	fluddd	998
45	Jimb0nat0r	972
46	Blaiku	970
47	Frozil20	962
48	UrbanPlanningEx	960
49	oscminus	954
49	claivin	954
51	m_be9	918
52	MineMaster0012	810
53	Comma__	804
54	Huwulling	797
55	SyntheticSurgeon	794
56	The11thDoctor	786
57	mobunni	785
58	Di_infiri	781
59	Fuad_R	755
60	Bandito_Roamer	738
61	youhjjhhhjj	726
62	CoryJJ	717
63	GingerNeutron	697
64	Bumpy419	674
65	AdmiralSmoke	661
66	hanaryheatwave	647
67	ReflexCode	605
68	Killercatty78	576
69	wrinkledpiglet	574
70	M_Patata	565
71	alderban107	558
72	Akoot_	557
73	BlankityMcBlank	550
74	lordpipe	546
75	legal_tax_evader	543
76	HollieDaNugget	539
77	NomadicRobin_	531
78	IvarEXE	530
79	ShedJr_	503
80	SaintJosie	498
81	PazinGaming	495
81	NormanFetus	495
83	Blu3beast	492
84	SuperPooch06	490
85	Wooptey	464
86	vampgey	462
87	Rumpletaezer	457
88	mwrty	456
89	RebelAndroid	452
90	Kateesaur	448
91	smogfrog	447
92	bloodbiter	444
92	Skylord_Luke	444
94	jessewegottacook	441
94	PaperCanvas	441
96	_Cloverbelle_	438
97	YungMaki	431
98	DanTheBuilderino	428
99	Powowowow	418
100	shadowthemonkey	405
101	Segotep999	404
101	EcksD	404
103	Ilinca_Io	402
104	teslawolf38	401
105	F_Uhre	398
106	Kowcio_	388
107	Hyp3rion_	383
108	Soplight	381
109	himak1	380
109	Dakar_	380
109	censorsheep	380
112	noam464	378
112	MasterNueve	378
114	ImpavidArcher	377
115	SHAOBADMAN	366
116	StinkyDiplomat	357
117	stellarjay	354
118	MissCeleste7	349
119	lcvezra	347
120	ConnorDanky_	339
121	Tommhh	331
122	Spacewardharpy7	320
123	Xalithia	315
124	fade_emerge78823	314
125	MakeHistory157	311
126	KarlKaek	308
127	Awyrlas	299
128	ImNotYuqii	298
129	Rich_Kat	295
130	Xclax101	292
131	ApophisNova	289
131	MyNamaSheff	289
133	Leyna3	284
134	ooga47	273
135	xzvu	266
136	_Dean_123	261
137	PuFY	258
138	TheSecondLord	257
139	Lord_Jord	255
140	KingMatthew506	253
141	slkiey	249
142	valiSW	245
143	Ravenbie	244
144	Euclidoris	243
144	ratglock	243
146	6king6colt6	241
147	Studyhallsaver	239
147	Eraxa	239
149	monky_irl	238
150	xolstoi	236
151	Marbz_	235
152	_8man	234
153	jacxhadow	228
154	Nycteus_	227
155	Notta	223
156	RatatJuice	216
156	AJplaysMC_	216
156	AvaRosey	216
159	dopplexd	212
160	Tolhart	211
161	bruh072	206
162	GravitySaint	203
163	Mr_Byzantine	198
164	Historical_Sand	196
164	Silvo614	196
164	Hermanni__	196
167	DinoDoctor_	195
168	MattieHD	194
169	WET_WET_WET	193
170	Karbl	192
171	Bazongoman	188
172	Kynigito	187
173	Mewar	186
173	_Mythic____	186
175	Moetis	182
176	12Magner05	180
177	parodypatient	178
177	_Karmaa	178
179	Snowflowe	176
180	Meatlaugh	173
181	crying_wolf_13	171
182	Fullut	170
183	redikul	167
183	gcaisawesome	167
185	_Huge_Male_	165
185	Soul_Atreus	165
185	skrongus	165
188	Kakolbus	164
188	_Bguette_	164
190	LeeMcGee30	163
191	Russiancat1	162
192	Steelynan	160
193	zoundsy	159
194	IAmTheWalrus910	151
195	Windo_licker	149
195	Hiryu27	149
195	Onennon	149
198	Natty	147
199	Avocadogerms	146
200	Batman922	145
200	SirPiccardo	145
200	The_Fulgurator	145
203	KomputerDude	144
203	Moofyman	144
203	geekbird	144
206	RustyKedel	142
207	Zaridey	140
208	SaucyDark	137
208	Incinere	137
208	KlausVonStiglitz	137
211	_Tilariel_	135
212	excelsionprime	132
212	SPUDonSTEROIDS	132
212	Luminad3	132
215	XboxPanda	131
215	mihimihimihi	131
217	q_wq	129
218	Alteriity	127
218	picardred	127
218	Warlord324	127
221	LavenderBi1ch	125
221	SvenskaHugo	125
221	CalebDHawk	125
221	561cool	125
225	EMC_	123
226	marumochis	120
226	_i_ERROR_i_	120
228	Sleek_Storm_721	118
228	stavgod	118
228	jcool7	118
231	NieToksikpl	116
231	Donutt	116
233	BuildTheGondola	115
233	TheBananaKat	115
235	UltimuShadow	114
235	momis24	114
237	boog4loo	113
238	SquadMonster	112
238	sq0id	112
240	500am	111
241	intropass	110
242	Merv__	108
243	07shiny	107
244	eviltunix	106
244	audiocracked	106
244	Iamthejo	106
247	PhantomsGhost_	103
247	rarrq	103
249	burbankbuilder28	102
250	Rebytre	98
251	xorompole	97
252	Kryktal	95
253	Btabtab	94
253	Sheldor097	94
255	Jakobo1337	93
255	Jonafrog99	93
255	Inbefour	93
255	sp00ky_ghost977	93
259	Ze_BaronKrigler	92
260	cedric72	91
260	Druid95	91
260	tartanboy	91
263	PabloGonza02	89
264	jnp_gaming	88
265	Myrosia	87
266	NebulousBadger	86
266	Deguns123	86
268	RadarHz	84
269	2Stout	83
269	Racengan	83
