rank	username	minecraft:picked_up/minecraft:elytra
1	Kowcio_	142
2	Hyp3rion_	124
3	xzvu	113
4	PigDab	100
5	TheSecondLord	85
6	noam464	80
7	Racengan	78
8	masskedman	75
9	HellsSponge	74
10	NameGenerat0r	69
11	mwrty	60
12	SvenskaHugo	58
13	PhantomsGhost_	57
14	RealGroot	56
15	Di_infiri	54
15	YungMaki	54
17	RoofTyler	53
18	500am	50
18	Werbe	50
18	jnp_gaming	50
21	rarrq	48
21	Rebytre	48
21	Smoke____	48
24	eitanzaki	47
25	Akoot_	45
26	kekhon	43
27	Historical_Sand	42
27	lordpipe	42
29	iSammael	40
30	MinttyFressh	36
31	EcksD	35
31	Sral7	35
33	claivin	34
33	MissCeleste7	34
35	Lepthymo	32
35	Frozil20	32
35	6king6colt6	32
38	Jackattack53	31
39	Fullut	28
39	Bumpy419	28
39	Blu3beast	28
39	vandmanden	28
43	PlasticOtari	27
44	Comma__	26
44	fluddd	26
44	fffMike	26
47	Blaiku	25
48	Mewar	24
48	UCP_TheKingK	24
50	beeperbeeper5	23
50	Awyrlas	23
52	Huwulling	22
53	gabriels543	21
54	joethahobo	20
54	LeGold	20
54	TechnoNinja64	20
57	T045RTY	19
57	Inchef	19
57	ROY4LE	19
57	FishyBoy3811	19
57	yulgur1	19
57	Tyrannosplart	19
57	FreakGenius	19
57	MightyWertu	19
57	Groundler	19
66	pintsizedrogue	18
66	gcaisawesome	18
66	LeEricc	18
66	Ezekson	18
66	bladeefan2009	18
66	Zoeyfortnite	18
72	H0UNDFRMH3LL	17
72	Lez_	17
72	Blackberry1310	17
72	Maenara	17
72	EveryonesUncle	17
72	Hisiste	17
72	gusstationwerker	17
79	Jimb0nat0r	16
80	Mahoose	15
80	_Dean_123	15
80	Smashic	15
80	Covalents	15
80	lizardfightclub	15
80	groofles	15
80	SingedBread	15
80	Dogcorn69420	15
80	AltnumberF4	15
80	Legendosh	15
90	set67	14
90	thescout7	14
90	thewindmillman	14
90	NomadicRobin_	14
90	lillips	14
90	_TCARREIRA_	14
90	Skippeh	14
97	ImpavidArcher	13
97	lorpus	13
97	xxPipperDipperxx	13
97	Onennon	13
97	MovingFish7	13
97	__tomato	13
97	lcvezra	13
104	chipklip	12
104	Iagoku	12
104	CollinMH06	12
104	AlexxO_o	12
104	Rasmanden	12
104	GlitchyPlate810	12
104	Enderxz3	12
104	xolstoi	12
112	KarlKaek	11
112	WET_WET_WET	11
112	luseis	11
112	SammiWolfGirl	11
116	ProbablyNick	10
116	PazinGaming	10
116	MattieHD	10
116	AuroraSkies	10
116	audiocracked	10
116	Deodorante	10
116	GoofyBread	10
116	MyNameIsDakar	10
116	__Auspicious	10
116	TheEnderMan548	10
