rank	username	minecraft:picked_up/minecraft:emerald
1	thewindmillman	5201820
2	Hyp3rion_	3617806
3	noam464	1038015
4	Fuad_R	120277
5	Spacewardharpy7	66311
6	Frozil20	35150
7	Smashic	8753
8	eitanzaki	5286
9	beeperbeeper5	4727
10	Segotep999	4362
11	Lez_	4267
12	EcksD	3525
13	EMC_	3315
14	AdmiralSmoke	2846
15	UCP_TheKingK	2731
16	Kowcio_	2611
17	Werbe	2434
18	FreakGenius	2338
19	Akoot_	2328
20	Sral7	2155
21	oscminus	1997
22	Soplight	1949
23	Merv__	1873
24	YungMaki	1867
25	FishisTTV	1807
26	TechnoNinja64	1752
27	Di_infiri	1695
28	joethahobo	1676
29	pintsizedrogue	1623
30	Tyrannosplart	1582
31	pixelviolin	1484
32	Blaiku	1453
33	Mahoose	1414
34	Inbefour	1355
35	ImpavidArcher	1272
36	luseis	1271
37	Jackattack53	1215
38	Lord_Jord	1177
39	HellsSponge	959
40	ConnorDanky_	951
41	Krowuss	924
42	kekhon	899
43	fw3xy74	868
44	fffMike	847
45	Da_Boss_Rani	817
46	thescout7	756
47	Kakolbus	730
48	AlexxO_o	710
49	asspharte	661
50	Flores991	620
51	Fullut	617
52	Hisiste	610
53	diamondgolem35	577
54	El_Jalapeno	575
55	RebelAndroid	559
56	Steelynan	549
57	Comma__	534
58	lordpipe	526
59	Bonzaidalek	511
60	Historical_Sand	504
61	Skippeh	502
62	set67	501
63	himak1	479
64	StarCookiees_	471
65	Mattesco	452
66	Apollo_993	450
67	Hiryu27	443
68	Enderxz3	428
69	PigDab	426
70	sp00ky_ghost977	404
71	500am	402
72	Nicserso	382
73	legal_tax_evader	375
74	bloodbiter	374
74	xzvu	374
76	Alteriity	368
77	excelsionprime	364
78	KarlKaek	359
79	SmashingPump	354
80	TheShyPig	348
81	Powowowow	347
82	ECstardust	339
83	lorywithay	335
83	Rebytre	335
85	SpacesickPrism	334
86	TheBananaKat	332
87	Legendosh	330
88	Iamthejo	325
89	Erinmor	318
89	MightyWertu	318
91	Snowflowe	306
92	TheSecondLord	304
92	lorpus	304
94	Kekoo	303
95	rarrq	301
96	ProfessorBee	294
97	Secret_Canary	288
98	I_Am_Mushkin	287
98	Blu3beast	287
100	Doom_melon	285
100	KingMatthew506	285
102	Hermanni__	283
103	CLG_Kata	280
103	Huwulling	280
105	Luminad3	276
106	Crowman1	275
107	PlasticOtari	262
108	12Magner05	258
109	fluddd	253
110	_Bguette_	249
111	alderban107	247
112	IamCL4SSY	245
113	jnp_gaming	242
114	hm947	236
114	EfficientC52	236
116	Ezekson	229
117	F_Uhre	223
118	Chickenchaser2	215
118	MinttyFressh	215
120	UrbanPlanningEx	214
121	tlustyCZARNY	210
121	Eraxa	210
123	H0UNDFRMH3LL	206
124	h2p_emrld	205
125	Gryglu583	200
126	_Virify_	199
127	Bumpy419	197
128	Rumpletaezer	195
129	Blackberry1310	193
130	The_Cruncy	191
131	_Mythic____	189
132	IAmTheWalrus910	187
133	EveryonesUncle	183
134	NotMeanttoChange	176
135	Steve897	175
136	masskedman	174
136	Spenduh	174
138	mwrty	172
139	MAns_44	169
140	Racengan	168
141	m_be9	167
142	NameGenerat0r	164
143	Sleepy_Time_	163
143	Truckoss	163
145	gcaisawesome	158
146	emrekn	157
147	CarryLine	155
147	ReyTheLegend	155
149	sufjanlover	152
150	MakeHistory157	150
151	CoffeeNoir	149
152	Eczbox	148
152	brofrickcheaters	148
152	Eczbek	148
155	ShedJr_	145
155	__tomato	145
157	lillips	144
158	_i_ERROR_i_	141
159	j5ylim	140
159	Quaintster	140
161	N00bula	138
161	OreTheBear	138
161	Manaateee	138
161	stavgod	138
165	Chromary	137
166	G1ldor	136
166	Voxin2K	136
166	claivin	136
166	mihimihimihi	136
170	6king6colt6	135
171	Diavri	134
172	titanlax	133
173	Bandito_Roamer	130
173	q_wq	130
175	Jimb0nat0r	129
176	Auseawesome	128
176	Zaridey	128
176	thechoosenone69	128
176	ElectricDragon81	128
180	Rich_Kat	125
181	wezzzi	124
182	starbits140	121
183	_Nat666	119
183	DarlaMeow	119
185	ActualPatbaf	117
185	Cocoamallows	117
187	Maenara	116
188	_Nuf	114
189	T045RTY	113
190	k_ce	112
190	TiborSterle	112
192	PhantomsGhost_	111
193	KomputerDude	110
194	OrewaSora	109
195	Hahaa_0	108
196	ROY4LE	105
197	Russiancat1	104
198	Mr_Byzantine	103
198	Koffeeinz	103
198	surfinggiraffejp	103
201	parodypatient	102
202	Xalithia	101
203	jacxhadow	98
204	Ecplosive	97
204	TheWildMateo	97
204	ougstur	97
207	Kamflame10	96
208	Zythose	95
208	ooga47	95
208	TheImperial	95
211	ZeroKraken	94
211	Quotary	94
213	GooseWithin	93
213	_Karmaa	93
213	Xclax101	93
213	TheEnderMan548	93
217	pappaberg	92
217	RadarHz	92
219	ivorico	91
219	Onennon	91
221	SyntheticSurgeon	90
221	NomadicRobin_	90
221	Dogcorn69420	90
224	thebaddruid	89
225	MattieHD	88
225	THEKINGLyric10	88
227	Fast_Turtle	87
228	jewbacaman	85
228	Shogunite	85
230	John6970	84
231	dimondking777	82
231	Marbz_	82
233	ITDV	81
233	The_SlideV5	81
235	xxPipperDipperxx	80
236	SteveCraftBlocks	79
236	Sheldor097	79
238	Kubeusz2010	78
238	trexgb	78
240	Arceus1975	77
240	ApophisNova	77
240	MyNamaSheff	77
243	youhjjhhhjj	76
243	Typadopoulos	76
243	00000000-0000-0000-0009-01ff0c3e5e4f	76
246	Archsam	75
247	mariominejedi	73
247	SkateboardR6	73
247	Druid95	73
250	Ryan_GEMS	71
250	Skylord_Luke	71
252	JohnnyFyes	70
252	TJawesome09	70
254	UncreativeArtist	68
254	VilsSwag	68
256	mimbo1211	67
256	DanTheBuilderino	67
258	jushykins	66
258	Elastiq	66
258	bloomkieren	66
258	stellarjay	66
262	Paint	64
262	Jackywho	64
262	powercas_gamer	64
262	WarHammer3	64
262	stevewithclout	64
262	jumpyPog	64
262	The_slideV3	64
262	MNMann44	64
262	amkold	64
262	alexb1890	64
262	satuern	64
273	FelixPSY375	63
274	lizardfightclub	62
274	TheOuterCore	62
276	Windo_licker	61
276	yheece	61
276	Kyrum2169	61
279	XboxPanda	60
279	Ma_name_alex	60
279	MilleGrug	60
282	benediktine1	56
282	censorsheep	56
284	TheBiggestFeller	55
284	TheThomas69	55
284	Shin69	55
287	MunkaKris	54
287	zqw10k	54
287	ayamefag	54
290	Eraza	53
290	MineMaster0012	53
292	LeonelSalamanca	52
292	Soap_Bender	52
292	PortlyPete69	52
295	Tommhh	51
295	Vizzoid	51
297	301851	50
298	BodaciousCake	49
298	H72l9w	49
298	Euclidoris	49
