rank	username	minecraft:picked_up/minecraft:fletching_table
1	noam464	177
2	HellsSponge	134
3	pintsizedrogue	95
4	robertsnose	91
4	eitanzaki	91
6	Racengan	83
7	sp00ky_ghost977	63
8	Hyp3rion_	58
9	Buuck_	42
10	Merv__	33
11	Soplight	31
12	Spacewardharpy7	25
12	PlasticOtari	25
14	FreakGenius	24
14	Blaiku	24
16	luseis	21
17	mymayowasgone	20
17	TheShyPig	20
19	mwrty	19
20	Historical_Sand	18
21	Di_infiri	17
22	ARandomHedge	16
23	500am	14
23	2blox_	14
25	_Virify_	13
25	rarrq	13
25	Paguz01	13
28	Niklas20114552	11
28	Werbe	11
28	Kubeusz2010	11
31	PigDab	10
31	SpacesickPrism	10
33	EMC_	9
33	OneLessChromosom	9
33	diggydog67	9
36	Bandito_Roamer	8
36	Vizzoid	8
36	Bucscw24	8
36	pixelviolin	8
36	Steelynan	8
36	Skippeh	8
42	Zythose	7
42	JESS_THE_RERE	7
42	ConnorDanky_	7
45	Shazzyling	6
45	Studio4x32	6
45	thescout7	6
48	T045RTY	5
48	m_be9	5
48	kekhon	5
48	Kkanot	5
48	gcaisawesome	5
48	Solar_Power	5
48	El_Jalapeno	5
48	Hisiste	5
48	Kowcio_	5
48	FormulaNewt3627	5
58	SkullxKandyz	4
58	XboxPanda	4
58	M_Patata	4
58	Jackattack53	4
58	Chromary	4
58	Snowflowe	4
58	LordZacler	4
58	Onennon	4
58	Lord_Zacler	4
58	Dogcorn69420	4
68	SaucyDark	3
68	Ryker	3
68	joethahobo	3
68	beeperbeeper5	3
68	eiC_	3
68	TableTim	3
68	wezzzi	3
68	MinuteMira	3
68	Manaateee	3
68	AstreaTSS	3
68	thatsjustfrankie	3
68	Eraxa	3
68	Luigipunch989	3
68	nonarso	3
68	LeeMcGee30	3
68	Ezekson	3
68	DairyNickel756	3
85	PhantomsGhost_	2
85	RoskobiOne	2
85	EdaterPure	2
85	Sleek_Storm_721	2
85	RebelAndroid	2
85	Humpcat	2
85	lorywithay	2
85	Nicky_H225	2
85	_witch_craft_	2
85	TheDankPlatypus	2
85	MyNameIsJobo	2
85	Reneedium	2
85	Studyhallsaver	2
85	Fast_Turtle	2
85	Mattesco	2
85	Kynigito	2
85	victorLIE	2
85	Kim_Jong_eel	2
85	Thomez_	2
85	Toiton	2
85	WeebleSock	2
85	MAns_44	2
85	karudsbip	2
85	Cyntrical	2
85	Factoroni	2
85	_Mythic____	2
85	UltraZombie	2
85	fffMike	2
85	KingMatthew506	2
85	momis24	2
85	LuvLuvLove	2
85	00000000-0000-0000-0009-01ff0c3e5e4f	2
117	gary_	1
117	Louiis123	1
117	SugarMyNuggets	1
117	NatalieTW	1
117	Paint	1
117	Napoleonpancake	1
117	AuroraValkyrie	1
117	Hyugo	1
117	Wooptey	1
117	Jahara	1
117	abdomera	1
117	Batman922	1
117	Alteriity	1
117	Literally_Rat	1
117	Mahoose	1
117	Lez_	1
117	Ao_Ken	1
117	ccwildfire1	1
117	Alphanzt99	1
117	Euclidoris	1
117	arvous	1
117	jacxhadow	1
117	12Magner05	1
117	Fullut	1
117	excelsionprime	1
117	set67	1
117	Mewar	1
117	mipTheQueen	1
117	Kubelz	1
117	DirtyBoar	1
117	yheece	1
117	Rumpletaezer	1
117	Arceus1975	1
117	burbankbuilder28	1
117	andy_rex	1
117	Boipl	1
117	CTH_98	1
117	MonitorLizards	1
117	Mr_Froxy	1
117	lizardfightclub	1
117	AuroraSkies	1
117	JollyDroopy52	1
117	Tyrannosplart	1
117	Dakar_	1
117	_Karmaa	1
117	QueenShuvi	1
117	LordAurum	1
117	THEKINGLyric10	1
117	Druid95	1
117	ayamefag	1
117	Western_1	1
117	MilleGrug	1
117	_3Stump_	1
117	VentiHilton	1
117	EngagedGrub41	1
117	Nicserso	1
117	HesDemonPants	1
117	jnp_gaming	1
117	Sral7	1
117	trexgb	1
