rank	username	minecraft:picked_up/minecraft:glass_bottle
1	noam464	394038
2	Hyp3rion_	213515
3	thewindmillman	158977
4	EcksD	28769
5	Eczbek	17869
6	wx4z	17739
7	Fuad_R	13493
8	HellsSponge	6529
9	Jackattack53	6093
10	Fullut	5834
11	Manaateee	2855
12	pintsizedrogue	2807
13	Pumpkin_P_Patch	2417
14	Yamdalorian	2293
15	oscminus	2135
16	Lez_	1992
17	PhantomsGhost_	1794
18	Kowcio_	1571
19	beeperbeeper5	1530
20	MightyWertu	1476
21	kekhon	1472
22	eitanzaki	1089
22	SammiWolfGirl	1089
24	Werbe	1080
25	Mr_Byzantine	868
26	Spacewardharpy7	862
27	Soplight	857
28	joethahobo	796
29	FreakGenius	789
30	prizm_	761
31	livingdaydreams	723
32	Sral7	685
33	_Duckery	604
34	Di_infiri	599
35	Eraxa	588
36	TwinTowerV2	575
37	NomadicRobin_	536
38	Mahoose	509
39	EngagedGrub41	505
40	Blaiku	468
41	pixelviolin	453
42	EdGalbraith	442
43	Inbefour	429
44	craaaash	426
45	lpinfinity	394
45	Segotep999	394
47	EMC_	390
48	Ezekson	377
49	Rani_R	365
50	hanaryheatwave	346
51	Legendosh	339
52	knarian	333
53	Akoot_	306
54	masskedman	287
55	Lutres_	284
56	FishisTTV	283
57	xxPipperDipperxx	274
58	TechnoNinja64	270
59	McCakeAh	256
60	SaucyDark	253
61	Studio4x32	225
62	Rebytre	218
63	T045RTY	212
64	Jovaphobic	204
65	AstreaTSS	201
66	bl1ss0	198
67	Mattesco	194
68	Arceus1975	189
69	TheShyPig	187
70	SvenskaHugo	181
71	IlkeCookes_	178
72	hermmm_	172
73	_witch_craft_	171
74	DairyNickel756	168
75	PortlyPete69	165
75	Spaghettatron	165
77	Racengan	164
77	stavgod	164
79	Alteriity	162
80	TheKingK_	161
81	ShedJr_	156
82	Nicserso	154
83	Mr_Froxy	153
84	k_ce	148
85	ApophisNova	146
85	doublemaki	146
85	MyNamaSheff	146
88	TheSecondLord	142
89	Frozil20	141
90	AltnumberF4	131
91	Historical_Sand	130
91	catandmoose	130
91	Enderxz3	130
94	AspenLightVT	125
95	rarrq	124
96	bloodbiter	123
96	Lord_Jord	123
98	Inchef	119
99	lordpipe	114
100	cutelilreno	113
101	I_Am_Mushkin	107
102	TheWickedBird	106
103	SteveCraftBlocks	102
103	Felenov	102
105	DJzombiehunter	100
106	Secret_Canary	99
107	luseis	92
108	6king6colt6	90
109	Krowuss	89
109	xzvu	89
111	r123moore	84
112	Groovy_MoonBird	83
113	DarlaMeow	81
114	h2p_emrld	77
115	Merv__	76
115	q_wq	76
115	royal_2	76
115	M_Patata	76
119	ROY4LE	75
119	KingEgg1	75
119	Quaintster	75
119	Jimb0nat0r	75
123	MasterNueve	73
124	lorywithay	72
125	DrowsyOracle	70
125	es0th	70
127	Tyrannosplart	69
128	Blackberry1310	68
129	dimondking777	67
129	MyMawgDonaldsGon	67
131	Comma__	66
131	ee_echo_oo	66
133	akap47	65
134	EveryonesUncle	64
135	seramalen	63
136	diamondgolem35	62
136	Sleepy_Evelyn	62
136	Chromary	62
139	3_Solar_3	61
139	Erased_Identity	61
141	RebelAndroid	60
142	Saucepeh	59
142	HolyVenom	59
142	fffMike	59
145	U_Mos_	58
146	SyK7	56
146	Blu3beast	56
148	PazinGaming	55
148	NotMeanttoChange	55
150	Apollo_993	54
150	MattieHD	54
152	Steelynan	52
153	El_Jalapeno	50
153	Celeste_121	50
155	Synthoum	48
156	ECstardust	47
156	thescout7	47
156	StinkyDiplomat	47
159	FirsTimeGamingTV	46
159	claivin	46
159	ConnorDanky_	46
162	CalebDHawk	45
163	jushykins	44
164	j5ylim	42
164	Huwulling	42
164	jnp_gaming	42
167	Kakolbus	41
168	Ryker	40
168	FiguraDei	40
170	GooseWithin	39
171	WET_WET_WET	38
172	lunkuku	37
172	_Mythic____	37
174	SlayerCrypto	36
174	Cruncy_	36
176	Spenduh	34
177	CLG_Kata	33
178	SpaceGrenadier	31
178	12Magner05	31
178	Fuhrer_Teemo	31
178	monky_irl	31
178	PlasticOtari	31
183	11Brewer	30
184	_Huge_Male_	29
184	PigDab	29
186	MyNameIsJobo	28
186	Rumpletaezer	28
186	djancak	28
189	abdomera	27
189	_Dean_123	27
189	sammidk	27
192	IamCL4SSY	26
193	Caribouse	25
193	yheece	25
193	_flud	25
193	vandmanden	25
197	ImpavidArcher	24
197	Luminad3	24
199	Deu_Stew	23
199	ARandomHedge	23
199	AlexxO_o	23
199	sp00ky_ghost977	23
199	miramyu	23
199	Skippeh	23
205	Archsam	22
205	emrekn	22
207	robonya_	21
208	Kkanot	20
208	NameGenerat0r	20
210	Bandito_Roamer	19
210	_Virify_	19
210	hm947	19
210	SyntheticSurgeon	19
210	set67	19
210	gcaisawesome	19
210	__tomato	19
210	obzii	19
218	Killercatty78	18
218	500am	18
218	FishyBoy3811	18
218	CacheOut	18
218	elliebelle107	18
218	calamariclam_I	18
224	gren_ben	17
224	BlancoFlaco	17
224	mwrty	17
224	legal_tax_evader	17
224	F_Uhre	17
224	Sharksicle_art	17
230	PegLegPete93	16
230	Juansinmiedo18	16
230	Boipl	16
230	RexzMC_	16
230	Dreamdbr14	16
235	Auseawesome	15
235	olliebollie48	15
235	SuperPooch06	15
235	Maenara	15
235	emreknugrlu	15
235	Mizuuwa	15
235	the_cocos	15
242	burbankbuilder28	14
242	drompje	14
242	Onennon	14
242	Hahaa_0	14
242	Gus2005	14
242	Buuck_	14
242	Luigipunch989	14
242	laron58	14
250	Winklepicker279	13
250	Wowful	13
250	shuniji_	13
250	TheSandwhich_	13
254	robertsnose	12
254	skroobiez	12
254	XboxPanda	12
254	MovingFish7	12
254	Airem_Core	12
254	mr_crabs761	12
254	KingMatthew506	12
254	Kubeusz2010	12
254	Iamthejo	12
254	Quotary	12
264	Sleek_Storm_721	11
264	Julmish	11
264	Fullbit_	11
264	himak1	11
264	Snowflowe	11
264	Chrisdeadeye	11
270	MSK__	10
270	lorpus	10
270	TheDankPlatypus	10
270	Marbz_	10
270	Zythose	10
270	Hoid_the_Roamer	10
270	MAns_44	10
270	SingedBread	10
270	_Yonk_	10
270	zOnlyKroks	10
280	TheBiggestFeller	9
280	Hpdinosaur	9
280	Awyrlas	9
280	__TheNorseMan__	9
280	Windo_licker	9
280	kalzor	9
280	SkateboardR6	9
280	_TCARREIRA_	9
280	Powowowow	9
289	Cowison	8
289	Tolhart	8
289	_Razaria	8
289	ZaneABrain	8
289	m_be9	8
289	Xalithia	8
289	Touched_Bread	8
289	shadowthemonkey	8
289	corpsecity	8
289	goldyx	8
289	ReSynced	8
289	YungWali	8
