rank	username	minecraft:picked_up/minecraft:golden_helmet
1	oscminus	520
2	thewindmillman	94
3	joethahobo	60
4	Spacewardharpy7	53
4	AdmiralSmoke	53
6	Mahoose	52
7	Fullut	40
7	Blaiku	40
9	pintsizedrogue	36
10	Akoot_	32
11	PlasticOtari	31
12	Ezekson	29
13	beeperbeeper5	28
14	ShedJr_	27
14	Kowcio_	27
16	Hyp3rion_	26
16	FreakGenius	26
16	Segotep999	26
16	Enderxz3	26
20	luseis	25
21	Di_infiri	23
21	obzii	23
23	4774	21
23	thescout7	21
23	noam464	21
23	EveryonesUncle	21
27	Kakolbus	20
27	PigDab	20
29	k_ce	19
29	rarrq	19
29	TheSecondLord	19
29	kekhon	19
29	StinkyDiplomat	19
29	TechnoNinja64	19
35	Blackberry1310	18
36	fffMike	17
37	censorsheep	16
37	ConnorDanky_	16
39	EMC_	15
39	fr_ser	15
41	RebelAndroid	14
41	Legendosh	14
43	Frozil20	13
43	MyNameIsJobo	13
43	burbankbuilder28	13
43	TheShyPig	13
43	jnp_gaming	13
48	eitanzaki	12
48	eviltunix	12
48	Arceus1975	12
48	lillips	12
48	Manaateee	12
48	lordpipe	12
48	sp00ky_ghost977	12
55	T045RTY	11
55	500am	11
55	Nach0Bear	11
55	gcaisawesome	11
55	Jackattack53	11
55	mihimihimihi	11
55	Eraxa	11
62	Historical_Sand	10
62	xxPipperDipperxx	10
62	UMosDiesIrae	10
62	El_Jalapeno	10
62	YungMaki	10
62	00000000-0000-0000-0009-01ff0c3e5e4f	10
68	set67	9
68	_Hayt	9
68	DemTechAlpha	9
68	HellsSponge	9
68	Racengan	9
68	SammiWolfGirl	9
68	_i_ERROR_i_	9
68	laron58	9
76	KarlKaek	8
76	tuckerdoodle	8
76	Huwulling	8
76	Awyrlas	8
76	M_Patata	8
76	Krowuss	8
76	Lord_Jord	8
76	Katsuragi0243218	8
76	djancak	8
76	Skippeh	8
76	Jimb0nat0r	8
87	CLG_Kata	7
87	Merv__	7
87	diamondgolem35	7
87	livingdaydreams	7
87	cheerytomato	7
87	Smashic	7
87	Eraza	7
87	Winklepicker279	7
87	hanaryheatwave	7
87	thebaddruid	7
87	Werbe	7
87	selectrix	7
87	aec9	7
87	NomadicRobin_	7
87	claivin	7
87	MAns_44	7
87	MasterNueve	7
87	bloomkieren	7
87	MineMaster0012	7
87	non089	7
87	SpacesickPrism	7
87	tartanboy	7
87	diggydog67	7
110	Jovaphobic	6
110	NatalieTW	6
110	SmashingPump	6
110	SyntheticSurgeon	6
110	Lez_	6
110	Crowman1	6
110	jacxhadow	6
110	12Magner05	6
110	Inchef	6
110	Cellcorgi649	6
110	Kubelz	6
110	whoaluv	6
110	Zythose	6
110	Dakar_	6
110	Blu3beast	6
110	ProfessorDiaper	6
110	Druid95	6
110	ItsDeltaMC	6
110	SvenskaHugo	6
110	xzvu	6
110	Luigipunch989	6
110	NATE_the_HALO	6
110	AppleJacks	6
110	EcksD	6
110	RadarHz	6
110	smogfrog	6
110	Nicserso	6
137	Groovy_MoonBird	5
137	_Virify_	5
137	Mr_Byzantine	5
137	PhantomsGhost_	5
137	Cowison	5
137	Creativebuilder2	5
137	ExtraDumb	5
137	SaucyDark	5
137	Prodiginus	5
137	NieToksikpl	5
137	Saucepeh	5
137	bloodbiter	5
137	m_be9	5
137	Secret_Canary	5
137	excelsionprime	5
137	himak1	5
137	r123moore	5
137	CollinMH06	5
137	F_Uhre	5
137	Maenara	5
137	Shogunite	5
137	SingedBread	5
137	wwwwinnebagoooo	5
137	pixelviolin	5
137	LeeMcGee30	5
137	MilleGrug	5
137	Njensen7	5
137	Steelynan	5
137	Iamthejo	5
137	Quotary	5
137	MadmanRaven	5
168	No_Bena	4
168	Apollo_993	4
168	fanofbands101	4
168	soundad	4
168	FujiBS	4
168	q_wq	4
168	KingFaenor	4
168	Tommhh	4
168	bigstankyy	4
168	Killercatty78	4
168	Ssor69	4
168	picardred	4
168	BilboBaggins23	4
168	UncreativeArtist	4
168	LeauVox4921	4
168	ROY4LE	4
168	2Stout	4
168	legal_tax_evader	4
168	Jonafrog99	4
168	Rumpletaezer	4
168	_Boipl_	4
168	CrateOfBoxes	4
168	Bumpy419	4
168	RobotMinion101	4
168	Jimi7hits	4
168	Elastiq	4
168	Hahaa_0	4
168	Joestra	4
168	masskedman	4
168	NoChumpChange	4
168	fkGrim	4
168	Deathkob	4
168	Meatlaugh	4
168	Soap_Bender	4
168	NameGenerat0r	4
168	AstreaTSS	4
168	Barlycorn	4
168	Toriankel	4
168	SkateboardR6	4
168	stavgod	4
168	StarCookiees_	4
168	ayamefag	4
168	_TCARREIRA_	4
168	Hermanni__	4
168	TheOuterCore	4
168	CattSoup	4
168	2blox_	4
168	Sral7	4
216	TheBiggestFeller	3
216	Paint	3
216	PazinGaming	3
216	teslawolf38	3
216	I_Am_Mushkin	3
216	Ryan_GEMS	3
216	Alteriity	3
216	_AceOfSpace_	3
216	SpaceGrenadier	3
216	fr0stss	3
216	Da_Boss_Rani	3
216	Euclidoris	3
216	NasdaqCrash	3
216	ItsHydroMC	3
216	poopybh	3
216	_Dean_123	3
216	Kkanot	3
216	Kamflame10	3
216	Cambo5000	3
216	theonlymagikarp	3
216	ARandomHedge	3
216	XboxPanda	3
216	shadowthemonkey	3
216	yheece	3
216	SlayerCrypto	3
216	Snowflowe	3
216	JETrotter	3
216	DAD_1996	3
216	Hiryu27	3
216	ApophisNova	3
216	AlexxO_o	3
216	Dan_Scha	3
216	lizardfightclub	3
216	Luminad3	3
216	Leyna3	3
216	fw3xy74	3
216	LeonelSalamanca	3
216	Gryglu583	3
216	Syropatathe	3
216	Lutres_	3
216	DarkS0L	3
216	DarlaMeow	3
216	_Karmaa	3
216	Quincannon	3
216	Deerfoot	3
216	DanTheBuilderino	3
216	Xclax101	3
216	Steve897	3
216	GravitySaint	3
