rank	username	minecraft:picked_up/minecraft:gravel
1	thewindmillman	283595
2	lordpipe	121735
3	joethahobo	112535
4	TheSecondLord	108347
5	noam464	83226
6	Ezekson	79740
7	Enderslayerxz3	77367
8	PhantomsGhost_	66926
9	Blaiku	49175
10	Spacewardharpy7	45859
11	gcaisawesome	41995
12	PigDab	39843
13	TheShyPig	38630
14	Zythose	38268
15	pintsizedrogue	36037
16	Smoke____	30849
17	HellsSponge	30675
18	Kakolbus	30398
19	Di_infiri	30031
20	Snowflowe	29685
21	EcksD	28090
22	eitanzaki	27807
23	Hyp3rion_	24615
24	YungMaki	24020
25	Miko_Fullbuster	22785
26	sebastiensaborio	22763
27	Cowison	22702
28	diamondgolem35	21990
29	NomadicRobin_	21784
30	Menthas	21535
31	EveryonesUncle	20039
32	Werbe	18948
33	beeperbeeper5	18410
34	Freak_Genius	17774
35	Legendosh	16802
36	EMC_	15842
37	Sky_light_KING	13741
38	500am	13735
39	Hoid_the_Roamer	13692
40	m_be9	13507
41	Deathkob	12335
42	obzii	11737
43	Jackattack53	10831
44	yulgur1	10288
45	ApophisNova	10110
45	MyNamaSheff	10110
47	LordSpeed37	9913
48	set67	9853
49	SpaceGrenadier	8890
50	Swexti	8863
51	MyNameIsJobo	8832
52	Frozil12	8790
53	Skylord_Luke	8682
54	Groundler	8548
55	oxfordschool	8385
56	Fullut	8311
57	PlasticOtari	8176
58	El_Jalapeno	8172
59	eviltunix	8101
60	Dedalus36	8078
61	Onennon	8045
62	RebelAndroid	7892
63	MeetTheWollo	7888
64	surfinggiraffejp	7833
65	TechnoNinja64	7774
66	Hiryu27	7634
67	sp00ky_ghost977	7522
68	Lord_Jord	7503
69	picardred	7463
70	Xclax101	7418
71	ImpavidArcher	7307
72	12Magner05	7292
73	Franco093	7213
74	andy_rex	7180
75	Winklepicker279	7158
76	Mahoose	6990
77	BumbleBeever	6604
78	Blackberry1310	6487
79	lillips	6471
80	Quotary	6266
81	Kubelz	6091
82	SvenskaHugo	6067
83	Skippeh	6057
84	ssleepless	5903
85	bigstankyy	5732
86	ROY4LE	5692
87	Mewar	5685
88	__Fanda__	5406
89	ExtraDumb	5273
90	Arceus1975	4895
90	RodSerlingCringe	4895
92	Awyrlas	4757
93	Jiminie	4728
94	Incinere	4703
95	mwrty	4702
96	_TCARREIRA_	4667
97	kekhon	4659
98	wezzzi	4628
99	__tomato	4547
100	Kowcio_	4542
101	claivin	4518
102	Hyugo	4470
103	HyperCave	4311
104	Historical_Sand	4259
105	MilleGrug	4218
106	CollinMH06	4209
107	himak1	4143
108	Chromary	4091
109	lcvezra	4085
110	pixelviolin	3963
111	T045RTY	3961
112	Racengan	3927
113	NoChumpChange	3911
114	SaucyDark	3855
115	BlancoFlaco	3800
116	Bumpy419	3754
117	RobotMinion101	3566
118	EcksDofficial	3504
119	Groovy_MoonBird	3487
120	Marbz_	3467
121	Akoot_	3450
122	MightyWertu	3419
123	the_fireminer	3394
124	Euclidoris	3331
125	Zoeyfortnite	3309
126	FelixPSY375	3265
127	Maenara	3228
128	NameGenerat0r	3192
129	DemTechAlpha	3157
130	Iagoku	3135
131	Merv__	3107
132	Tobinator_007	2997
133	Seyaboy	2968
134	FishyBoy3811	2945
135	Njensen7	2872
136	Inbefour	2869
137	rarrq	2861
138	PortlyPete69	2781
139	paranoid_plant	2772
140	beeleg	2754
141	livingdaydreams	2748
142	Drlzyy	2736
143	Airem_Core	2711
144	Sral7	2697
145	Hermanni__	2690
146	Lutres_Torane	2682
147	awesomeoneme	2672
148	jnp_gaming	2650
149	ProfessorBee	2643
150	TheThomas69	2628
151	_Karmaa	2627
152	Xovalt_	2620
153	PlzNoBM	2612
154	Hisiste	2568
155	SammiWolfGirl	2497
156	Eraxa	2472
157	cedric72	2432
158	teslawolf38	2399
159	Shogunite	2383
160	MousePlays	2347
161	jushykins	2334
162	fred870d	2315
163	Deodorante	2308
164	AltnumberF4	2292
165	XboxPanda	2283
166	YungWali	2242
167	MangoTheFish	2241
168	thescout7	2229
169	UrbanPlanner1978	2226
170	KarlKaek	2211
171	Rumpletaezer	2185
172	RadarHz	2183
173	AuroraValkyrie	2181
174	SingedBread	2177
175	fluddd	2167
176	Xalithia	2144
177	alderban107	2113
178	stahouo	2095
179	Inchef	2072
180	censorsheep	2067
181	Spenduh	2056
182	CrateOfBoxes	2042
183	Barlycorn	2032
184	KG1999	2028
185	xxPipperDipperxx	2023
186	SSytex_X	2007
187	I_Am_Mushkin	2000
188	Soplight	1980
189	Dan_Scha	1959
190	hcb238	1921
191	Rocco_Lane	1900
192	titanlax	1898
193	Steven1282598	1885
194	ThatMan_Dave	1870
195	Nicky_H225	1861
196	Segotep999	1823
197	Dusk_95	1801
198	jacxhadow	1792
199	MinttyFressh	1787
200	Kyrum2169	1777
201	TooManyDuck	1767
202	CoffeeNoir	1732
203	SuperPooch06	1704
204	lizardfightclub	1696
205	M_Patata	1695
206	diggydog67	1690
207	Ssor69	1686
208	NLKBuilder	1679
209	anbbang	1666
210	burbankbuilder28	1652
211	Truckoss	1647
212	MasterNueve	1638
213	Blu3beast	1619
214	Powowowow	1604
215	The11thDoctor	1599
216	_Virify_	1567
217	TheTrueClipse	1565
218	Prodiginus	1561
219	Nicserso	1519
220	07shiny	1517
221	_Nuf	1492
222	WyngGoy	1490
223	emrekn	1484
224	Gab4101	1478
225	DTwenty	1470
226	Optiprimus	1466
227	djancak	1464
228	GravitySaint	1448
229	Fuhrer_Teemo	1422
229	Quincannon	1422
231	Gary_	1363
232	Vetral1	1361
233	TheDankPlatypus	1357
234	Meatlaugh	1350
235	Omar_Alone	1341
236	mobunni	1337
237	audiocracked	1331
238	Luigipunch989	1317
239	Zaridey	1301
240	vandmanden	1292
241	Comma__	1288
242	HolyVenom	1267
243	6king6colt6	1265
244	r123moore	1235
245	dudcreeper	1229
246	SamZombie	1209
247	CalebDHawk	1193
248	_Dean_123	1181
249	JayToe	1152
250	Darkgon	1147
251	Alexanderjac	1145
252	jcool7	1137
253	Scathra	1131
254	RedcatVII	1129
255	trexgb	1120
256	_NieToksikpl_	1113
257	seramalen	1110
257	chipklip	1110
259	1442	1107
260	Rich_Kat	1092
261	Mr_Byzantine	1091
262	Typadopoulos	1089
263	KingMatthew506	1080
264	ShedJr_	1079
265	SkateboardR6	1069
266	soundad	1066
267	Soap_Bender	1062
268	Wooptey	1059
269	Houstonion	1053
270	eiC_	1052
271	Invisie	1028
271	stellarjay	1028
273	FirsTimeGamingTV	1016
274	HesDemonPants	1013
275	NormanFetus	1012
276	DaKaveMan	999
277	Cryptacity	988
278	ProfessorDiaper	980
279	Paintz	976
280	Malorn_Aetherius	975
281	RoskobiOne	974
282	The_slideV3	969
283	Fildyr	968
284	Bandito_Roamer	957
285	Kukkelikuk	954
286	Jorrdi	951
287	bloodbiter	942
288	Jovaphobic	935
288	DanielMmm	935
288	Leyna3	935
291	starbits140	930
292	DarlaMeow	927
293	2blox	925
294	NotMeanttoChange	917
295	fffMike	916
296	Sheldor097	913
297	GoofyBread	910
298	Dreamdbr14	905
299	H72l9w	898
300	mimbo1211	880
