rank	username	minecraft:picked_up/minecraft:gray_shulker_box
1	Hyp3rion_	851
2	pintsizedrogue	756
3	TheShyPig	742
4	Mahoose	536
5	Enderxz3	472
6	Krowuss	386
7	Jackattack53	363
8	gcaisawesome	318
9	oscminus	315
10	PlasticOtari	313
11	Kowcio_	304
12	Skippeh	289
13	Lez_	235
14	rarrq	205
15	beeperbeeper5	198
16	Apollo_993	188
17	TheSecondLord	177
18	kekhon	165
19	Jimi7hits	153
20	Pumpkin_P_Patch	143
21	thewindmillman	140
22	Jimb0nat0r	128
23	500am	121
24	Yamdalorian	109
25	Mattesco	102
26	claivin	101
27	craaaash	100
28	Segotep999	99
29	LuvLuvLove	93
30	hanaryheatwave	92
30	sp00ky_ghost977	92
32	Buuck_	91
33	luseis	89
34	mwrty	88
35	Inchef	78
36	teslawolf38	75
37	HellsSponge	73
38	PazinGaming	72
39	Manaateee	69
39	ConnorDanky_	69
41	Merv__	66
42	skroobiez	63
42	pixelviolin	63
44	Spacewardharpy7	62
45	TheSeismicDuck	60
46	Mr_Byzantine	58
46	Auseawesome	58
46	ChronoSounds	58
46	doublemaki	58
50	Huwulling	56
51	ZoomieZoomie	53
52	fade_emerge78823	50
53	Alteriity	49
54	FirsTimeGamingTV	48
55	JayToe	47
56	Akoot_	46
57	Elastiq	45
58	RoskobiOne	44
58	Eczbek	44
60	mihimihimihi	43
61	ImpavidArcher	41
61	MattieHD	41
63	QuiCreans	40
63	Sleepy_Evelyn	40
63	noam464	40
66	bigstankyy	39
66	TheWickedBird	39
68	SingedBread	38
68	Soplight	38
70	Incinere	37
70	joethahobo	37
70	Iamthejo	37
73	Deathkob	35
74	StinkyDiplomat	34
75	Historical_Sand	32
76	Groundler	31
77	Werbe	30
78	Frozil20	29
78	lordpipe	29
78	Steelynan	29
81	Awyrlas	28
81	vandmanden	28
83	Ezekson	27
84	jushykins	26
84	Smashic	26
84	Skylord_Luke	26
87	SoftSix	25
87	QuesoCrusaderIII	25
89	Rumpletaezer	24
89	Tyrannosplart	24
91	jimintyy	23
91	NameGenerat0r	23
93	Hpdinosaur	22
94	yheece	21
94	cedric72	21
94	EdGalbraith	21
97	titanlax	19
97	Kakolbus	19
97	RobotMinion101	19
97	Inbefour	19
97	Dogcorn69420	19
97	EcksD	19
103	ECstardust	18
103	thatbeanyboi	18
103	_8man	18
106	bl1ss0	17
106	SpouHn	17
106	EngagedGrub41	17
109	Crowman1	16
109	MAns_44	16
109	CattSoup	16
112	Fuad_R	15
112	MightyWertu	15
112	Eraxa	15
112	TheKingK_	15
116	Ggino0	14
116	iSammael	14
116	Njensen7	14
119	Cruncy_	13
119	zToasty69z	13
121	EMC_	12
121	Gregward_Smith	12
121	Xalithia	12
121	wx4z	12
125	Stiar	11
125	Marbz_	11
125	milltesco	11
125	Blaiku	11
125	jnp_gaming	11
130	TooManyDuck	10
130	4774	10
130	emrekn	10
130	duqboy	10
134	mymayowasgone	9
134	HUNTERmaun	9
134	CollinMH06	9
134	King_Pancake1	9
134	AlexxO_o	9
134	Lord_Jord	9
134	FreakGenius	9
134	robonya_	9
142	Ssor69	8
142	OreTheBear	8
142	Truckoss	8
142	That_tech_head	8
146	SaphSaff	7
146	Healthing	7
146	lorpus	7
146	DukeBoy1646	7
146	pappaberg	7
151	SteveCraftBlocks	6
151	Bumpy419	6
151	GooseWithin	6
151	DarlaMeow	6
151	_Karmaa	6
151	El_Jalapeno	6
151	cuddlyMonster	6
158	chipklip	5
158	powercas_gamer	5
158	Houstonion	5
158	lorywithay	5
158	emreknugrlu	5
158	LazySupport00	5
158	miramyu	5
158	_Wannabe_	5
166	TAKrules	4
166	Rani_R	4
166	Fullut	4
166	TheDankPlatypus	4
166	Koalander	4
166	SuperStreetCat	4
166	U_Mos_	4
166	IamCL4SSY	4
166	Razzgriz	4
166	taengoos	4
166	FishisTTV	4
166	Faart	4
178	chadifex	3
178	KarlKaek	3
178	Euclidoris	3
178	KingEgg1	3
178	ee_echo_oo	3
178	DanielMmm	3
178	Olib3ar	3
178	fw3xy	3
178	FiguraDei	3
178	StarCookiees_	3
178	SpacesickPrism	3
178	Powowowow	3
190	PhantomsGhost_	2
190	Poliitikko	2
190	Creativebuilder2	2
190	ssleepless	2
190	catandmoose	2
190	excelsionprime	2
190	surfinggiraffejp	2
190	WET_WET_WET	2
190	Boipl	2
190	Donutt	2
190	Rebytre	2
190	F_Uhre	2
190	SolarKar	2
190	txxskx	2
190	AspenLightVT	2
190	weabis	2
190	Blu3beast	2
190	Ma_name_alex	2
190	AssFullaCum	2
190	SammiWolfGirl	2
190	TheBananaKat	2
190	Nicserso	2
190	QueenHedwig9	2
213	_Huge_Male_	1
213	AuroraValkyrie	1
213	eitanzaki	1
213	ShedJr_	1
213	Fullbit_	1
213	xxPipperDipperxx	1
213	Itz_DuongVN	1
213	Di_infiri	1
213	Chromary	1
213	Zythose	1
213	tobinwilliams	1
213	NotHimMC	1
213	EtherealSilveon	1
213	k1ngGilgamesh	1
213	Mr_Froxy	1
213	aldplaysmc	1
213	Shogunite	1
213	Racengan	1
213	Lord_Doob	1
213	mr_crabs761	1
213	OG_Songsee	1
213	Cache3	1
213	SvenskaHugo	1
213	laron58	1
213	UrbanPlanningEx	1
213	TechnoNinja64	1
213	es0th	1
213	00000000-0000-0000-0009-01f431fe6dbe	1
