rank	username	minecraft:picked_up/minecraft:gray_wool
1	noam464	181488
2	joethahobo	75039
3	thewindmillman	54866
4	EcksD	34076
5	FreakGenius	13526
6	YungMaki	10153
7	kekhon	4746
8	HellsSponge	4282
9	Hyp3rion_	4173
10	mwrty	3010
11	xxPipperDipperxx	3005
12	PhantomsGhost_	1967
13	lordpipe	1851
14	ConnorDanky_	1777
15	PlasticOtari	1526
16	fffMike	1247
17	Swexti	1216
18	Werbe	905
19	Smoke____	737
20	Blaiku	726
21	beeperbeeper5	674
22	XxCookiequeenxX	649
23	Inbefour	636
24	Rumpletaezer	620
25	The11thDoctor	541
26	SammiWolfGirl	448
27	TechnoNinja64	404
28	Mahoose	403
29	pintsizedrogue	366
30	groofles	358
31	CattSoup	339
32	Bandito_Roamer	334
33	TeenMomTom	320
34	Rebytre	308
35	Eraxa	285
36	Zaridey	279
37	RealGroot	277
38	Di_infiri	267
39	SuperPooch06	251
40	Blackberry1310	230
41	Snowflowe	210
42	DarlaMeow	202
43	teslawolf38	194
43	Quaintster	194
45	Shin69	191
46	Nycteus_	188
47	starbits140	186
48	EngagedGrub41	177
49	Merv__	164
50	MrKrabOnCoke	148
51	Lez_	146
52	Mr_Byzantine	141
53	El_Jalapeno	135
54	Bumpy419	133
55	RoskobiOne	123
55	IamCL4SSY	123
57	TheSecondLord	118
58	PeteO1995	117
59	Frozil20	116
60	ImpavidArcher	111
61	nocturne78	96
61	titanlax	96
63	Hermanni__	94
64	Ezekson	93
65	Huwulling	90
66	bloodbiter	88
66	Soplight	88
68	SvenskaHugo	85
69	Moofyman	82
70	TheBiggestFeller	76
70	HollieDaNugget	76
70	Lord_Jord	76
73	NameGenerat0r	74
74	Comma__	67
75	Skylord_Luke	66
75	_Karmaa	66
77	thgrocks	57
77	fkGrim	57
79	Sleepy_Time_	56
79	ProfessorBee	56
81	Cryptacity	52
82	EveryonesUncle	50
82	Enderxz3	50
84	TheShyPig	48
85	Dogcorn69420	45
86	M_Patata	44
86	BumbleBeever	44
86	MasterNueve	44
86	Nicserso	44
90	rarrq	43
90	Quotary	43
92	12Magner05	42
93	SaintJosie	41
94	openatheclose	38
95	luseis	37
96	Sral7	34
97	dopplexd	32
98	Mattesco	31
98	marumochis	31
98	xzvu	31
101	squigglybones	30
102	ReyTheLegend	27
102	xolstoi	27
104	Maenara	26
105	Batman922	24
105	Historical_Sand	24
105	picardred	24
108	TheOuterCore	23
109	platinumzero	22
109	claivin	22
111	legal_tax_evader	21
112	Avrelion	20
112	pixelviolin	20
114	_Dean_123	19
114	Tyrannosplart	19
116	eitanzaki	18
116	eiC_	18
116	sp00ky_ghost977	18
119	Onennon	17
119	AlphaWolfPlaysMC	17
119	MinuteMira	17
122	MrExplorer	16
122	burbankbuilder28	16
122	Akoot_	16
122	NomadicRobin_	16
126	heckface	15
126	Arceus1975	15
126	Kura2218	15
126	diggydog67	15
130	theonlymagikarp	14
130	Kubelz	14
130	Windo_licker	14
130	Jackattack53	14
130	Ender_Souls	14
135	Incinere	13
135	TheDiamondCG	13
137	EMC_	12
137	6king6colt6	12
137	Reamdin	12
137	Prismyst	12
