rank	username	minecraft:picked_up/minecraft:grindstone
1	PlasticOtari	164
2	noodlepack	155
3	_Virify_	144
4	HellsSponge	134
5	Mahoose	121
6	pintsizedrogue	115
7	pixelviolin	103
8	Manaateee	101
9	mihimihimihi	97
10	FreakGenius	92
11	Yamdalorian	90
12	Soplight	76
13	rarrq	67
14	royal_2	64
15	noam464	62
15	Jackattack53	62
17	ROY4LE	61
17	Nicserso	61
19	thewindmillman	60
20	PazinGaming	36
20	Mattesco	36
22	robertsnose	35
22	Hyp3rion_	35
24	Huwulling	34
24	milltesco	34
26	Blackberry1310	33
27	beeperbeeper5	30
27	Skwillyum13	30
27	masskedman	30
30	Steelynan	29
31	TheSecondLord	28
32	doublemaki	27
33	Mr_Byzantine	26
33	Merv__	26
33	12Magner05	26
33	MattieHD	26
33	SlayerCrypto	26
33	Blaiku	26
33	Myntsys	26
40	OneLessChromosom	23
41	Euclidoris	22
41	_witch_craft_	22
43	EveryonesUncle	20
43	Kowcio_	20
45	jacxhadow	19
45	pappaberg	19
47	Spacewardharpy7	18
47	Spaghettatron	18
49	500am	17
49	burbankbuilder28	17
49	Werbe	17
49	luseis	17
53	diamondgolem35	16
53	MyNameIsJobo	16
53	Ezekson	16
56	_Huge_Male_	15
56	DisgruntledKoala	15
56	Snowflowe	15
56	LexMakesHistory	15
56	Racengan	15
61	Groovy_MoonBird	14
61	EMC_	14
61	ImpavidArcher	14
61	joethahobo	14
61	Groundler	14
61	Quotary	14
61	TechnoNinja64	14
68	CLG_Kata	13
68	Historical_Sand	13
68	Vizzoid	13
68	thescout7	13
68	bl1ss0	13
73	abdomera	12
73	Kim_Jong_eel	12
73	Lutres_	12
73	Xclax101	12
73	Luigipunch989	12
73	EngagedGrub41	12
79	craaaash	11
79	Pumpkin_P_Patch	11
79	Skippeh	11
82	eitanzaki	10
82	U_Mos_	10
82	TheShyPig	10
82	JESS_THE_RERE	10
82	fffMike	10
82	Jimb0nat0r	10
88	Lorcout	9
88	Bandito_Roamer	9
88	Ryker	9
88	ShedJr_	9
88	mwrty	9
88	Xalithia	9
88	Onennon	9
88	ayamefag	9
88	Eraxa	9
88	starbits140	9
88	UltraZombie	9
99	Jovaphobic	8
99	j5ylim	8
99	Caribouse	8
99	UncreativeArtist	8
99	Alex_Hansen	8
99	oscminus	8
99	F_Uhre	8
99	ClemenPine	8
99	wezzzi	8
99	_flud	8
99	Eczbek	8
110	fanofbands101	7
110	ActualPatbaf	7
110	Kronos42	7
110	mennorovers	7
110	Megarboh	7
110	lorpus	7
110	Kubelz	7
110	Bumpy419	7
110	Btabtab	7
110	Blu3beast	7
110	TheWickedBird	7
110	diggydog67	7
122	SpartanNamor	6
122	teslawolf38	6
122	shineh10	6
122	Zythose	6
122	ooga47	6
122	aec9	6
122	StinkyDiplomat	6
122	thatsjustfrankie	6
122	El_Jalapeno	6
122	sp00ky_ghost977	6
122	ReyTheLegend	6
122	brofrickcheaters	6
122	ConnorDanky_	6
122	Enderxz3	6
122	Legendosh	6
137	Apollo_993	5
137	MSK__	5
137	Gregward_Smith	5
137	kekhon	5
137	Fullut	5
137	surfinggiraffejp	5
137	shadowthemonkey	5
137	Di_infiri	5
137	wx4z	5
137	CarryLine	5
137	Maenara	5
137	cajibt	5
137	Hisiste	5
137	_3Stump_	5
137	jnp_gaming	5
137	WYFYoyo	5
153	LJW517	4
153	Yatitay	4
153	TooManyDuck	4
153	Jackster03	4
153	Lez_	4
153	skroobiez	4
153	Malorn_Aetherius	4
153	corvidpartyfor6	4
153	knarian	4
153	emrekn	4
153	CharlieButt	4
153	Kakolbus	4
153	Winklepicker279	4
153	Rumpletaezer	4
153	hanaryheatwave	4
153	Arceus1975	4
153	King_Pancake1	4
153	Rebytre	4
153	Skylord_Luke	4
153	IamCL4SSY	4
153	fkGrim	4
153	rotten_mango	4
153	AstreaTSS	4
153	MightyWertu	4
153	Buuck_	4
153	Factoroni	4
153	geekbird	4
153	CacheOut	4
153	TheOuterCore	4
153	UrbanPlanningEx	4
153	00000000-0000-0000-0009-01ff0c3e5e4f	4
184	GGabrielSauce	3
184	soundad	3
184	TildaAndrea	3
184	Incinere	3
184	VDVKmdr_2k04	3
184	Julmish	3
184	uhm__okay	3
184	Ssor69	3
184	ratglock	3
184	Studio4x32	3
184	Secret_Canary	3
184	excelsionprime	3
184	Kkanot	3
184	squeezal	3
184	orxngejuice	3
184	hcb238	3
184	XboxPanda	3
184	TheDankPlatypus	3
184	BlueZabu	3
184	Ecplosive	3
184	mariominejedi	3
184	Fast_Turtle	3
184	jewbacaman	3
184	MonitorLizards	3
184	HeraclesOGU	3
184	AuroraSkies	3
184	AlphaWolfPlaysMC	3
184	Sorry_Arey07	3
184	Vol_Rod33	3
184	DemTechAlpha	3
184	_Karmaa	3
184	NameGenerat0r	3
184	Twighst	3
184	LordAurum	3
184	LetsDoItLive	3
184	robonya_	3
184	taengoos	3
184	RadarHz	3
184	00000000-0000-0000-0009-01fe065167f0	3
223	Froste131	2
223	BadenOnGod	2
223	Paint	2
223	Napoleonpancake	2
223	AuroraValkyrie	2
223	MyMawgDonaldsGon	2
223	Ryan_GEMS	2
223	DinoDoctor_	2
223	hm947	2
223	Tolhart	2
223	Minimize501	2
223	JokoFiskare	2
223	livingdaydreams	2
223	Alteriity	2
223	Prismyst	2
223	Sleepy_Time_	2
223	titanlax	2
223	Saucepeh	2
223	m_be9	2
223	lordsaladito	2
223	PegLegPete93	2
223	Mewar	2
223	SellyZ	2
223	2Stout	2
223	xxPipperDipperxx	2
223	Paintz	2
223	SHAOBADMAN	2
223	ImDisconnected_	2
223	Ristebraaten	2
223	yheece	2
223	Gzrdy	2
223	SuperPooch06	2
223	Boipl	2
223	Krowuss	2
223	Hoid_the_Roamer	2
223	RobotMinion101	2
223	Cruncy_	2
223	PigDab	2
223	SolarKar	2
223	victorLIE	2
223	FishyBoy3811	2
223	xKool	2
223	Akoot_	2
223	NoChumpChange	2
223	Deathkob	2
223	Tyrannosplart	2
223	Avocadogerms	2
223	claivin	2
223	MAns_44	2
223	karudsbip	2
223	Fildyr	2
223	THEKINGLyric10	2
223	wwwwinnebagoooo	2
223	Druid95	2
223	PabloGonza02	2
223	kyouma777	2
223	Shin69	2
223	MrShojo	2
223	underscore_2	2
223	BlankityMcBlank	2
223	TheKingK_	2
223	Segotep999	2
223	PlzNoBM	2
223	jcool7	2
223	mawileite	2
223	KingMatthew506	2
223	chiakirice	2
223	TheOnlyRake	2
223	KamFurnace	2
223	_AAZAR	2
223	2blox_	2
294	SugarMyNuggets	1
294	PhantomsGhost_	1
294	Cowison	1
294	KingFaenor	1
294	powercas_gamer	1
294	Frozil20	1
294	WoofWare	1
