rank	username	minecraft:picked_up/minecraft:jukebox
1	noam464	293
2	Blackberry1310	109
3	lordpipe	94
4	kekhon	78
5	NomadicRobin_	71
6	Soplight	69
7	lcvezra	63
8	Tyrannosplart	59
9	oscminus	47
9	claivin	47
11	Mahoose	36
12	pintsizedrogue	28
12	12Magner05	28
14	PlasticOtari	24
15	Apollo_993	23
15	TheTrueClipse	23
17	ItsColin11	22
17	ROY4LE	22
17	RobotMinion101	22
20	Fullut	21
20	fluddd	21
22	eitanzaki	20
22	Blu3beast	20
22	jnp_gaming	20
25	Inbefour	19
26	H72l9w	18
26	Historical_Sand	18
26	beeperbeeper5	18
26	Hyp3rion_	18
26	The_Cruncy	18
26	Enderxz3	18
32	SmashingPump	17
32	Manaateee	17
34	FreakGenius	16
34	Xclax101	16
34	Kowcio_	16
34	TechnoNinja64	16
38	LeonelSalamanca	15
38	CalebDHawk	15
38	Kubeusz2010	15
38	Nicserso	15
42	Crowman1	13
42	Eraxa	13
42	Legendosh	13
45	TheSecondLord	12
45	EveryonesUncle	12
45	Quaintster	12
48	500am	11
48	Arceus1975	11
48	YungMaki	11
48	Njensen7	11
48	Eczbek	11
53	Groovy_MoonBird	10
53	diamondgolem35	10
53	HellsSponge	10
56	rarrq	9
56	Wowful	9
56	BlankityMcBlank	9
59	6king6colt6	8
59	Incinere	8
59	ShedJr_	8
59	jessewegottacook	8
59	Inchef	8
59	Eczbox	8
59	Ezekson	8
59	Jimb0nat0r	8
67	SaucyDark	7
67	Lez_	7
67	ProfessorBee	7
67	Onennon	7
67	Steelynan	7
67	Iamthejo	7
73	burbankbuilder28	6
73	Bumpy419	6
73	sammidk	6
73	SingedBread	6
73	non089	6
73	Powowowow	6
79	ImpavidArcher	5
79	Prismyst	5
79	joethahobo	5
79	Comma__	5
79	Kkanot	5
79	xxPipperDipperxx	5
79	Marbz_	5
79	epiksk8erduck	5
79	fw3xy74	5
79	luseis	5
79	Blaiku	5
79	Airem_Core	5
79	Cocoamallows	5
79	skrongus	5
93	k_ce	4
93	Mr_Byzantine	4
93	PhantomsGhost_	4
93	Merv__	4
93	Ryan_GEMS	4
93	heckface	4
93	MinttyFressh	4
93	4774	4
93	mwrty	4
93	olliebollie48	4
93	yheece	4
93	MyNameIsJobo	4
93	Jackattack53	4
93	SuperPooch06	4
93	Krowuss	4
93	Rebytre	4
93	Kynigito	4
93	Spacewardharpy7	4
93	33sudo	4
93	tsitrawhy	4
93	Spenduh	4
93	Hermanni__	4
93	Quotary	4
93	Zoeyfortnite	4
93	AdmiralSmoke	4
118	hm947	3
118	ZaneABrain	3
118	Prodiginus	3
118	bloodbiter	3
118	Cambo5000	3
118	lorpus	3
118	TheDankPlatypus	3
118	fallingemma	3
118	Windo_licker	3
118	Parcc	3
118	Werbe	3
118	Mr_Sun15	3
118	Drewen24	3
118	SaintJosie	3
118	AlphaWolfPlaysMC	3
118	Jiminbub	3
118	_Bguette_	3
118	NameGenerat0r	3
118	MAns_44	3
118	El_Jalapeno	3
118	Fildyr	3
118	MineMaster0012	3
118	Segotep999	3
118	xzvu	3
118	SammiWolfGirl	3
118	fffMike	3
118	jcool7	3
118	EcksD	3
118	2blox_	3
147	Jovaphobic	2
147	MuffinManzz	2
147	seanitoo	2
147	_Virify_	2
147	CLG_Kata	2
147	dabloons	2
147	ECstardust	2
147	KarlKaek	2
147	xXTheWolfmanXx	2
147	DinoDoctor_	2
147	Ryker	2
147	MOSS000	2
147	Sleepy_Time_	2
147	Euclidoris	2
147	CaracolCxnt	2
147	SnowyAvi	2
147	QuakerOatsGod	2
147	jushykins	2
147	_Dean_123	2
147	Smashic	2
147	excelsionprime	2
147	Awyrlas	2
147	Di_infiri	2
147	hanaryheatwave	2
147	pappaberg	2
147	kars0n	2
147	Skylord_Luke	2
147	Mattesco	2
147	TheShyPig	2
147	zToasty69z	2
147	NYJ	2
147	PartyPhoenix	2
147	lillips	2
147	Meatlaugh	2
147	Dakar_	2
147	DarlaMeow	2
147	Groundler	2
147	Kura2218	2
147	KingMatthew506	2
147	TheBananaKat	2
147	iamwash	2
147	smogfrog	2
147	Northernrabbit	2
147	diggydog67	2
191	Astronicky	1
191	Tobinator_007	1
191	dudcreeper	1
191	BPTY4618	1
191	teslawolf38	1
191	lewieinnit	1
191	Frozil20	1
191	TemoraScorpendra	1
191	ssleepless	1
191	Hpdinosaur	1
191	Furiuosbeast0404	1
191	RebelAndroid	1
191	T045RTY	1
191	MoistMicrowave	1
191	Barjas	1
191	peach0s	1
191	MrKrabOnCoke	1
191	fr0stss	1
191	Dblikstad	1
191	Mercadies	1
191	ItsHydroMC	1
191	Ravenbie	1
191	DarkDescent2392	1
191	MattieHD	1
191	zorin123	1
191	_HoneySlime_	1
191	Guillemet	1
191	SteveCraftBlocks	1
191	Kamflame10	1
191	thescout7	1
191	intropass	1
191	SpicyMeatballs	1
191	Paintz	1
191	M_Patata	1
191	Mobstr	1
191	TableTim	1
191	BlueZabu	1
191	Norrhede	1
191	Chromary	1
