rank	username	minecraft:picked_up/minecraft:ladder
1	thewindmillman	15806
2	Yamdalorian	1684
3	Legendosh	1467
4	FreakGenius	1161
5	Werbe	1145
6	HellsSponge	1080
7	EMC_	1001
8	KarlKaek	954
9	Mr_Byzantine	831
10	11Brewer	817
11	joethahobo	729
12	beeperbeeper5	699
13	rarrq	687
14	Skylord_Luke	670
15	pintsizedrogue	669
16	Hyp3rion_	652
17	PlasticOtari	604
18	doublemaki	567
19	fffMike	504
20	El_Jalapeno	469
21	Mahoose	440
22	Meatlaugh	433
23	Jackattack53	411
24	TheShyPig	405
25	Blackberry1310	401
25	Bumpy419	401
27	cedric72	379
27	zToasty69z	379
29	thescout7	338
30	Di_infiri	330
31	eviltunix	321
32	SteveCraftBlocks	319
33	Kakolbus	318
34	selectrix	300
35	Groundler	297
36	Maenara	295
37	TheWickedBird	272
38	Onennon	270
39	robertsnose	259
39	Enderxz3	259
41	SvenskaHugo	255
42	burbankbuilder28	252
43	noam464	251
44	xxPipperDipperxx	249
45	EKUG	248
46	Njensen7	226
47	Miroryk	221
47	MustaLoordi	221
49	Akoot_	213
50	ImpavidArcher	212
51	Lukeee33	211
52	Lilinaya17	210
52	MyNameIsJobo	210
54	Warlord324	208
54	Steelynan	208
56	Kowcio_	207
57	Rebytre	206
57	LuvLuvLove	206
59	Snowflowe	203
60	Manaateee	191
61	Historical_Sand	189
62	sp00ky_ghost977	185
63	miramyu	184
64	kekhon	183
65	Huwulling	181
66	Arceus1975	180
66	Jimb0nat0r	180
68	Merv__	178
69	TechnoNinja64	177
70	Racengan	176
71	CliffEmAll	174
72	_stets	172
73	Kubelz	170
73	djancak	170
75	Ryan_GEMS	167
76	Xclax101	166
77	Lez_	162
77	TheBananaKat	162
79	_flud	161
80	Iamthejo	160
81	OfficerAnvil	159
82	pixelviolin	158
83	AstreaTSS	156
83	Eczbek	156
85	cichy096	155
86	Hyugo	150
87	PhantomsGhost_	147
87	Kubeusz2010	147
89	Napoleonpancake	146
90	MattieHD	144
90	E775	144
92	Kynigito	141
93	KingFaenor	138
93	royal_2	138
93	cuddlyMonster	138
96	Paintz	137
97	TheSecondLord	136
98	Btabtab	133
99	luseis	131
100	RatatJuice	125
101	oscminus	124
102	Inbefour	122
103	Zythose	121
104	diamondgolem35	118
105	Samificator	117
105	Soplight	117
107	Comma__	116
107	ROY4LE	116
107	Ezekson	116
110	k_ce	114
110	_witch_craft_	114
110	Vorlice	114
113	shineh10	113
114	tsohomie	112
115	SaucyDark	111
115	m_be9	111
115	milltesco	111
118	lordpipe	109
119	Eraxa	108
120	Franco093	107
121	NatalieTW	106
122	_8man	104
122	Kferno	104
124	Aezekial	102
125	Jij0	101
126	intropass	100
126	ConnorDanky_	100
128	Cocoamallows	98
129	SSytex_X	95
129	FormulaNewt3627	95
131	Hisiste	94
132	InfernalMound	93
132	PeteO1995	93
134	Gryglu583	92
134	TwinTowerV2	92
136	Toriankel	91
137	Moofyman	90
138	Rumpletaezer	89
138	PortlyPete69	89
140	parodypatient	88
141	mwrty	87
142	wx4z	86
143	DermeinUser	85
143	ayamefag	85
143	hermmm_	85
146	Alteriity	84
147	kalzor	82
148	Voxin2K	81
148	SingedBread	81
148	BlankityMcBlank	81
151	_Dean_123	80
151	Koalander	80
151	taengoos	80
154	q_wq	79
154	censorsheep	79
156	hanaryheatwave	78
157	Arivana	77
157	500am	77
157	Z3braYTIL	77
160	Megarboh	75
160	Tyrannosplart	75
160	The_slideV3	75
163	squigglybones	74
163	6king6colt6	74
163	Fullut	74
163	layabout100	74
167	Chromary	73
167	StarCookiees_	73
169	Frozil20	72
169	MSK__	72
171	Ssor69	71
171	eiC_	71
171	ApophisNova	71
171	MyNamaSheff	71
171	Nicserso	71
176	JESS_THE_RERE	70
176	MAns_44	70
176	es0th	70
179	Notta	69
179	mawileite	69
181	WET_WET_WET	68
181	Cyber_Stealth05	68
183	CaptainDeadBread	66
183	thgrocks	66
183	__tomato	66
186	Smashic	65
186	TheDumbHuman	65
186	WyngGoy	65
186	Biites	65
190	ShedJr_	64
190	Reneedium	64
190	MinerDec	64
190	AlphaWolfPlaysMC	64
194	Groovy_MoonBird	63
194	Houstonion	63
194	Gregward_Smith	63
194	smogfrog	63
198	teslawolf38	62
198	legal_tax_evader	62
198	yheece	62
201	RedcatVII	61
202	Mookle96	60
202	queenalina123	60
202	Jamstroxian	60
202	Fildyr	60
202	HesDemonPants	60
207	buss081	59
208	12Magner05	58
208	SpacesickPrism	58
210	Mattesco	56
210	Spacewardharpy7	56
210	bitsplease	56
213	Paint	55
213	BodaciousCake	55
215	Studio4x32	54
215	Hoid_the_Roamer	54
215	EveryonesUncle	54
218	Laykon	53
218	yulgur1	53
220	TheBiggestFeller	52
220	Fuhrer_Teemo	52
220	EngagedGrub41	52
223	o0z	51
223	StinkyDiplomat	51
223	blackeemperor	51
223	MrWataby	51
223	MisfitsMike	51
228	Kyrum2169	50
229	Literally_Rat	49
229	RobotMinion101	49
229	dartwaffle	49
229	IAmTheWalrus910	49
233	Wooptey	48
233	Auseawesome	48
233	Lord_Jord	48
233	Drawgirl	48
237	AmitE1	46
237	Typadopoulos	46
239	Sleepy_Evelyn	45
239	Vanni9	45
239	Sorry_Arey07	45
239	Blu3beast	45
239	robonya_	45
244	_Razaria	44
244	TheDankPlatypus	44
244	audiocracked	44
244	Katthaj	44
244	Gus2005	44
244	lunkuku	44
244	Pumpkin_P_Patch	44
251	zMarciano	43
251	insanepace	43
251	himak1	43
251	bl1ss0	43
251	Luminad3	43
251	MightyWertu	43
257	bigstankyy	42
257	nitram49b	42
259	TheThomas69	41
259	Hiryu27	41
259	Blaiku	41
259	JayToe	41
263	SaltineDream	40
263	abdomera	40
263	Jackster03	40
263	LexMakesHistory	40
263	Barlycorn	40
263	Myntsys	40
263	jnp_gaming	40
270	Swexti	39
270	titanlax	39
270	ratglock	39
270	set67	39
270	orxngejuice	39
270	Eman__1	39
270	SUN_DREAM	39
277	XboxPanda	38
277	seramalen	38
277	cog	38
277	monky_irl	38
281	Incinere	37
281	Natty	37
281	theofiel	37
281	ADEXTV	37
281	Western_1	37
286	Bandito_Roamer	36
286	Crowman1	36
286	Kkanot	36
286	Doom_melon	36
286	Skippeh	36
286	BreadBacon	36
292	mymayowasgone	35
292	2Stout	35
292	John6970	35
292	Balthie	35
296	Morgf	34
296	groofles	34
296	EdGalbraith	34
296	FGamerJ	34
300	_Virify_	33
