rank	username	minecraft:picked_up/minecraft:lodestone
1	oxfordschool	29
2	Mahoose	11
3	noam464	9
3	Enderslayerxz3	9
5	MangoTheFish	7
6	Awyrlas	5
7	beeperbeeper5	4
7	Eraxa	4
9	ShedJr_	3
9	Winklepicker279	3
11	pintsizedrogue	2
11	Fullut	2
11	Xalithia	2
11	thewindmillman	2
11	Wowful	2
11	Freak_Genius	2
11	Nycteus_	2
11	Blaiku	2
11	YungMaki	2
11	EcksD	2
21	_Virify_	1
21	RebelAndroid	1
21	T045RTY	1
21	CoffeeNoir	1
21	joethahobo	1
21	Historical_Sand	1
21	Blackberry1310	1
21	500am	1
21	mwrty	1
21	egglapras	1
21	Inchef	1
21	TheShyPig	1
21	Akoot_	1
21	yulgur1	1
21	EveryonesUncle	1
21	Kubeusz2010	1
21	Ezekson	1
