rank	username	minecraft:picked_up/minecraft:magenta_shulker_box
1	500am	690
2	Hyp3rion_	432
3	TheShyPig	391
4	pintsizedrogue	331
5	livingdaydreams	316
6	PlasticOtari	292
7	jnp_gaming	215
8	monky_irl	184
9	Fullut	149
10	Spenduh	140
11	lordpipe	131
12	Hisiste	105
13	_Nuf	101
14	thewindmillman	99
14	HellsSponge	99
14	YungMaki	99
17	oxfordschool	87
18	Eraxa	85
19	I_Am_Mushkin	78
20	mwrty	77
21	beeperbeeper5	74
22	Chromary	72
23	Blaiku	69
24	burbankbuilder28	68
25	kekhon	64
26	Zaridey	63
27	TheSecondLord	59
28	Enderslayerxz3	58
29	Bumpy419	57
30	fluddd	56
31	Merv__	53
31	Akoot_	53
33	Comma__	52
34	Covalents	47
35	Hoid_the_Roamer	41
35	MAns_44	41
37	T045RTY	39
37	Smoke____	39
39	Voxin2K	37
40	thescout7	34
40	2Stout	34
42	AlazelTheReal	33
43	El_Jalapeno	32
43	sp00ky_ghost977	32
45	r123moore	29
45	noam464	29
47	Myszoaz	28
47	set67	28
49	fade_emerge78823	27
49	Groundler	27
51	obzii	25
52	Rasmanden	23
52	Karbl	23
54	4774	21
54	Jiminie	21
54	Njensen7	21
57	lcvezra	20
58	Hpdinosaur	18
58	NameGenerat0r	18
60	Swexti	16
60	censorsheep	16
62	Winklepicker279	15
62	Jiminbub	15
62	Racengan	15
62	djancak	15
66	claivin	14
66	Aezekial	14
68	joethahobo	13
68	lillips	13
68	Juh1s	13
71	Xalithia	12
71	Kouridragon	12
71	fffMike	12
74	Sky_light_KING	11
74	SexcMf	11
74	Soplight	11
77	Houstonion	10
77	rarrq	10
77	Awyrlas	10
77	ROY4LE	10
81	Zoeyfortnite	9
82	6king6colt6	8
83	PhantomsGhost_	7
83	eitanzaki	7
83	Blackberry1310	7
83	shyshyannne	7
87	KaptainKornhole	6
87	Di_infiri	6
87	K_a__a_n	6
87	Ezekson	6
91	MixerDixer	5
91	Euclidoris	5
91	emrekn	5
91	Ecplosive	5
91	Werbe	5
91	__tomato	5
97	MattieHD	4
97	xxPipperDipperxx	4
97	Marbz_	4
97	fred870d	4
97	PigDab	4
97	MakeHistory157	4
97	EcksD	4
104	GingerNeutron	3
104	rpyoungg	3
104	wezzzi	3
104	SammiWolfGirl	3
104	alderban107	3
104	anbbang	3
104	Legendosh	3
111	Mahoose	2
111	jushykins	2
111	m_be9	2
111	SteveCraftBlocks	2
111	gabriels543	2
111	BronkerBrum	2
111	Maenara	2
111	rezi	2
111	Smiguli_	2
111	OG_Songsee	2
111	KingMatthew506	2
111	MeetTheWollo	2
123	_Virify_	1
123	JEWISHBadenBeele	1
123	ExtraDumb	1
123	ImpavidArcher	1
123	SaucyDark	1
123	Clxpzy	1
123	pr33tu	1
123	surfinggiraffejp	1
123	Jared6969	1
123	Lyserggic	1
123	WET_WET_WET	1
123	Zythose	1
123	Rocco_Lane	1
123	Hiryu27	1
123	k1ngGilgamesh	1
123	AlexxO_o	1
123	fxiryglitch	1
123	sxc_	1
123	Russiancat1	1
123	chipklip	1
123	KSI	1
123	1442	1
123	Blu3beast	1
123	Xclax101	1
123	Spacewardharpy7	1
123	sadvavilloso	1
123	Jij0	1
123	_Yonk_	1
123	Steelynan	1
123	vandmanden	1
123	EcksDofficial	1
