rank	username	minecraft:picked_up/minecraft:milk_bucket
1	diamondgolem35	103
2	Mahoose	90
3	TechnoNinja64	57
4	rarrq	55
5	kekhon	50
6	YungMaki	43
7	Marbz_	39
7	Akoot_	39
9	EcksD	38
10	Blackberry1310	36
11	Smoke____	31
12	beeperbeeper5	29
13	LovelyDane	25
14	_Boipl_	24
15	monky_irl	17
16	PlasticOtari	16
17	SammiWolfGirl	15
18	T045RTY	14
18	noam464	14
18	Arceus1975	14
18	Hyp3rion_	14
18	lizardfightclub	14
18	Blaiku	14
24	LilyNova	13
24	ItsJunoIGuess	13
26	EMC_	12
26	hxdjxd	12
28	_Nuf	11
28	500am	11
28	TheShyPig	11
28	Freak_Genius	11
28	Vorlice	11
33	MyNameIsJobo	9
34	pintsizedrogue	8
34	Maenara	8
34	chipklip	8
37	eviltunix	7
37	Werbe	7
37	NomadicRobin_	7
37	Frozil12	7
37	SvenskaHugo	7
37	Soplight	7
43	bloodbiter	6
43	AssEatrAndLicker	6
45	teslawolf38	5
45	KarlKaek	5
45	joethahobo	5
45	Historical_Sand	5
45	xxPipperDipperxx	5
45	fr_ser	5
45	Chromary	5
45	AltnumberF4	5
53	bigstankyy	4
53	eitanzaki	4
53	SteveCraftBlocks	4
53	_Dean_123	4
53	thescout7	4
53	Xalithia	4
53	r123moore	4
53	Xclax101	4
53	Cocoamallows	4
53	SexcMf	4
53	Kukkelikuk	4
53	EcksDofficial	4
65	PhantomsGhost_	3
65	6king6colt6	3
65	tobyish	3
65	TheDankPlatypus	3
65	Winklepicker279	3
65	Di_infiri	3
65	Jackattack53	3
65	thewindmillman	3
65	CruncyIsTaken	3
65	YungWali	3
65	MAns_44	3
65	lordpipe	3
65	djancak	3
65	stahouo	3
65	CalebDHawk	3
65	Nicserso	3
81	Sleek_Storm_721	2
81	livingdaydreams	2
81	ratglock	2
81	TheSecondLord	2
81	Guillemet	2
81	egglapras	2
81	ABitOddish	2
81	Mobstr	2
81	Kakolbus	2
81	SuperPooch06	2
81	regulator75	2
81	KartivGal	2
81	PigDab	2
81	lillips	2
81	Blu3beast	2
81	fluddd	2
81	Groundler	2
81	ProfessorDiaper	2
81	Spacewardharpy7	2
81	Kyrum2169	2
81	lcvezra	2
81	anbbang	2
81	Ezekson	2
81	oxfordschool	2
105	_stets	1
105	Drlzyy	1
105	Merv__	1
105	AuroraValkyrie	1
105	EkkoTraveler	1
105	error10101	1
105	SaucyDark	1
105	Natty	1
105	MSK__	1
105	tramizu	1
105	heckface	1
105	Sparky_KT	1
105	titanlax	1
105	BobDeBouwer1337	1
105	m_be9	1
105	Ardennes	1
105	slkiey	1
105	potato292	1
105	orxngejuice	1
105	Inchef	1
105	gcaisawesome	1
105	KingEgg1	1
105	King_Pancake1	1
105	MangoTheFish	1
105	Hiryu27	1
105	Onennon	1
105	TTNG	1
105	jewbacaman	1
105	CarryLine	1
105	thgrocks	1
105	Hail_the_wombat	1
105	ILoveCarrot	1
105	Lord_Zacler	1
105	the_russell1611	1
105	SolicitedPuma101	1
105	majlin16	1
105	MyNameIsDakar	1
105	DarlaMeow	1
105	HellsSponge	1
105	NameGenerat0r	1
105	Shogunite	1
105	claivin	1
105	TiborSterle	1
105	Travka100	1
105	the__Reaper4999	1
105	Racengan	1
105	IAmTheWalrus910	1
105	CheifJumbo	1
105	Nagasaki_Riku	1
105	Spenduh	1
105	Sheldor097	1
105	sebastiensaborio	1
105	xX_Stalin69_Xx	1
105	Winston_Ingram	1
105	MilleGrug	1
105	Skippeh	1
105	Miko_Fullbuster	1
105	RoboTramp7865	1
105	Enderslayerxz3	1
105	Legendosh	1
105	jnp_gaming	1
105	WYFYoyo	1
