rank	username	minecraft:picked_up/minecraft:mud
1	Enderxz3	14905
2	thewindmillman	9016
3	MineMaster0012	5864
4	Nicserso	4313
5	PazinGaming	4156
6	Mr_Byzantine	3535
7	Mattesco	1847
8	hanaryheatwave	1812
9	Apollo_993	1769
10	YungMaki	1758
11	corvidpartyfor6	1024
12	oscminus	935
12	EveryonesUncle	935
14	Manaateee	900
15	Kowcio_	866
16	Merv__	799
17	12Magner05	645
18	GooseWithin	593
19	Mahoose	518
20	PlasticOtari	453
21	Dakar_	452
22	luseis	331
23	_i_ERROR_i_	317
24	mihimihimihi	297
25	SpacesickPrism	250
26	pintsizedrogue	239
27	500am	217
28	jessewegottacook	161
29	Iamthejo	147
30	Krowuss	116
31	EMC_	99
32	ECstardust	93
33	SvenskaHugo	80
34	Hyp3rion_	59
35	Huwulling	51
36	Jimb0nat0r	50
37	k_ce	49
38	Jackattack53	42
39	T045RTY	33
40	AstreaTSS	29
41	EngagedGrub41	28
42	DinoDoctor_	26
43	Lez_	22
44	Druid95	21
45	AdmiralSmoke	20
46	Soplight	18
47	Di_infiri	14
47	pixelviolin	14
49	Alteriity	13
50	FormulaNewt3627	11
51	Rebytre	10
52	Elastiq	9
53	Steelynan	8
54	Da_Boss_Rani	7
54	TheDankPlatypus	7
56	Avocadogerms	6
57	diamondgolem35	5
58	SmashingPump	3
59	QuiCreans	2
59	rarrq	2
59	excelsionprime	2
59	Marbz_	2
59	AlexxO_o	2
59	LeonelSalamanca	2
65	catandmoose	1
65	Secret_Canary	1
65	PigDab	1
65	Spacewardharpy7	1
65	ItsDeltaMC	1
