rank	username	minecraft:picked_up/minecraft:nether_quartz_ore
1	Frozil12	25746
2	Groundler	12919
3	fred870d	7856
4	m_be9	4016
5	Kouridragon	3932
6	RebelAndroid	3432
7	PigDab	3427
8	Blaiku	3397
9	Yatitay	3085
10	joethahobo	2866
11	Zythose	2741
12	Hyp3rion_	2388
13	lordpipe	2283
14	Snowflowe	2125
15	EcksD	2121
16	_Virify_	2086
17	Cowison	1896
18	Ezekson	1806
19	ApophisNova	1794
19	MyNamaSheff	1794
21	EveryonesUncle	1688
22	SingedBread	1550
23	set67	1482
24	NomadicRobin_	1472
25	Kakolbus	1414
26	Akoot_	1369
27	Marbz_	1220
28	KartivGal	1203
29	HellsSponge	1171
30	Spacewardharpy7	1124
31	Enderslayerxz3	1031
32	TheSecondLord	1019
33	The_slideV3	976
33	Miko_Fullbuster	976
35	CoffeeNoir	956
36	Di_infiri	947
37	Blu3beast	926
38	EcksDofficial	913
39	Deathkob	911
40	Rocco_Lane	906
41	gcaisawesome	901
42	Sky_light_KING	861
43	Shogunite	819
44	Ryker	813
45	Eraxa	807
46	noam464	806
47	Hisiste	779
48	eitanzaki	774
49	thewindmillman	758
50	Soplight	756
51	surfinggiraffejp	721
52	MightyWertu	720
53	claivin	714
54	kekhon	690
54	Hermanni__	690
56	Mahoose	680
57	PlasticOtari	642
58	livingdaydreams	627
58	TechnoNinja64	627
60	Smashic	541
61	r123moore	539
62	Blackberry1310	516
63	Smoke____	509
64	NameGenerat0r	504
65	TheShyPig	499
66	thescout7	496
67	Bumpy419	495
68	titanlax	490
69	leaf26	481
70	PhantomsGhost_	477
71	301851	460
72	mariominejedi	458
73	TheSeismicDuck	455
74	CruncyIsTaken	452
75	Swexti	432
76	MakeHistory157	417
77	Legendosh	414
78	Eczbek	405
79	oxfordschool	400
80	jnp_gaming	393
81	EMC_	378
82	Lutres_Torane	371
83	Historical_Sand	370
84	hm947	366
85	rarrq	363
86	Quotary	350
87	seramalen	348
88	Segotep999	326
89	himak1	325
90	audiocracked	315
90	DemTechAlpha	315
92	SammiWolfGirl	312
93	TAKrules	309
94	M_Patata	307
94	MasterNueve	307
96	Winklepicker279	304
97	Scathra	298
98	AngalexikCZ	290
99	Maenara	286
100	kinas45y5	284
101	Skippeh	269
102	07shiny	267
103	beeperbeeper5	264
104	MangoTheFish	263
105	TheThomas69	250
106	YungMaki	247
107	KGTV	245
108	Werbe	235
109	Jackattack53	233
110	MilleGrug	223
111	TheEnderman548	221
112	jcool7	218
113	emrekn	211
114	ClemenPine	206
115	Freak_Genius	200
116	SSytex_X	190
117	pintsizedrogue	188
118	MSK__	182
119	Arceus1975	168
120	ImpavidArcher	167
