rank	username	minecraft:picked_up/minecraft:netherite_scrap
1	EcksD	7321
2	jnp_gaming	129
3	NomadicRobin_	85
4	Smoke____	72
5	MightyWertu	70
6	kekhon	66
7	ConnorDanky_	64
8	Huwulling	57
9	TheDankPlatypus	45
10	Blaiku	40
11	CadenSteele	27
12	FreakGenius	24
13	LAVA129	20
13	anbbang	20
15	mwrty	18
15	WET_WET_WET	18
17	the__Reaper4999	16
18	XboxPanda	15
19	Wowful	12
19	2bolx_	12
21	Inchef	11
21	Jackattack53	11
21	ReSynced	11
24	Wooptey	10
25	Fullut	9
25	Eraza	9
25	King_Pancake1	9
25	MangoTheFish	9
25	Eczbek	9
25	Iamthejo	9
31	Lez_	8
31	joethahobo	8
31	PigDab	8
34	Di_infiri	7
34	zToasty69z	7
34	Kowcio_	7
37	eitanzaki	6
37	monky_irl	6
37	GlitchyPlate810	6
40	Cowison	5
40	beeperbeeper5	5
40	Z3braYTIL	5
40	noam464	5
40	NoChumpChange	5
40	ItsDeltaMC	5
40	RealGroot	5
40	xolstoi	5
48	pintsizedrogue	4
48	Frozil20	4
48	Nicky_H225	4
48	Leyna3	4
48	EveryonesUncle	4
48	HellsSponge	4
48	hdtpm	4
48	SammiWolfGirl	4
56	Myszoaz	3
56	ccwildfire1	3
56	jushykins	3
56	lorpus	3
56	xxPipperDipperxx	3
56	Marbz_	3
56	Rebytre	3
56	luseis	3
56	MyNameIsDakar	3
56	YungMaki	3
56	obzii	3
56	fffMike	3
56	Steelynan	3
56	MirielThePastor	3
70	FazeObama69	2
70	Flores991	2
70	Ryker	2
70	NinjaKnifeKill	2
70	Mahoose	2
70	Myrlewen	2
70	Historical_Sand	2
70	Blackberry1310	2
70	TheSecondLord	2
70	Megarboh	2
70	Lumien_	2
70	set67	2
70	Touched_Bread	2
70	CharlieButt	2
70	Chromary	2
70	CheesyToess	2
70	LeGold	2
70	AlexxO_o	2
70	masskedman	2
70	Fuad_R	2
70	Spacewardharpy7	2
70	Dusk_95	2
70	Eraxa	2
70	pixelviolin	2
70	xzvu	2
70	Ezekson	2
96	teslawolf38	1
96	hm947	1
96	SyntheticSurgeon	1
96	SquadMonster	1
96	fade_emerge78823	1
96	Mookle96	1
96	PegLegPete93	1
96	r123moore	1
96	pumpfonzo	1
96	M_Patata	1
96	ReverendSmith	1
96	SuperPooch06	1
96	thewindmillman	1
96	Hyp3rion_	1
96	groofles	1
96	parodypatient	1
96	Joestra	1
96	Nycteus_	1
96	SkateboardR6	1
96	Hisiste	1
96	MasterNueve	1
96	Kura2218	1
96	LeEricc	1
96	Njensen7	1
96	VentiHilton	1
96	Erased_Identity	1
96	Legendosh	1
96	HesDemonPants	1
