rank	username	minecraft:picked_up/minecraft:orange_shulker_box
1	Blackberry1310	2287
2	TechnoNinja64	2196
3	YungMaki	701
4	Smoke____	680
5	Onennon	557
6	m_be9	546
7	pintsizedrogue	421
8	lordpipe	411
9	Blaiku	407
10	beeperbeeper5	312
11	Mahoose	248
12	Eraxa	246
13	HellsSponge	225
14	Enderslayerxz3	219
15	Rasmanden	213
16	Hyp3rion_	199
17	500am	192
18	kekhon	159
19	Fullut	155
20	claivin	147
21	12Magner05	139
22	yulgur1	131
23	Hoid_the_Roamer	125
23	jnp_gaming	125
25	TheSecondLord	107
25	Snowflowe	107
27	mwrty	106
28	thewindmillman	103
28	lillips	103
30	Bumpy419	102
31	FirsTimeGamingTV	98
32	PhantomsGhost_	97
33	selectrix	93
34	Awyrlas	78
35	ROY4LE	77
35	MightyWertu	77
37	Cowison	76
37	Zaridey	76
39	Myszoaz	72
39	Rumpletaezer	72
39	Dogcorn69420	72
42	Swexti	71
42	set67	71
42	Akoot_	71
45	_Virify_	68
46	SteveCraftBlocks	66
46	alderban107	66
48	Bandito_Roamer	64
49	jcool7	63
49	oxfordschool	63
51	HesDemonPants	61
52	Barlycorn	59
53	sp00ky_ghost977	58
53	Ezekson	58
55	Segotep999	52
56	Jiminie	48
57	teslawolf38	46
58	Winklepicker279	43
58	chipklip	43
60	Lord_Jord	42
61	CoffeeNoir	41
61	burbankbuilder28	41
63	rarrq	40
64	Kowcio_	39
65	noam464	33
65	Miko_Fullbuster	33
67	Luigipunch989	32
68	Strangemonkey71	31
69	SingedBread	30
69	Steelynan	30
69	EcksD	30
72	Merv__	29
72	MattieHD	29
72	gcaisawesome	29
72	Groundler	29
76	NameGenerat0r	28
77	SaucyDark	27
77	Blu3beast	27
79	KG1999	26
79	Njensen7	26
81	Spacewardharpy7	25
81	Spenduh	25
83	joethahobo	24
83	Di_infiri	24
83	Skylord_Luke	24
86	SellyZ	22
86	Sral7	22
88	masskedman	21
89	Ecplosive	20
89	Chromary	20
89	Sky_light_KING	20
89	Deathkob	20
93	hm947	19
93	Euclidoris	19
93	audiocracked	19
93	Karbl	19
97	ApophisNova	18
97	SkateboardR6	18
97	pixelviolin	18
97	MyNamaSheff	18
101	ImpavidArcher	17
101	TooManyDuck	17
101	Hpdinosaur	17
104	eitanzaki	16
104	TheShyPig	16
104	Xclax101	16
107	PigDab	15
107	mawileite	15
109	Razzgriz	13
110	jushykins	12
110	Th6masss	12
110	Hisiste	12
113	Drlzyy	11
113	Kouridragon	11
115	AuroraValkyrie	10
115	Inchef	10
115	pappaberg	10
115	Nycteus_	10
119	diamondgolem35	9
119	Marbz_	9
119	Truckoss	9
119	GlitchyPlate810	9
119	Legendosh	9
124	gabriels543	8
124	EveryonesUncle	8
124	Soplight	8
124	FishisTTV	8
128	soundad	7
128	Octatrack	7
128	Kkanot	7
128	egglapras	7
128	Aezekial	7
128	SammiWolfGirl	7
128	obzii	7
128	Eczbek	7
128	Nicserso	7
137	Jagyeol	6
137	Historical_Sand	6
137	surfinggiraffejp	6
137	fluddd	6
137	ZeroKraken	6
137	little_dUki	6
143	MixerDixer	5
143	Sleek_Storm_721	5
143	SoftSix	5
143	Freak_Genius	5
143	TheOuterCore	5
143	Powowowow	5
143	YoshikageBites	5
150	Iagoku	4
150	Smashic	4
150	thescout7	4
150	r123moore	4
150	Werbe	4
150	NomadicRobin_	4
150	_Karmaa	4
150	Shogunite	4
150	EfficientC52	4
150	MakeHistory157	4
150	BlankityMcBlank	4
150	MilleGrug	4
150	AltnumberF4	4
163	Dedalus36	3
163	ExtraDumb	3
163	Flapjacker687	3
163	Xalithia	3
163	Zythose	3
163	shockdocta	3
163	k1ngGilgamesh	3
163	Inbefour	3
163	Lord_Zacler	3
163	DarlaMeow	3
163	Frozil12	3
163	SexcMf	3
163	__tomato	3
163	stellarjay	3
177	Bad_At_Names_Guy	2
177	PhantomBionic	2
177	emrekn	2
177	SlayerCrypto	2
177	Kynigito	2
177	JustOneQuery	2
177	Deodorante	2
177	Kyrum2169	2
177	PortlyPete69	2
177	fffMike	2
177	LeeMcGee30	2
177	FelixPSY375	2
177	2blox	2
190	AgressiveEggdog	1
190	Tolhart	1
190	BoraMC	1
190	Batman922	1
190	Butternutsquatch	1
190	Auseawesome	1
190	YungJakobo	1
190	Motsaro	1
190	xxPipperDipperxx	1
190	theonlymagikarp	1
190	Covalents	1
190	benediktine1	1
190	MyNameIsJobo	1
190	King_Pancake1	1
190	MangoTheFish	1
190	Capss	1
190	sammidk	1
190	Leyna3	1
190	RodSerlingCringe	1
190	wezzzi	1
190	fw3xywashere	1
190	KnightmareD	1
190	TheSeismicDuck	1
190	Agent108	1
190	KSI	1
190	Warlord324	1
190	OG_Songsee	1
190	lcvezra	1
190	Hermanni__	1
190	VentiHilton	1
190	PlasticOtari	1
190	Zoeyfortnite	1
190	EcksDofficial	1
