rank	username	minecraft:picked_up/minecraft:orange_wool
1	thewindmillman	264580
2	noam464	88557
3	joethahobo	28161
4	EcksD	16621
5	beeperbeeper5	9458
6	FreakGenius	6116
7	xxPipperDipperxx	5845
8	EMC_	4916
9	craaaash	4745
10	HellsSponge	3201
11	Spaghettatron	3046
12	mwrty	2151
13	Hyp3rion_	2092
14	Spacewardharpy7	1844
15	Yamdalorian	1828
16	PazinGaming	1692
17	Mr_Byzantine	1671
18	Crowman1	1491
19	ConnorDanky_	1380
20	Lord_Jord	1379
21	Enderxz3	1223
22	PigDab	1136
23	The11thDoctor	973
24	Huwulling	969
25	hermmm_	947
26	Blackberry1310	797
27	SpacesickPrism	779
28	Blaiku	704
29	luseis	700
30	set67	640
31	Ezekson	625
32	Lez_	615
33	Werbe	593
34	_Mythic____	589
35	Inbefour	585
36	Mattesco	486
37	pixelviolin	451
38	doublemaki	440
39	TheSecondLord	433
40	Soplight	430
41	TechnoNinja64	425
42	Kowcio_	407
43	Buuck_	389
44	Quincannon	320
45	Quotary	296
46	500am	283
47	Di_infiri	272
48	IlkeCookes_	260
49	SkateboardR6	241
50	Fullut	229
51	Mahoose	213
52	lordpipe	203
53	rarrq	200
53	eclipseboi	200
55	ShedJr_	198
56	MyMawgDonaldsGon	195
57	pintsizedrogue	194
58	PhantomsGhost_	192
59	Sleepy_Evelyn	176
60	Xclax101	173
61	burbankbuilder28	167
62	PeteO1995	146
63	eitanzaki	145
64	TheKingK_	138
65	Akoot_	128
66	Niklas20114552	127
67	Karetoko	126
68	fr0stss	122
68	thescout7	122
70	lunkuku	118
71	El_Jalapeno	112
72	Jimb0nat0r	108
73	Legendosh	106
74	Cowison	103
75	k_ce	102
75	Typadopoulos	102
77	Stynxy	100
78	h2p_emrld	95
79	SammiWolfGirl	94
80	SaucyDark	92
81	Zaridey	91
82	knarian	89
83	Quaintster	88
84	RoskobiOne	79
85	Frozil20	74
85	Rumpletaezer	74
87	6king6colt6	72
87	NameGenerat0r	72
89	Swexti	65
90	lpinfinity	64
90	Blu3beast	64
90	taengoos	64
93	IvarEXE	62
94	Barlycorn	61
95	Onennon	60
96	_Huge_Male_	59
97	Comma__	55
97	Fuad_R	55
99	WyngGoy	54
99	jnp_gaming	54
101	djancak	53
102	Alteriity	50
103	jspwn	45
104	_witch_craft_	43
105	Deerfoot	42
105	ProbsNotNova	42
107	corvidpartyfor6	39
108	CoffeeNoir	38
108	Bumpy419	38
108	obzii	38
111	skroobiez	36
112	Njensen7	35
113	Chromary	34
113	Snowflowe	34
115	MakeHistory157	30
116	MindyDooWho	29
116	AlexxO_o	29
116	VentiHilton	29
119	cutelilreno	28
120	Reneedium	27
121	hollowww	26
121	blackeemperor	26
123	r123moore	25
124	Cruncy_	24
125	heckface	23
125	Kura2218	23
127	Merv__	22
127	TheShyPig	22
127	Dakar_	22
127	PortlyPete69	22
127	CattSoup	22
132	Wooptey	20
133	nocturne78	18
133	legal_tax_evader	18
135	MattieHD	17
136	hanaryheatwave	16
136	_i_ERROR_i_	16
138	yheece	14
138	milltesco	14
138	oscminus	14
138	Kynigito	14
138	Russiancat1	14
138	monky_irl	14
138	Pumpkin_P_Patch	14
145	claivin	13
145	PlasticOtari	13
147	Foof13	12
147	RebelAndroid	12
147	SquadMonster	12
147	Dark_Crusader21	12
147	DrowsyOracle	12
147	bl1ss0	12
147	Hoid_the_Roamer	12
147	NomadicRobin_	12
147	EveryonesUncle	12
156	teslawolf38	11
156	Reamdin	11
156	U_Mos_	11
156	ApophisNova	11
156	Maenara	11
156	K_a__a_n	11
156	MyNamaSheff	11
163	Zythose	10
163	420BreadLizard	10
163	Steelynan	10
166	powercas_gamer	9
166	theonlymagikarp	9
166	Twighst	9
166	GravitySaint	9
170	SteveCraftBlocks	8
170	miramyu	8
170	TwinTowerV2	8
173	T045RTY	7
173	QuiCreans	7
173	ZeroAbyssTTV	7
173	IamCL4SSY	7
173	PlzNoBM	7
173	KamFurnace	7
179	CLG_Kata	6
179	robertsnose	6
179	NormanFetus	6
182	Tommhh	5
182	KomputerDude	5
182	Torza	5
182	robonya_	5
182	Dogcorn69420	5
187	bloodbiter	4
187	shadowthemonkey	4
187	Manaateee	4
187	RoBe__	4
187	ZoomieZoomie	4
192	ImpavidArcher	3
192	NieToksikpl	3
192	intropass	3
192	Kakolbus	3
192	Jackattack53	3
192	Skomo	3
192	PA_Tech_Gaming	3
199	WarHammer3	2
199	titanlax	2
199	StinkyDiplomat	2
199	censorsheep	2
199	Groundler	2
199	Seashimi	2
199	Kekoo	2
199	FishisTTV	2
207	MixerDixer	1
207	dabloons	1
207	BobDeBouwer1337	1
207	Kamflame	1
207	Skylord_Luke	1
207	brycepants	1
207	AuroraSkies	1
207	emreknugrlu	1
207	Soap_Bender	1
207	Racengan	1
207	CacheOut	1
207	KingMatthew506	1
207	es0th	1
207	The_SlideV5	1
207	00000000-0000-0000-0009-01faf4342590	1
