rank	username	minecraft:picked_up/minecraft:rail
1	Hyp3rion_	55131
2	pintsizedrogue	17781
3	HellsSponge	15600
4	El_Jalapeno	10752
5	EMC_	9824
6	noam464	9506
7	Di_infiri	9058
8	Yamdalorian	7089
9	eitanzaki	7074
10	fffMike	6891
11	PigDab	6348
12	Jackattack53	4820
13	Soplight	4673
14	Kakolbus	4640
15	mariominejedi	4572
16	joethahobo	4148
17	diamondgolem35	3887
18	TechnoNinja64	3768
19	FreakGenius	3541
20	Spacewardharpy7	3387
21	Werbe	3146
22	thescout7	3057
23	thewindmillman	3046
24	luseis	2993
25	Mahoose	2901
26	TheShyPig	2652
27	Merv__	2637
28	pixelviolin	2592
29	Skylord_Luke	2584
30	Franco093	2502
31	Snowflowe	2263
32	beeperbeeper5	2242
33	j5ylim	2235
34	Spenduh	2116
35	Akoot_	2061
36	Historical_Sand	1921
37	YungMaki	1898
38	Mr_Byzantine	1846
39	MightyWertu	1842
40	_Virify_	1773
41	T045RTY	1698
42	yheece	1650
43	00000000-0000-0000-0009-01ff0c3e5e4f	1613
44	Enderxz3	1608
45	Smashic	1582
46	Ezekson	1553
47	OfficerAnvil	1544
48	PlasticOtari	1526
49	12Magner05	1485
50	ConnorDanky_	1435
51	Steelynan	1422
52	JESS_THE_RERE	1393
53	EveryonesUncle	1371
54	MAns_44	1363
55	Racengan	1295
56	FishyBoy3811	1248
56	obzii	1248
58	Rumpletaezer	1236
59	07shiny	1232
60	DanTheBuilderino	1212
61	PortlyPete69	1188
62	Kim_Jong_eel	1182
63	rarrq	1180
64	StinkyDiplomat	1161
65	kekhon	1114
66	q_wq	1081
67	Groundler	1078
68	RebytreGT	1077
69	PhantomsGhost_	1073
70	djancak	1038
71	SammiWolfGirl	1036
72	gcaisawesome	1005
73	Quincannon	992
74	Barlycorn	964
75	Comma__	953
76	non089	935
77	Apollo_993	934
78	Fuad_R	889
78	EngagedGrub41	889
80	Chromary	863
81	MyNameIsJobo	852
82	Blaiku	846
83	Jimi7hits	821
84	prizm_	817
85	stuy9	804
86	CoffeeNoir	794
87	soundad	782
88	The_slideV3	765
89	Blu3beast	758
90	IAmTheWalrus910	746
91	blackeemperor	739
92	EcksD	724
93	excelsionprime	719
94	Frozil20	715
95	Blackberry1310	714
96	Hisiste	698
97	Secret_Canary	697
98	Powowowow	695
99	Quotary	689
100	Kubelz	686
101	Hiryu27	682
101	TheBananaKat	682
103	4774	678
104	AuroraSkies	670
105	Lord_Jord	667
106	Sleepy_Time_	658
107	DarlaMeow	655
108	DemTechAlpha	654
109	Vetral1	638
110	censorsheep	634
111	emrekn	633
112	THEKINGLyric10	630
113	ShedJr_	629
114	wezzzi	601
115	ProbsNotNova	598
116	hermmm_	596
117	jnp_gaming	586
118	Warlord324	577
119	500am	576
120	Ryker	569
121	Julmish	567
122	dimondking777	555
123	Zythose	553
123	Inbefour	553
125	Nicserso	545
126	Skippeh	543
127	Druid95	533
128	Xalithia	531
129	ProfessorBee	528
130	Sral7	512
131	groofles	511
132	Arceus1975	508
132	Bumpy419	508
134	PegLegPete93	504
135	Xclax101	503
136	RadarHz	491
137	TheSeismicDuck	486
138	sufjanlover	481
139	Fullut	472
140	taengoos	471
141	eviltunix	468
142	SUN_DREAM	467
143	killmeiamtraitor	466
144	sp00ky_ghost977	465
145	Soul_Atreus	462
146	RoskobiOne	460
147	__tomato	454
147	FishisTTV	454
149	Huwulling	445
150	SteveCraftBlocks	439
151	Elastiq	435
152	andy_rex	428
153	Lez_	422
154	SuperPooch06	416
154	BumbleBeever	416
156	RebelAndroid	413
157	6king6colt6	412
158	jacxhadow	403
159	Manaateee	402
160	M_Patata	396
161	RedcatVII	395
162	m_be9	388
163	SmashingPump	386
163	stavgod	386
165	audiocracked	383
166	Jovaphobic	382
167	ooga47	380
168	CharlieButt	372
169	SellyZ	367
170	SygnalX	366
171	ayamefag	363
172	MakeHistory157	361
172	CoryJJ	361
174	AstreaTSS	360
175	WyngGoy	359
176	Kowcio_	355
176	MilleGrug	355
178	abdomera	352
178	Boipl	352
178	DolphinLaugh	352
181	Jordan_R	349
182	GooseWithin	345
183	Bolete	344
184	masskedman	340
185	RustyKedel	338
186	H0UNDFRMH3LL	336
187	Cowison	334
188	ApophisNova	333
188	ReyTheLegend	333
188	MyNamaSheff	333
191	Eraxa	331
192	Darkgon	328
193	KingMatthew506	327
194	Bandito_Roamer	324
195	mawileite	322
196	Jimb0nat0r	319
197	livingdaydreams	309
197	2blox_	309
199	FelixPSY375	307
200	vandmanden	302
201	TheSecondLord	294
201	KlausVonStiglitz	294
203	wiqor	291
203	skitzxo	291
205	slkiey	290
206	_TCARREIRA_	284
207	kalzor	283
208	CLG_Kata	282
208	U_Mos_	282
208	guiltybastard	282
211	SaucyDark	280
211	Gregward_Smith	280
211	FirsTimeGamingTV	280
214	PazinGaming	276
215	Flores991	275
216	The_SlideV5	273
217	xxPipperDipperxx	272
218	laron58	271
219	TheDankPlatypus	268
220	mihimihimihi	265
221	DTwenty	264
222	_Nuf	263
223	jushykins	262
224	MattieHD	259
225	natajimi	257
226	_Destina_	256
226	HoltGrim	256
226	Ecplosive	256
229	NotMeanttoChange	254
230	bloodbiter	249
231	Frxnkz	248
231	Skomo	248
231	SpacesickPrism	248
231	MusicMe1005	248
235	Deathkob	245
236	nattybears	243
237	Cyntrical	242
237	UrbanPlanningEx	242
239	Shin69	240
240	OreTheBear	239
241	PlzNoBM	238
242	lordpipe	232
243	Ev0luti0nz	223
244	Legendosh	222
245	SirPiccardo	218
245	NomadicRobin_	218
247	MustaLoordi	217
248	Hanselhoof	216
248	eiC_	216
250	EfficientC52	214
251	CaptainDeadBread	210
252	Laykon	209
253	lizardfightclub	207
254	MelodyGaysharks	206
255	theonlymagikarp	204
256	ECstardust	195
257	2extreeme	192
257	Leyna3	192
257	Quaintster	192
260	mwrty	191
260	Maenara	191
262	MoistMicrowave	190
262	PabloGonza02	190
264	Ssor69	187
264	PaperCanvas	187
266	HesDemonPants	185
267	jcool7	183
267	TheOnlyRake	183
269	Hyugo	182
270	ROY4LE	180
271	zToasty69z	179
272	GingerNeutron	178
273	ImpavidArcher	175
273	Awyrlas	175
273	hcb238	175
273	kars0n	175
273	Rasmanden	175
278	burbankbuilder28	174
279	teslawolf38	172
280	Cruncy_	170
281	Guillemet	169
282	TheOuterCore	168
283	Hydro___________	165
284	King_Pancake1	164
285	Alteriity	163
285	miramyu	163
287	RobotMinion101	162
287	GravitySaint	162
289	NameGenerat0r	159
290	Ryan_GEMS	158
290	Luigipunch989	158
292	k_ce	152
292	TheSandwhich_	152
294	TerraVl	147
295	ReflexCode	145
296	Matemkas	144
296	DAD_1996	144
296	oscminus	144
296	Onennon	144
296	Shogunite	144
