rank	username	minecraft:picked_up/minecraft:raw_copper_block
1	thewindmillman	2502
2	TheBananaKat	1351
3	EMC_	862
4	pintsizedrogue	442
5	SpacesickPrism	416
6	500am	137
7	pixelviolin	105
8	dartwaffle	99
9	Enderxz3	97
10	luseis	87
11	Soplight	66
12	Yamdalorian	49
13	Merv__	41
14	xPixelRainx	38
14	Mattesco	38
16	Mahoose	36
17	corvidpartyfor6	35
18	j5ylim	34
19	12Magner05	30
20	Ezekson	20
21	Nicserso	17
22	Legendosh	16
23	Mr_Byzantine	11
24	Sleepy_Evelyn	7
24	Heisenbberrg	7
26	Miroryk	6
26	Hyp3rion_	6
28	Silvo614	5
29	Eczbek	4
30	_Razaria	3
30	JitteryJared2	3
32	ECstardust	2
32	q_wq	2
32	Marbz_	2
32	Malware_Mara	2
32	Krowuss	2
32	Samificator	2
32	AuroraSkies	2
32	Toriankel	2
32	underscore_2	2
32	PlasticOtari	2
42	k_ce	1
42	Apollo_993	1
42	diamondgolem35	1
42	Saltymart	1
42	joethahobo	1
42	Blackberry1310	1
42	Touched_Bread	1
42	hanaryheatwave	1
42	AlexxO_o	1
42	GooseWithin	1
42	Kowcio_	1
42	EmrotoL	1
42	Jimb0nat0r	1
