rank	username	minecraft:picked_up/minecraft:raw_iron
1	thewindmillman	34456
2	pintsizedrogue	33180
3	Miko_Fullbuster	10301
4	12Magner05	8601
5	gcaisawesome	8496
6	Ezekson	7872
7	500am	5824
8	GlitchyPlate810	5716
9	Enderslayerxz3	5348
10	SuperPooch06	4958
11	Kowcio_	4699
12	EveryonesUncle	4583
13	PlasticOtari	3902
14	EMC_	3844
15	TheSecondLord	3466
16	SingedBread	3330
17	Flores991	3108
18	Smoke____	3091
19	Kubelz	3064
20	SvenskaHugo	2956
21	Lutres_Torane	2931
22	yulgur1	2817
23	PigDab	2480
24	Jiminie	2310
25	MyNameIsDakar	2165
26	Kakolbus	2112
27	Myszoaz	2014
28	MeetTheWollo	1846
29	Njensen7	1815
30	fffMike	1603
31	RebelAndroid	1566
32	pixelviolin	1562
33	KeruNatsema	1536
34	Dan_Scha	1492
35	Rocco_Lane	1488
36	SlayerCrypto	1430
37	beeperbeeper5	1383
38	KartivGal	1366
39	RadarHz	1359
40	Nycteus_	1353
41	starbits140	1307
42	PhantomBionic	1270
43	ProfessorDiaper	1262
44	Steelynan	1260
45	MinttyFressh	1250
46	CharlieButt	1166
47	xPixelRainx	1155
48	Gab4101	1125
49	SquadMonster	1082
50	fw3xywashere	1067
51	Winklepicker279	1063
52	obzii	1030
53	ApophisNova	1020
53	MyNamaSheff	1020
55	underscore_2	988
56	egglapras	978
57	brofrickcheaters	969
58	IdeallyGrey	944
59	Lumien_	877
60	Rebytre	876
61	MAns_44	860
62	_Boipl_	856
63	Flapjacker687	851
64	p4lp	840
65	smogfrog	806
66	Steven1282598	804
67	Z3braYTIL	758
68	TAKrules	747
69	TheDankPlatypus	746
70	diamondgolem35	744
71	tortillatitan	743
72	WYFYoyo	727
73	hcb238	701
74	_NieToksikpl_	698
75	Spenduh	670
75	coobert42	670
77	Lord_Zacler	651
78	nut_e	631
79	Yatitay	622
80	Nesquiczek	603
81	Tommhh	588
82	420BreadLizard	558
83	Jimi7hits	550
84	Mahoose	549
85	CyrusIsTired	531
86	teakings	509
87	Ryker	506
88	KGTV	500
89	Enigma0251	496
90	YinToYin	492
91	rarrq	491
92	RoskobiOne	459
93	The_Fulgurator	455
94	Valoth	449
95	Sheldor097	443
96	dartwaffle	435
96	mobunni	435
98	MissCeleste7	434
99	SDMNAEK	428
100	Megarboh	425
101	Segotep999	421
102	2Stout	402
103	wwwwinnebagoooo	398
104	MineMaster0012	390
105	GOOBERGABE04	383
106	Lord_Jord	381
107	Base_Tempest	379
108	Groovy_MoonBird	374
109	El_Jalapeno	369
110	nataliecool	366
110	Chickenchaser2	366
110	bee_gorl	366
113	ImpavidArcher	361
114	orxngejuice	346
115	Lord_Doob	344
115	00000000-0000-0000-0009-01ff0c3e5e4f	344
117	_Dri_	330
118	BronkerBrum	325
119	Da_Boss_Rani	322
120	RatatJuice	320
121	Human_Resource	315
122	ThatMan_Dave	311
123	TJawesome09	305
124	Drlzyy	304
125	ShedJr_	300
126	Bucscw24	297
127	Khelvoryk	296
127	Hermanni__	296
129	chrolus	295
130	ROY4LE	292
131	Slinkyy7071	288
132	WeebleSock	285
133	Alteriity	283
134	Joestra	282
135	Krasnal1337	274
136	Malorn_Aetherius	272
137	MinuteMira	271
138	AlexxO_o	269
139	Yahir091	261
140	ConJaBz	255
140	FelixPSY375	255
142	Aryamanee	254
142	00000000-0000-0000-0009-01f898304150	254
144	Blackberry1310	252
144	KingEgg1	252
146	Misty_Breeze	250
147	Kamflame10	248
148	Inchef	247
