rank	username	minecraft:picked_up/minecraft:sculk_sensor
1	thewindmillman	3545
2	Enderxz3	847
3	TheSecondLord	635
4	EMC_	389
5	ImpavidArcher	329
6	luseis	292
7	pintsizedrogue	201
8	SvenskaHugo	194
9	12Magner05	93
9	RoofTyler	93
11	beeperbeeper5	88
12	Kowcio_	81
13	Hyp3rion_	77
14	Kakolbus	76
15	Mahoose	75
16	DinoDoctor_	73
16	Wowful	73
18	Di_infiri	68
18	Iamthejo	68
20	joethahobo	64
21	RealGroot	54
22	Mattesco	53
23	MrKrabOnCoke	47
24	Sleepy_Time_	43
25	Soplight	42
26	nattybears	37
27	binman420	36
28	AlexxO_o	28
29	Lez_	26
29	Luminad3	26
31	TheDankPlatypus	22
32	non089	21
32	EcksD	21
34	Rebytre	18
34	Hisiste	18
36	Eczbek	16
37	Fuad_R	15
38	Jackattack53	13
39	MAns_44	12
39	YungMaki	12
39	Smoke____	12
42	00000000-0000-0000-0009-01ff0c3e5e4f	9
43	Inchef	8
44	Da_Boss_Rani	7
44	Silvo614	7
44	iSammael	7
47	Snowflowe	6
47	Legendosh	6
49	Marbz_	5
50	mihimihimihi	4
51	FazeObama69	3
51	Alteriity	3
53	_Boipl_	2
53	LazySupport00	2
53	UCP_TheKingK	2
56	diamondgolem35	1
56	Huwulling	1
56	Blackberry1310	1
56	noam464	1
56	corpsecity	1
56	THEKINGLyric10	1
56	wwwwinnebagoooo	1
56	ItsDeltaMC	1
56	Steelynan	1
56	Jimb0nat0r	1
