rank	username	minecraft:picked_up/minecraft:sponge
1	joethahobo	8531
2	thewindmillman	7360
3	Ezekson	6344
4	EcksD	3595
5	500am	2855
6	MilleGrug	2611
7	Blu3beast	2353
8	NomadicRobin_	2188
9	YungMaki	1958
10	Spacewardharpy7	1938
11	PigDab	1853
12	noam464	1627
13	Lord_Jord	1532
14	beeperbeeper5	1372
15	Di_infiri	1208
16	Smoke____	1201
17	SuperPooch06	918
18	lordpipe	901
19	Fuad_R	873
20	Segotep999	833
21	MightyWertu	819
22	eitanzaki	722
23	Dogcorn69420	672
24	Awyrlas	639
25	diamondgolem35	504
26	Frozil12	454
27	Snowflowe	453
28	FishisTTV	438
29	Legendosh	432
30	HellsSponge	427
31	Mahoose	393
32	Zoeyfortnite	389
33	pintsizedrogue	370
34	Enderslayerxz3	357
35	ImpavidArcher	354
36	M_Patata	349
36	MasterNueve	349
38	Sky_light_KING	346
39	TheShyPig	320
40	Alexanderjac	305
41	Arceus1975	252
42	Hyp3rion_	243
43	bigstankyy	218
44	eviltunix	215
45	Chromary	202
46	MAns_44	196
47	gcaisawesome	188
48	PhantomsGhost_	182
49	Da_Boss_Rani	180
50	Drawgirll	160
51	6king6colt6	157
52	oxfordschool	149
53	LittleBug562	148
54	12Magner05	147
54	Spenduh	147
56	EMC_	145
56	BumbleBeever	145
58	ApophisNova	144
58	MyNamaSheff	144
60	obzii	141
61	fffMike	140
62	jnp_gaming	138
63	Powowowow	126
64	Freak_Genius	124
65	DarkS0L	120
65	SammiWolfGirl	120
65	Hermanni__	120
68	TheDankPlatypus	119
68	Jackattack53	119
70	lizardfightclub	111
71	Werbe	108
71	Blaiku	108
73	TheSecondLord	104
74	AuroraValkyrie	103
74	tsitrawhy	103
76	Paintz	92
77	MeetTheWollo	90
78	paranoid_plant	86
79	himak1	81
80	Jovaphobic	79
81	DarlaMeow	77
82	PortlyPete69	73
83	Akoot_	70
84	Marbz_	64
84	CalebDHawk	64
86	jcool7	63
87	Menthas	59
88	Miko_Fullbuster	55
89	Cryptacity	54
89	Sral7	54
91	Bumpy419	53
92	T045RTY	52
92	Inbefour	52
92	Groundler	52
95	Comma__	49
95	QueenShuvi	49
97	Njensen7	46
98	Fullut	42
99	stavgod	41
100	claivin	40
101	Eraxa	38
102	Kakolbus	33
102	FelixPSY375	33
104	rarrq	31
105	Flapjacker687	29
105	NameGenerat0r	29
105	SvenskaHugo	29
108	Racengan	27
109	Rocco_Lane	24
110	Merv__	22
110	The11thDoctor	22
112	Notta	21
113	MrKrabOnCoke	20
113	Skippeh	20
115	SpookyDraggin	19
116	kekhon	17
116	Maenara	17
116	vandmanden	17
119	Malorn_Aetherius	16
119	2Stout	16
121	Rebytre	15
121	yatsuta	15
123	Iagoku	14
124	Blackberry1310	13
124	Rumpletaezer	13
126	Hiryu27	12
127	EveryonesUncle	11
127	TechnoNinja64	11
129	sandmire	10
129	Zythose	10
129	_Boipl_	10
129	Wowful	10
129	Factoroni	10
134	Soap_Bender	9
135	mwrty	8
135	Barlycorn	8
135	pixelviolin	8
135	microcrisp	8
139	NinjaKnifeKill	7
139	robotemo	7
139	Kijiki	7
142	Skylord_Luke	6
142	TheTrueClipse	6
142	The_slideV3	6
145	hm947	5
145	Historical_Sand	5
145	Onennon	5
145	Kynigito	5
149	ssleepless	4
149	Paradoxion	4
149	Euclidoris	4
149	xxPipperDipperxx	4
149	XboxPanda	4
149	Deodorante	4
149	__tomato	4
149	HAruSAme14	4
157	Lez_	3
157	CollinMH06	3
157	theofiel	3
160	_Virify_	2
160	Nicky_H225	2
160	emrekn	2
160	Inchef	2
160	Zaridey	2
160	groofles	2
160	Jiminie	2
160	1442	2
160	Warlord324	2
160	_TCARREIRA_	2
170	_Frepp_	1
170	redikul	1
170	Nicky19	1
170	AlexChristian	1
170	Russiancat1	1
170	monky_irl	1
170	stahouo	1
170	APS_Dan	1
170	ProbsNotNova	1
170	Lowjinx	1
170	diggydog67	1
