rank	username	minecraft:picked_up/minecraft:spruce_door
1	El_Jalapeno	523
2	Bumpy419	278
3	ElFi66	272
4	burbankbuilder28	270
5	kekhon	233
6	Legendosh	204
7	Mahoose	155
8	m_be9	149
9	pintsizedrogue	141
10	Dedalus36	119
11	Onennon	96
12	Steelynan	88
12	Smoke____	88
14	500am	82
15	lcvezra	80
16	TheSecondLord	78
17	Merv__	75
18	KarlKaek	73
19	_stets	72
20	Enderslayerxz3	70
21	Eraxa	67
22	rarrq	63
22	himak1	63
22	EcksDofficial	63
25	SvenskaHugo	62
26	ImpavidArcher	60
27	Jiminie	57
28	RodSerlingCringe	55
29	Freak_Genius	53
30	MattieHD	52
30	pixelviolin	52
32	Voxin2K	51
32	Wolverine4302	51
34	TheShyPig	48
35	joethahobo	47
35	Guillemet	47
35	Rebytre	47
38	Fullut	45
39	beeperbeeper5	41
39	Blackberry1310	41
39	Skylord_Luke	41
42	Rumpletaezer	40
43	fkGrim	39
44	ApophisNova	38
44	MyNamaSheff	38
46	Groovy_MoonBird	36
46	diamondgolem35	36
46	_Boipl_	36
46	DarkLawD	36
46	Ze_BaronKrigler	36
51	_Dean_123	35
51	oxfordschool	35
53	Arceus1975	34
54	Ezekson	33
55	RoskobiOne	32
55	Comma__	32
55	Shogunite	32
58	RatatJuice	31
59	Cryptacity	30
59	xxPipperDipperxx	30
59	Kakolbus	30
59	groofles	30
63	fffMike	29
64	_Bguette_	28
64	Kowcio_	28
64	CalebDHawk	28
64	Quotary	28
68	Inchef	27
69	fred870d	26
69	MyNameIsDakar	26
71	gaziter10	25
71	SuperPooch06	25
71	HellsSponge	25
71	Skippeh	25
75	Kamflame10	24
75	Soplight	24
77	Sleek_Storm_721	23
77	dopplexd	23
77	claivin	23
77	Groundler	23
81	T045RTY	22
81	Di_infiri	22
83	Drlzyy	21
83	Natty	21
83	EveryonesUncle	21
83	sleepdrifter_	21
87	morgangauk	20
87	Cartoonmaniac	20
87	SteveCraftBlocks	20
87	MyNameIsJobo	20
87	sammidk	20
92	Incinere	19
92	eitanzaki	19
92	ShedJr_	19
92	Historical_Sand	19
92	Chromary	19
92	Akoot_	19
92	Deathkob	19
92	JESS_THE_RERE	19
100	soundad	18
100	bloodbiter	18
100	Meepcraft	18
100	BreadBacon	18
104	whoaluv	17
104	SkateboardR6	17
104	Spacewardharpy7	17
104	CLUBN2	17
104	Teebone15	17
109	Frozt99	16
109	Ardennes	16
109	zorin123	16
109	ROY4LE	16
109	CaptainSteve345	16
109	pappaberg	16
109	Negriuke	16
109	Dr0xzy	16
117	hm947	15
117	Jackster03	15
117	DermeinUser	15
117	Austinizzle	15
117	AuroraSkies	15
117	PlasticOtari	15
123	rats_life	14
123	littlesophiagirl	14
123	EMC_	14
123	thescout7	14
123	Inbefour	14
123	Meatlaugh	14
123	Bloo2406	14
123	Racengan	14
123	MovingFish7	14
123	SammiWolfGirl	14
123	Soffbord	14
134	Jovaphobic	13
134	Tommhh	13
134	Alteriity	13
134	roxycherry	13
134	Megarboh	13
134	IforgotCS_Source	13
134	2Stout	13
134	Winklepicker279	13
134	impossibleteapot	13
134	ClemenPine	13
134	lizardfightclub	13
134	chipklip	13
134	Blu3beast	13
134	PortlyPete69	13
148	Paleshield	12
148	fr_ser	12
148	ooga47	12
148	Leyna3	12
148	drumine	12
148	robotemo	12
148	UCP_TheKingK	12
148	WYFYoyo	12
156	Iagoku	11
156	H72l9w	11
156	Swexti	11
156	jacxhadow	11
156	shyshyannne	11
156	Cambo5000	11
156	regulator75	11
156	layabout100	11
156	YungMaki	11
165	MSK__	10
165	SquadMonster	10
165	set67	10
165	Laykon	10
165	PegLegPete93	10
165	Paintz	10
165	zielkairos	10
165	Xclax101	10
165	wwwwinnebagoooo	10
165	PabloGonza02	10
165	anbbang	10
165	Powowowow	10
177	jspwn	9
177	orxngejuice	9
177	breadbowlgamer	9
177	Studyhallsaver	9
177	Jiminbub	9
177	Renchi19	9
177	NameGenerat0r	9
177	Luigipunch989	9
177	GlitchyPlate810	9
177	felincaus	9
177	blackmage426	9
177	TechnoNinja64	9
189	Louiis123	8
189	PhantomsGhost_	8
189	numbra	8
189	6king6colt6	8
189	Ryker	8
189	MOSS000	8
189	Malorn_Aetherius	8
189	Allanon1235	8
189	potato292	8
189	Awyrlas	8
189	M_Patata	8
189	RobotMinion101	8
189	TTNG	8
189	Lutres_Torane	8
189	RedcatVII	8
189	yoyoYoloMonke	8
189	lolpoottoot	8
189	MasterNueve	8
189	Lord_Doob	8
189	SexcMf	8
209	xyct	7
209	squigglybones	7
209	Tolhart	7
209	12Magner05	7
209	egglapras	7
209	SLASHZEERA	7
209	BlueZabu	7
209	Jackattack53	7
209	ADEXTV	7
209	Dabatha	7
209	Syropatathe	7
209	DemTechAlpha	7
209	GravitySaint	7
209	LetsDoItLive	7
209	cichy096	7
209	vandmanden	7
209	JayToe	7
209	00000000-0000-0000-0009-01ff0c3e5e4f	7
227	strongman951753	6
227	Nesquiczek	6
227	SaucyDark	6
227	Huwulling	6
227	Cortexia	6
227	surfinggiraffejp	6
227	noam464	6
227	John6970	6
227	prizm_	6
227	nut_e	6
227	Werbe	6
227	thgrocks	6
227	wezzzi	6
227	SolicitedPuma101	6
227	fluddd	6
227	Bonzaidalek	6
227	CSG_Haru	6
227	ReyTheLegend	6
227	SSytex_X	6
227	Spenduh	6
227	Dreamdbr14	6
227	_3Stump_	6
227	ZoomieZoomie	6
227	trexgb	6
251	TheMaster972	5
251	cowgirlkasia	5
251	Auseawesome	5
251	Jokerman369	5
251	Smashic	5
251	Kkanot	5
251	lionmindset	5
251	Mewar	5
251	SpicyMeatballs	5
251	TheDankPlatypus	5
251	gabriels543	5
251	SlayerCrypto	5
251	_8man	5
251	grislgrobl	5
251	Felenov	5
251	CruncyIsTaken	5
251	floodjon	5
251	Hail_the_wombat	5
251	TheTrueClipse	5
251	XxCookiequeenxX	5
251	MinuteMira	5
251	Frozil12	5
251	Barlycorn	5
251	Typadopoulos	5
251	Vorlice	5
251	ItsDeltaMC	5
251	NebulousBadger	5
251	BlankityMcBlank	5
251	_TCARREIRA_	5
251	VentiHilton	5
281	MunkaKris	4
281	Mr_Byzantine	4
281	Cowison	4
281	AshleeCW	4
281	TooManyDuck	4
281	ewsophie	4
281	CoffeeNoir	4
281	Nicky_H225	4
281	eclipseboi	4
281	Enigma0251	4
281	wiqor	4
281	NoxxxxiS	4
281	Gamergirl420628	4
281	TableTim	4
281	fallingemma	4
281	ReverendSmith	4
281	thewindmillman	4
281	Zythose	4
281	CaptainDeadBread	4
281	Shiirazuku	4
