rank	username	minecraft:picked_up/minecraft:spruce_wood
1	beeperbeeper5	1414
2	Yamdalorian	1269
3	Mr_Byzantine	1154
4	PlasticOtari	1136
5	Groundler	596
6	luseis	587
7	M_Patata	557
8	MasterNueve	518
9	pintsizedrogue	432
10	Mahoose	409
11	rarrq	405
12	joethahobo	303
13	Lez_	243
14	YungMaki	230
15	Marbz_	215
16	Ezekson	180
17	kekhon	159
18	Kowcio_	142
19	Chromary	128
20	m_be9	120
21	EveryonesUncle	104
22	MattieHD	101
23	Arceus1975	94
24	rotten_mango	78
25	KarlKaek	76
26	Spacewardharpy7	75
27	noam464	70
28	skitzxo	69
29	bl1ss0	68
30	Eraxa	65
31	Di_infiri	63
32	RebytreGT	60
33	Merv__	55
34	Manaateee	54
35	Alphanzt99	51
36	HesDemonPants	49
36	Jimb0nat0r	49
38	PazinGaming	48
39	Legendosh	46
40	K2IROS	44
41	500am	42
42	GLLogan2	40
43	crashomon	39
44	Druid95	37
45	Zythose	35
45	Chuglyfe	35
47	Inbefour	34
47	LazySupport00	34
47	pixelviolin	34
50	MyNameIsJobo	33
51	Niklas20114552	32
51	Frozil20	32
53	Flores991	31
53	eitanzaki	31
53	Felenov	31
56	Jackster03	30
56	Norrhede	30
56	Skippeh	30
59	SvenskaSara	29
59	NameGenerat0r	29
61	thebaddruid	26
61	TheKingK_	26
61	elliebelle107	26
64	CueMix	25
64	CrateOfBoxes	25
66	Smashic	24
67	TheSecondLord	23
68	Pumpkin_P_Patch	21
68	laron58	21
70	PigDab	20
71	SquadMonster	19
71	CollinMH06	19
71	CattSoup	19
74	_Huge_Male_	17
74	xxPipperDipperxx	17
74	TheShyPig	17
77	diamondgolem35	16
77	BlueZabu	16
77	N7November	16
77	zOnlyKroks	16
81	fragrantmonke444	15
81	Mattesco	15
83	BlancoFlaco	14
83	Fullut	14
83	Akoot_	14
83	EcksD	14
87	ImpavidArcher	13
87	MoistMicrowave	13
87	Onennon	13
87	PortlyPete69	13
87	SpacesickPrism	13
92	obzii	12
93	thescout7	11
93	oscminus	11
93	ApophisNova	11
93	claivin	11
93	MyNamaSheff	11
98	Historical_Sand	10
98	Enderxz3	10
100	Jimi7hits	9
100	avalan64	9
102	Cowison	7
102	Kkanot	7
102	ogoa	7
102	Deathkob	7
102	pretty_pink_reno	7
102	Soplight	7
102	_Wannabe_	7
109	EMC_	6
109	Koffeeinz	6
109	Choco_Spy	6
109	Soap_Bender	6
109	mihimihimihi	6
114	Bobby808	5
114	valkam13	5
114	blackeemperor	5
114	Blaiku	5
114	00000000-0000-0000-0009-01f73aa9620f	5
119	k_ce	4
119	XxCookiequeenxX	4
119	SvenskaHugo	4
122	NatalieTW	3
122	Apollo_993	3
122	Yatitay	3
122	livingdaydreams	3
122	jushykins	3
122	NoxxxxiS	3
122	prizm_	3
122	SlayerCrypto	3
122	Vetral1	3
122	Biites	3
122	trexgb	3
133	H0UNDFRMH3LL	2
133	SmashingPump	2
133	DirtyDalle	2
133	Tiberonus	2
133	gcaisawesome	2
133	Gzrdy	2
133	hanaryheatwave	2
133	Boipl	2
133	Mr_Sun15	2
133	NomadicRobin_	2
133	LordSpeed37	2
133	sleepdrifter_	2
133	SammiWolfGirl	2
133	KamFurnace	2
133	TheSandwhich_	2
133	WYFYoyo	2
133	diggydog67	2
150	Sleek_Storm_721	1
150	__lizi	1
150	Gundam_Steven	1
150	ZaneABrain	1
150	w3nd3lbo3	1
150	heckface	1
150	Malorn_Aetherius	1
150	Blackberry1310	1
150	SnowyAvi	1
150	12Magner05	1
150	SteveCraftBlocks	1
150	Masssonnn	1
150	Inchef	1
150	Stiar	1
150	Jackattack53	1
150	guiltybastard	1
150	The_Fulgurator	1
150	OreTheBear	1
150	Bumpy419	1
150	SpaggeDR	1
150	FishyBoy3811	1
150	lordpipe	1
150	TheTommyGun63	1
150	TheRealAndrin	1
150	Spenduh	1
150	SirBreadward	1
150	ConnorDanky_	1
