rank	username	minecraft:picked_up/minecraft:stripped_mangrove_log
1	CacheOut	1025
2	MrShojo	592
3	Spaghettatron	579
4	Merv__	485
5	Caribouse	424
6	Mr_Byzantine	229
6	Kowcio_	229
8	craaaash	178
9	Enderxz3	155
10	Manaateee	130
11	luseis	124
12	Mattesco	122
13	Steelynan	75
14	hanaryheatwave	68
15	Legendosh	56
16	k_ce	32
17	cutelilreno	11
18	Werbe	10
19	Lutres_	8
19	pixelviolin	8
21	Lez_	7
21	TheSecondLord	7
23	Soplight	5
24	bl1ss0	4
25	Lorcout	3
26	_Huge_Male_	2
26	Huwulling	2
26	Mahoose	2
26	milltesco	2
26	Druid95	2
26	Pumpkin_P_Patch	2
26	SpacesickPrism	2
26	ConnorDanky_	2
34	pintsizedrogue	1
34	corvidpartyfor6	1
34	SteveCraftBlocks	1
34	TheDankPlatypus	1
34	Krowuss	1
34	robonya_	1
34	CalebDHawk	1
34	ZoomieZoomie	1
34	EngagedGrub41	1
34	PlasticOtari	1
34	Yamdalorian	1
