rank	username	minecraft:picked_up/minecraft:tuff
1	pintsizedrogue	21096
2	thewindmillman	8107
3	500am	6809
4	gcaisawesome	6329
5	Hyp3rion_	4047
6	beeperbeeper5	3084
7	Smashic	2960
8	Segotep999	2899
9	Ryker	2607
10	MinttyFressh	2591
11	SvenskaHugo	2400
12	Mattesco	2393
13	Jimi7hits	2355
14	Smoke____	2122
15	Miko_Fullbuster	2057
16	RoskobiOne	1857
17	RebelAndroid	1816
18	xPixelRainx	1609
19	Enderslayerxz3	1597
20	PlasticOtari	1438
21	Jiminie	1418
22	Legendosh	1312
23	Mahoose	1280
24	Steelynan	1197
25	TheSecondLord	1141
26	Fuad_R	1136
27	TheALV	1039
28	ToastedGamingYT	1021
29	Marbz_	999
30	The_Fulgurator	965
31	12Magner05	909
32	Megarboh	873
33	kyouma777	870
34	SingedBread	759
35	PigDab	698
36	EMC_	683
37	fw3xywashere	676
38	Da_Boss_Rani	628
39	ccwildfire1	582
40	BungalowBeet	553
41	Hermanni__	543
42	_stets	538
43	MSK__	534
44	tuckerdoodle	531
45	ATurtle4936	517
46	YungMaki	488
46	AltnumberF4	488
48	EveryonesUncle	464
49	fluddd	445
50	Weepingbiel	411
51	Jackattack53	404
52	Rebytre	391
53	pixelviolin	385
54	Lutres_Torane	375
55	ItsDeltaMC	364
56	UCP_TheKingK	361
57	MilleGrug	350
58	00000000-0000-0000-0009-01f898304150	345
59	MAns_44	340
60	Lord_Doob	324
61	SvenskaAlvar	319
62	T045RTY	316
62	BronkerBrum	316
64	mobunni	314
65	nut_e	293
65	Vegvisir	293
67	Kekoo	287
68	TAKrules	280
69	AuroraSkies	279
70	Freak_Genius	270
71	Winklepicker279	265
72	Kubelz	245
73	AlexxO_o	244
74	Kakolbus	243
75	obtusely	231
76	Soplight	220
77	Flores991	209
78	dartwaffle	200
79	Masssonnn	199
80	TheOuterCore	191
81	ApophisNova	184
81	RoBe__	184
81	MyNamaSheff	184
84	lordpipe	182
85	Deathkob	171
86	hm947	169
87	TerraVl	165
88	Skippeh	150
89	crying_wolf_13	147
90	ImpavidArcher	145
90	ConJaBz	145
92	SquadMonster	137
93	Drlzyy	134
93	coobert42	134
95	EtherealSilveon	126
96	Lord_Zacler	117
96	IdeallyGrey	117
98	breadbowlgamer	113
99	Ezekson	111
100	_Boipl_	110
101	Steven1282598	103
102	GlitchyPlate810	99
103	00000000-0000-0000-0009-01ff0c3e5e4f	96
104	Toriankel	94
105	Alteriity	93
106	Inchef	92
106	Hail_the_wombat	92
108	Hylo482y	91
109	CyrusIsTired	89
109	wwwwinnebagoooo	89
111	FlirtingWithBoys	87
112	Yahir091	84
113	eitanzaki	82
114	bananamix994	80
115	Sepulcro	75
116	lizardfightclub	74
117	diamondgolem35	73
118	rarrq	71
118	Chickenchaser2	71
118	Dan_Scha	71
121	underscore_2	67
121	starbits140	67
123	PhantomBionic	65
124	dimondking777	64
125	Khelvoryk	62
125	TheEnderman548	62
127	HolyVenom	59
128	Valoth	55
128	Aryamanee	55
130	sp00ky_ghost977	53
131	KGTV	50
131	verynothing	50
131	EcksD	50
134	Lord_Jord	49
135	Kowcio_	47
136	WYFYoyo	46
137	cichy096	45
138	ChampPog_	43
139	hcb238	41
139	TheDankPlatypus	41
141	Covalents	40
142	KeruNatsema	39
142	WeebleSock	39
144	KingEgg1	38
144	noful	38
144	DarkS0L	38
144	jcool7	38
148	SpicyDuckMan	35
149	RadarHz	34
150	Gryglu583	32
151	ShedJr_	30
152	Racengan	27
152	Th6masss	27
154	yulgur1	26
155	TJawesome09	25
155	MyNameIsDakar	25
155	_Karmaa	25
158	_NieToksikpl_	24
158	Myszoaz	24
160	noam464	23
160	EtherealEspresso	23
160	Eczbek	23
163	joethahobo	20
164	Kamflame10	19
164	mrnosetackle	19
166	Xalithia	18
166	ROY4LE	18
168	NomadicRobin_	17
168	Sheldor097	17
170	Solar_Power	16
170	Toasty_Tom	16
170	Spenduh	16
173	Enigma0251	15
174	rachcl	14
174	tsitrawhy	14
176	Spacewardharpy7	13
176	Rexorout	13
178	The_lost_his_tea	12
178	floodjon	12
180	MrQuanQuan	11
180	3ce60713-c405-4bff-83bf-c5c7ae3ee0fe	11
182	Lumien_	10
182	SuperPooch06	10
182	smogfrog	10
185	XLIFluid	9
186	Akoot_	8
186	CalebDHawk	8
186	2blox	8
189	JuuustYeet	7
190	DolphinLaugh	6
191	Merv__	5
191	q_wq	5
191	neurotic_a	5
191	fade_emerge78823	5
191	DubDoesGams	5
191	_Dri_	5
191	Umbreon900	5
198	Base_Tempest	4
198	CoffeeNoir	4
198	SteveCraftBlocks	4
198	smarticuno	4
198	cwartzo	4
198	SpaggeDR	4
198	Xi_J1nping	4
205	Ev0luti0nz	3
205	chrolus	3
205	HyperCave	3
205	Joestra	3
205	MinuteMira	3
205	Human_Resource	3
211	nataliecool	2
211	strongman951753	2
211	egglapras	2
211	Glowhetic	2
211	Ze_BaronKrigler	2
216	KarlKaek	1
216	_Razar	1
216	Auseawesome	1
216	Awyrlas	1
216	CharlieButt	1
216	Jonte0599	1
216	Klerick	1
216	Frozil12	1
