rank	username	minecraft:picked_up/minecraft:yellow_wool
1	noam464	87962
2	thewindmillman	53325
3	joethahobo	49052
4	EcksD	28244
5	xxPipperDipperxx	8093
6	PazinGaming	6877
7	ConnorDanky_	5142
8	Spacewardharpy7	4392
9	royal_2	4279
9	ROY4LE	4279
11	EMC_	4172
12	PhantomsGhost_	3443
13	HellsSponge	3389
14	beeperbeeper5	3366
15	Hyp3rion_	3299
16	Xclax101	2343
17	4774	2154
18	FreakGenius	2077
19	mwrty	2029
20	YungMaki	1968
21	EdGalbraith	1940
22	IWorkAtIkea	1828
23	Segotep999	1570
24	Yamdalorian	1534
25	Alteriity	1504
26	Huwulling	1299
27	Jackattack53	1185
28	Eczbek	1128
29	Legendosh	1096
30	Eczbox	1064
31	heckface	1042
32	skitzxo	987
33	LexMakesHistory	961
34	luseis	883
35	Werbe	859
36	Inbefour	754
37	Jimb0nat0r	671
38	Fuhrer_Teemo	664
39	The11thDoctor	661
40	Di_infiri	660
41	diamondgolem35	639
42	QuiCreans	579
43	Smashic	557
44	Frozil20	555
45	Lez_	526
46	FishyBoy3811	508
47	pintsizedrogue	484
48	paranoid_plant	457
49	ImpavidArcher	448
49	TechnoNinja64	448
51	Ezekson	428
52	mariominejedi	413
53	Kowcio_	412
54	Blaiku	382
55	Fullut	345
56	bigstankyy	338
57	Jonafrog99	301
58	BadenStayFly	300
59	nitram49b	295
60	Njensen7	288
61	WyngGoy	272
62	Blackberry1310	270
63	Soplight	265
64	Mr_Byzantine	259
64	LagVibes	259
66	Hoid_the_Roamer	240
67	Aakvaa	228
68	k_ce	225
69	AlexxO_o	220
70	eitanzaki	218
70	TheSecondLord	218
72	Maenara	208
73	ZigzagLily43042	196
73	PortlyPete69	196
75	Blu3beast	195
76	SammiWolfGirl	190
77	ShedJr_	188
78	crashomon	187
79	weabis	180
80	Y_A_N_N_I	178
81	500am	173
81	El_Jalapeno	173
83	oscminus	163
83	PlasticOtari	163
85	SteveCraftBlocks	157
85	claivin	157
87	2Stout	156
88	PeteO1995	144
89	Mahoose	143
89	hermmm_	143
91	fffMike	133
92	lordpipe	131
93	Onennon	130
94	Napoleonpancake	128
94	Rumpletaezer	128
94	Spenduh	128
97	TheShyPig	120
98	Merv__	116
99	Marbz_	112
100	taengoos	111
101	KomputerDude	103
102	RebytreGT	97
103	MattieHD	96
104	PigDab	95
105	rotten_mango	92
106	Deathkob	88
107	RebelAndroid	84
108	Snowflowe	81
109	corvidpartyfor6	80
109	Enderxz3	80
111	oreee	78
112	Reneedium	77
113	SkateboardR6	76
114	seanitoo	75
115	LilyNova	67
116	Nekomin0	66
117	Swexti	64
117	gamerlord1324	64
117	handsome_strong	64
120	Kynigito	63
121	titanlax	59
122	Bumpy419	58
123	yheece	54
124	hollowww	52
124	MindyDooWho	52
126	_Huge_Male_	50
126	Zaridey	50
126	EveryonesUncle	50
129	djancak	49
130	sufjanlover	48
131	lunkuku	47
131	Kateesaur	47
133	U_Mos_	46
134	Quaintster	45
135	Pumpkin_P_Patch	44
136	SaucyDark	43
137	Manaateee	41
137	Sral7	41
139	Skylord_Luke	40
139	Zoeyfortnite	40
141	Akoot_	38
142	OfficerAnvil	36
143	Groovy_MoonBird	35
143	legal_tax_evader	35
143	Dakar_	35
146	Niklas20114552	34
147	__tomato	33
148	fluddd	32
148	Kura2218	32
148	KingMatthew506	32
151	Wooptey	29
152	miramyu	28
153	Comma__	27
153	intropass	27
153	blackeemperor	27
156	IamCL4SSY	26
156	NameGenerat0r	26
158	TheRomanNoodles1	25
158	6king6colt6	25
158	Archsam	25
161	AJplaysMC_	24
161	LetsDoItLive	24
161	BreadBacon	24
164	Drewen24	23
164	Steelynan	23
164	VentiHilton	23
167	_i_ERROR_i_	22
168	olliebollie48	21
169	Warlord324	20
170	teslawolf38	18
170	moist_jellyfish	18
170	Lord_Jord	18
170	Cache3	18
170	_Mythic____	18
170	FormulaNewt3627	18
176	Cowison	17
176	hanaryheatwave	17
176	Mattesco	17
176	420BreadLizard	17
176	OreoPenguin_	17
176	stavgod	17
182	Tiberonus	16
182	Barlycorn	16
184	shineh10	15
184	LilLizardWizard	15
184	Blasterboy54	15
187	SSytex_X	14
188	monky_irl	13
189	wiqor	12
189	SpacesickPrism	12
189	PlzNoBM	12
192	SquadMonster	11
192	Jij0	11
192	pixelviolin	11
195	CLG_Kata	10
195	Crowman1	10
195	bl1ss0	10
198	censorsheep	9
198	Kubeusz2010	9
200	rarrq	8
200	r123moore	8
200	Truckoss	8
200	Lord_Zacler	8
200	HesDemonPants	8
205	Bandito_Roamer	7
205	theonlymagikarp	7
205	Hahaa_0	7
205	Fuad_R	7
205	laron58	7
210	Reamdin	6
210	InfernalMound	6
210	NieToksikpl	6
210	prizm_	6
210	swag_bro2004	6
210	Skomo	6
210	KevinLikesPie	6
210	__jzr__	6
210	marumochis	6
210	Balthie	6
210	TheKingK_	6
210	CattSoup	6
210	jnp_gaming	6
223	j5ylim	5
223	SmashingPump	5
223	SlowMoNinja1994	5
223	myaccountwasgone	5
223	T045RTY	5
223	Ozixar	5
223	Megarboh	5
223	NomadicRobin_	5
223	Lutres_	5
223	SvenskaHugo	5
223	Skippeh	5
223	Quotary	5
235	Simon_Lowell	4
235	Saucepeh	4
235	kekhon	4
235	GingerNeutron	4
235	NormanFetus	4
235	Russiancat1	4
235	Jjackoe	4
235	Eraxa	4
235	annebolyn	4
244	soundad	3
244	ECstardust	3
244	jimintyy	3
244	abdomera	3
244	skroobiez	3
244	Stynxy	3
244	jushykins	3
244	Tjhodskins19	3
244	imcombxt	3
244	Kakolbus	3
244	shadowthemonkey	3
244	GamerDuck123	3
244	brycepants	3
244	audiocracked	3
244	OverallConcept	3
244	mafiKiwi	3
244	Buuck_	3
244	mihimihimihi	3
244	AssFullaCum	3
244	TheWickedBird	3
264	1ochi	2
264	Sn0w0ps	2
264	dudcreeper	2
264	BPTY4618	2
264	WarHammer3	2
264	bloodbiter	2
264	fragrantmonke444	2
264	whoaluv	2
264	Arceus1975	2
264	SirPiccardo	2
264	HAIRYCLOUD626	2
264	HyperCave	2
264	sp00ky_ghost977	2
264	jcool7	2
278	tgamemode	1
278	fanofbands101	1
278	dabloons	1
278	Jindong	1
278	FirsTimeGamingTV	1
278	Under1	1
278	Rich_Kat	1
278	MrExplorer	1
278	pr33tu	1
278	bbquakes	1
278	_witch_craft_	1
278	groggregg42	1
278	NotKaden_	1
278	0nly_sn1per	1
278	__Fanda__	1
278	Krowuss	1
278	SonicRainBow_	1
278	AuroraSkies	1
278	MankMaestro	1
278	Katthaj	1
278	StinkyDiplomat	1
278	Groundler	1
278	Racengan	1
