rank	username	minecraft:used/minecraft:acacia_trapdoor
1	Mahoose	1675
2	beeperbeeper5	1425
3	Steelynan	1207
4	fffMike	1071
5	Smoke____	755
6	Di_infiri	735
7	Spacewardharpy7	581
8	ROY4LE	507
9	TheSecondLord	370
10	Winklepicker279	359
11	PlasticOtari	338
12	PigDab	333
13	smogfrog	262
14	mariominejedi	224
15	EveryonesUncle	223
16	Enderxz3	198
17	El_Jalapeno	151
18	Mattesco	145
18	Soplight	145
20	stellarjay	135
21	Hoid_the_Roamer	130
22	Franco093	129
23	TheShyPig	125
24	CoffeeNoir	111
25	Powowowow	105
26	pintsizedrogue	96
27	Biites	94
28	Shogunite	93
29	luseis	92
30	JESS_THE_RERE	86
31	Merv__	79
32	kekhon	77
33	ProfessorDiaper	75
34	xolstoi	73
35	noam464	69
36	T045RTY	68
37	Rich_Kat	67
38	Werbe	66
39	SpaceGrenadier	64
40	peach0s	63
41	Lutres_Torane	58
42	r123moore	56
43	joethahobo	52
44	ImpavidArcher	51
45	TheSeismicDuck	50
46	youhjjhhhjj	49
47	RatatJuice	48
48	SaucyDark	44
49	FazeObama69	43
50	ooga47	42
51	Moofyman	37
52	_Ruzeeq_	35
52	Ezekson	35
54	ConnorDanky_	33
55	Fullut	30
55	2Stout	30
57	ProfessorBee	28
57	RoofTyler	28
59	gcaisawesome	24
60	Resner	22
61	Jakobo1337	20
62	Kubeusz2010	19
63	Mr_Byzantine	17
63	Mowelan	17
63	Blackberry1310	17
63	lordpipe	17
67	_Huge_Male_	16
67	Huwulling	16
67	TheALV	16
70	Crowvens	15
70	MousePlays	15
72	Jackattack53	13
73	Groovy_MoonBird	12
73	YungMaki	12
75	Wooptey	11
75	Toriankel	11
77	Bandito_Roamer	10
77	eitanzaki	10
77	Kynigito	10
77	Meatlaugh	10
77	weabis	10
77	Barlycorn	10
77	Slapface522	10
84	EMC_	9
84	claivin	9
86	m_be9	8
86	himak1	8
86	drunkeeez	8
86	TJawesome09	8
86	MyNameIsDakar	8
86	Dusk_95	8
92	nocturne78	7
92	mads388a	7
92	Kakolbus	7
95	SteveCraftBlocks	6
95	legal_tax_evader	6
95	ChillenChiggen	6
95	duqboy	6
95	Kowcio_	6
95	OutcryOfEnkidu	6
101	KarlKaek	5
101	500am	5
101	Doom_melon	5
101	SuperPooch06	5
101	xX_Stalin69_Xx	5
101	jnp_gaming	5
107	lorpus	4
107	Maenara	4
107	FreakGenius	4
107	Blaiku	4
107	sp00ky_ghost977	4
107	starbits140	4
107	TechnoNinja64	4
114	Myrosia	3
114	PuustaKauasPdnt	3
114	MyNameIsJobo	3
114	Blu3beast	3
114	MS_Pryxx	3
114	IAmTheWalrus910	3
114	ElectricDragon81	3
114	JayToe	3
122	planc_	2
122	Prismyst	2
122	ShedJr_	2
122	Cryptacity	2
122	Ardennes	2
122	Secret_Canary	2
122	eviltunix	2
122	Rocketlaunchers	2
122	thewindmillman	2
122	Skylord_Luke	2
122	ApophisNova	2
122	drumine	2
122	DarlaMeow	2
122	OffWithTheirHead	2
122	PortlyPete69	2
122	Dreamdbr14	2
122	EcksD	2
122	cichy096	2
122	MyNamaSheff	2
141	Tommhh	1
141	H72l9w	1
141	groggregg42	1
141	MustardDrinker	1
141	Onennon	1
141	Akoot_	1
141	Deodorante	1
141	HellsSponge	1
141	fluddd	1
141	BlankityMcBlank	1
141	gusstationwerker	1
141	Hermanni__	1
141	tartanboy	1
