rank	username	minecraft:used/minecraft:axolotl_bucket
1	Blackberry1310	640
2	Ezekson	426
3	Mahoose	420
4	500am	260
5	Ryker	250
6	Akoot_	138
7	SuperPooch06	125
8	eitanzaki	123
9	Frozil12	101
10	GlitchyPlate810	97
11	Rebytre	95
12	noam464	84
13	Blu3beast	82
14	Jackattack53	79
15	Smoke____	68
16	NomadicRobin_	64
17	pintsizedrogue	62
18	Quotary	52
19	fluddd	49
20	Freak_Genius	46
21	Inchef	35
22	Spenduh	33
23	MyNameIsDakar	32
24	nataliecool	29
25	Enderslayerxz3	26
26	CoffeeNoir	24
27	Kowcio_	22
27	EtherealEspresso	22
29	ApophisNova	21
29	SingedBread	21
29	MyNamaSheff	21
32	Winklepicker279	20
32	Hermanni__	20
34	Nach0Bear	19
34	egglapras	19
36	T045RTY	18
37	Lutres_Torane	16
38	xxPipperDipperxx	14
38	Hyp3rion_	14
40	Yahir091	13
40	_Dri_	13
42	fw3xywashere	12
42	pixelviolin	12
42	2blox	12
45	RebelAndroid	11
45	kekhon	11
45	sammidk	11
45	Human_Resource	11
49	diamondgolem35	10
49	ImpavidArcher	10
49	TheSecondLord	10
49	YungJakobo	10
49	KeruNatsema	10
54	_NieToksikpl_	9
54	Segotep999	9
56	MSK__	8
56	beeperbeeper5	8
56	12Magner05	8
56	Kakolbus	8
56	AuroraSkies	8
56	Steelynan	8
56	AstroLightz_	8
56	MeetTheWollo	8
56	coobert42	8
65	q_wq	7
65	Myszoaz	7
65	Joestra	7
65	Legendosh	7
69	TAKrules	6
69	MEMES4_LIFE	6
69	Arceus1975	6
69	_Boipl_	6
69	regulator75	6
69	Wowful	6
69	TheEnderman548	6
69	fffMike	6
69	RadarHz	6
78	Flores991	5
78	Auseawesome	5
78	Lumien_	5
78	Kkanot	5
78	orxngejuice	5
78	thewindmillman	5
78	cwartzo	5
78	Eraxa	5
78	YungMaki	5
87	RoskobiOne	4
87	soundad	4
87	PhantomBionic	4
87	joethahobo	4
87	Marbz_	4
87	08061945	4
87	dartwaffle	4
87	Th6masss	4
87	Ze_BaronKrigler	4
87	starbits140	4
87	Kubeusz2010	4
87	Dr0xzy	4
99	rarrq	3
99	Chickenchaser2	3
99	niamhie4	3
99	Rocco_Lane	3
99	HolyVenom	3
99	Jiminie	3
99	ThatMan_Dave	3
99	MADDMASTA	3
99	Soplight	3
99	MilleGrug	3
99	smogfrog	3
99	WYFYoyo	3
111	chrolus	2
111	Masssonnn	2
111	Xalithia	2
111	eli_tschki	2
111	SlayerCrypto	2
111	Lord_Zacler	2
111	Deathkob	2
111	Nycteus_	2
111	ProfessorDiaper	2
111	Sheldor097	2
111	Eczbek	2
111	Skippeh	2
111	CrazyPotater	2
124	_stets	1
124	Drlzyy	1
124	hm947	1
124	Farv	1
124	Khelvoryk	1
124	MinttyFressh	1
124	himak1	1
124	Chromary	1
124	Xeno175	1
124	420BreadLizard	1
124	yulgur1	1
124	Ilaea	1
124	Steven1282598	1
124	ConJaBz	1
124	Toriankel	1
124	extralargenose	1
124	SvenskaHugo	1
124	MineMaster0012	1
124	brofrickcheaters	1
124	SammiWolfGirl	1
124	obzii	1
124	skonos	1
124	TheALV	1
124	guccipucci_	1
124	Xi_J1nping	1
124	EcksD	1
