rank	username	minecraft:used/minecraft:basalt
1	thewindmillman	156987
2	ChronoSounds	14764
3	RebelAndroid	8344
4	burbankbuilder28	8194
5	noam464	6714
6	ProfessorDiaper	5913
7	PlasticOtari	5352
8	Cowison	5113
9	TheShyPig	4948
10	Enderslayerxz3	4235
11	EricAurum	4178
12	gcaisawesome	3980
13	Skylord_Luke	3968
14	Dusk_95	3750
15	mwrty	3643
16	EMC_	3521
17	StinkyDiplomat	3380
18	Smoke____	3064
19	Arceus1975	2803
20	beeperbeeper5	2728
21	eitanzaki	2595
22	Jiminie	2335
23	PigDab	1974
24	Mahoose	1652
25	Winklepicker279	1551
26	Blackberry1310	1307
27	r123moore	1094
28	YungMaki	1061
29	KnightmareD	969
30	Sheldor097	930
31	Werbe	865
32	TheSecondLord	863
32	Lord_Jord	863
34	Menthas	852
35	Shogunite	837
36	iHuntWeeaboos	834
37	ogoa	823
38	joethahobo	730
39	Snowflowe	710
40	CalebDHawk	674
41	Hyp3rion_	638
42	Soplight	631
43	Legendosh	627
44	lordpipe	615
45	pintsizedrogue	596
46	NomadicRobin_	587
47	anbbang	584
48	Fullut	580
49	Paint	558
50	Optiprimus	534
51	lizardfightclub	517
52	rarrq	499
53	q_wq	493
54	fred870d	451
55	djancak	436
56	athereall	407
57	SuperPooch06	405
58	Zythose	397
59	m_be9	368
60	EcksD	367
61	Spacewardharpy7	338
62	jacxhadow	337
63	kekhon	326
64	Miko_Fullbuster	317
65	Moofyman	307
66	Vorlice	297
67	4774	295
68	SkateboardR6	288
69	Steelynan	278
70	Segotep999	273
71	egglapras	257
72	theonlymagikarp	246
73	ShedJr_	220
74	_Karmaa	212
75	Ardennes	207
76	MissCeleste7	204
77	gustarbite	201
78	NinjaKnifeKill	198
79	Z3braYTIL	197
79	Freak_Genius	197
81	12Magner05	196
82	Di_infiri	192
83	MyNameIsDakar	191
84	Rocco_Lane	181
85	CoffeeNoir	180
86	oxfordschool	173
87	Groovy_MoonBird	168
88	KG1999	166
89	T045RTY	164
90	EveryonesUncle	159
91	Akoot_	156
92	Eraxa	150
93	bigstankyy	144
94	Vryistal	138
95	Nycteus_	135
95	TheEnderman548	135
97	Kakolbus	133
98	ToastedGamingYT	129
99	Erased_Identity	127
99	EcksDofficial	127
101	Nesquiczek	118
102	500am	116
102	EtherealEspresso	116
104	Decaying_Lotus	114
105	ROY4LE	110
