rank	username	minecraft:used/minecraft:birch_stairs
1	Wowful	3105
2	TheShyPig	1742
3	EveryonesUncle	1674
4	Smoke____	1560
5	Legendosh	1493
6	Blackberry1310	1484
7	rarrq	1471
8	Mahoose	1205
9	SuperPooch06	1199
10	Russiancat1	1194
11	lordpipe	935
12	_Karmaa	772
13	PabloGonza02	606
14	Kryktal	571
15	h2p_emrld	554
16	pintsizedrogue	501
17	_Dean_123	487
18	Simon_Lowell	446
19	Stiar	429
20	dendydoom	417
21	KarlKaek	395
22	ItzYaBoiPicard	383
23	Shogunite	373
24	beeperbeeper5	371
25	Frozil12	364
26	Freak_Genius	337
27	phomic	332
28	ProfessorDiaper	331
29	The11thDoctor	330
30	The_slideV3	310
31	Wooptey	301
32	NYJ	288
33	CoffeeNoir	277
34	SkyHighSkier	258
35	Skyler_Diablo	254
36	Merv__	252
37	Soplight	235
38	Austinizzle	230
38	MangoSalad316	230
40	Arceus1975	218
41	500am	211
42	Blu3beast	202
43	ROY4LE	200
44	surfinggiraffejp	195
45	OnlyOfficial	194
46	Ezekson	188
47	MyNameIsJobo	181
48	picardred	180
49	Yatitay	173
50	Adlair	163
51	Megarboh	162
52	SirMinza	160
53	xxPipperDipperxx	156
54	ImpavidArcher	151
55	InfernalMound	148
55	LetsDoItLive	148
57	Dedalus36	147
58	JESS_THE_RERE	139
59	Nicky_H225	136
60	DBoydart303	133
60	kekhon	133
60	ooga47	133
63	Nostrom	130
64	Dali1465	128
65	SammiWolfGirl	127
66	anbbang	125
67	WET_WET_WET	112
68	DAD_1996	104
69	Hoid_the_Roamer	103
70	IWorkAtIkea	101
70	MinttyFressh	101
72	TechnoNinja64	99
73	smarticuno	95
74	jnp_gaming	94
75	Myszoaz	93
76	Racengan	91
76	sebastiensaborio	91
78	MakeHistory157	88
79	proxivitoid	83
80	_Cloverbelle_	82
81	Atroxes	81
82	12Magner05	80
82	crying_wolf_13	80
84	Optiprimus	78
85	Vetral1	77
85	BreadBacon	77
87	bloodbiter	76
87	cichy096	76
89	Rebytre	75
90	Inchef	73
91	titanlax	70
92	egglapras	69
93	teslawolf38	67
93	Jokerman369	67
95	Ssor69	66
95	IAmTheWalrus910	66
97	MattieHD	64
97	NotTrixi	64
97	Groundler	64
100	XboxPanda	63
101	MrBeesMan	62
102	angwla	61
103	ATrojansLegend	60
104	funnyblitz123	59
105	swag_bro2004	58
105	Jackattack53	58
107	The_Great_Jake	57
108	Groovy_MoonBird	53
109	Malorn_Aetherius	52
110	6king6colt6	50
110	Snowflowe	50
110	Onennon	50
113	MelodyGaysharks	49
114	Diavri	46
114	Myhym	46
116	NibPicker	45
116	LexMakesHistory	45
118	hollowww	44
118	EMC_	44
120	diamondgolem35	43
120	dopplexd	43
120	Jij0	43
123	UncreativeArtist	42
123	Kubeusz2010	42
123	oxfordschool	42
126	heckface	40
126	Fullut	40
126	mwrty	40
129	DukBob	39
130	HollieDaNugget	38
130	jacxhadow	38
130	stellarjay	38
133	bigstankyy	37
133	MonitorLizards	37
133	PlasticOtari	37
136	SteveCraftBlocks	35
136	El_Jalapeno	35
136	SvenskaHugo	35
136	EcksDofficial	35
140	Skylord_Luke	34
141	Zielo2017PL	33
141	stahouo	33
143	thewindmillman	32
144	BilboBaggins23	31
145	Motsaro	30
145	CharlieButt	30
145	Quinasin	30
148	thescout7	29
148	SingedBread	29
148	07shiny	29
151	CollinMH06	28
151	YungMaki	28
151	BlankityMcBlank	28
154	dudcreeper	27
154	burbankbuilder28	27
154	Deathkob	27
157	littlesophiagirl	26
157	Kkanot	26
157	regulator75	26
157	560cool	26
161	livingdaydreams	25
161	Awyrlas	25
161	Mariopreeet	25
161	_bruhhhhh	25
161	Jiminie	25
166	TheSecondLord	24
166	epiksk8erduck	24
166	KeruNatsema	24
166	YahooScreen9000	24
166	diggydog67	24
171	Nicserso	23
171	AltnumberF4	23
173	Tommhh	22
174	ccormacs	21
174	DC_XII	21
174	NameGenerat0r	21
177	Akoot_	20
177	TheTrueClipse	20
177	yulgur1	20
177	fkGrim	20
181	Zaridey	19
