rank	username	minecraft:used/minecraft:black_bed
1	pintsizedrogue	212
2	12Magner05	134
3	Spacewardharpy7	129
4	PigDab	100
5	TheSecondLord	80
6	FreakGenius	78
7	El_Jalapeno	73
8	Manaateee	69
9	jnp_gaming	64
10	Racengan	58
11	Shogunite	45
12	beeperbeeper5	38
12	thewindmillman	38
14	Bucscw24	37
15	HolyVenom	36
16	kekhon	30
17	Lez_	26
17	Fullut	26
19	burbankbuilder28	25
19	__tomato	25
21	_Virify_	21
22	joethahobo	18
22	SpacesickPrism	18
24	EveryonesUncle	17
25	NinjaKnifeKill	16
25	Blackberry1310	16
25	Akoot_	16
28	Crowman1	15
28	Jordan_R	15
30	Gryglu583	13
31	Huwulling	12
31	H72l9w	12
31	Ssor69	12
31	hanaryheatwave	12
31	TheShyPig	12
36	RoskobiOne	11
36	ImNotYuqii	11
36	Solar_Power	11
36	sp00ky_ghost977	11
40	k_ce	10
40	SquadMonster	10
40	500am	10
40	PortlyPete69	10
40	Kubeusz2010	10
45	eiC_	9
45	Blu3beast	9
47	Groovy_MoonBird	8
47	AuroraValkyrie	8
47	Jimi7hits	8
50	Onennon	7
50	lcvezra	7
50	cichy096	7
53	CLG_Kata	6
53	diamondgolem35	6
53	DinoDoctor_	6
53	openatheclose	6
53	Stiar	6
53	Zaridey	6
53	Dakar_	6
53	Slapface522	6
61	Apollo_993	5
61	Paint	5
61	Vizzoid	5
61	titanlax	5
61	BobDeBouwer1337	5
61	MrExplorer	5
61	UncleDanDan	5
61	Felenov	5
61	AuroraSkies	5
61	Lord_Doob	5
71	TooManyDuck	4
71	ShedJr_	4
71	bloodbiter	4
71	noam464	4
71	TheWildMateo	4
71	luseis	4
71	Renchi19	4
71	ReflexCode	4
71	CalebDHawk	4
71	Jimb0nat0r	4
81	SmashingPump	3
81	bigstankyy	3
81	chrolus	3
81	ActualPatbaf	3
81	tramizu	3
81	_HoneySlime_	3
81	mwrty	3
81	himak1	3
81	xxPipperDipperxx	3
81	legal_tax_evader	3
81	Jackattack53	3
81	Hyp3rion_	3
81	Krowuss	3
81	Bumpy419	3
81	ApophisNova	3
81	weabis	3
81	LazySupport00	3
81	IdeallyGrey	3
81	infiniteQuery	3
81	EcksD	3
81	MyNamaSheff	3
81	h2p_emrld	3
103	SugarMyNuggets	2
103	Natty	2
103	rarrq	2
103	Tiberonus	2
103	Guillemet	2
103	_Nuf	2
103	eclipseboi	2
103	Smashic	2
103	mrnosetackle	2
103	olliebollie48	2
103	Justins_Juliet	2
103	The_Fulgurator	2
103	The_Cruncy	2
103	Sharkbyte0	2
103	Truckoss	2
103	Kokeech	2
103	Lord_Jord	2
103	SpouHn	2
103	fkGrim	2
103	MinuteMira	2
103	SolicitedPuma101	2
103	CuzIm2Kev	2
103	Soap_Bender	2
103	_Karmaa	2
103	iSammael	2
103	TheEnderMan548	2
103	Nargotah	2
103	ScarmedLeft	2
103	UrbanPlanningEx	2
103	FishisTTV	2
103	diggydog67	2
134	Mr_Worthless	1
134	Travasaur	1
134	teslawolf38	1
134	Ryan_GEMS	1
134	ColeSnyder	1
134	Slinkyy7071	1
134	BodaciousCake	1
134	livingdaydreams	1
134	Alteriity	1
134	No_u4	1
134	Mahoose	1
134	fr0stss	1
134	Da_Boss_Rani	1
134	Frxnkz	1
134	Cryptacity	1
134	Rich_Kat	1
134	zMarciano	1
134	minersam1	1
134	Gingayy	1
134	Covalents	1
134	noful	1
134	prizm_	1
134	ZeroAbyssTTV	1
134	okCrypto	1
134	F_22_	1
134	GreedyFern8581	1
134	MaGro2010	1
134	RohnJosin	1
134	xDraggin	1
134	Wowful	1
134	LeonelSalamanca	1
134	NomadicRobin_	1
134	audiocracked	1
134	Fuad_R	1
134	shrimp_flips	1
134	fluddd	1
134	MightyWertu	1
134	PixelatedBoss	1
134	WyngGoy	1
134	Zetsey	1
134	Kyrum2169	1
134	BlankityMcBlank	1
134	UCP_TheKingK	1
134	djancak	1
134	xof_on_microwave	1
134	MNMann44	1
134	Sheldor097	1
134	zOnlyKroks	1
134	CattSoup	1
134	imaginek1d	1
134	Sniper008	1
134	Kateesaur	1
134	Umbreon900	1
