rank	username	minecraft:used/minecraft:black_shulker_box
1	beeperbeeper5	1301
2	TheShyPig	1226
3	Hyp3rion_	1099
4	Eraxa	1076
5	Mahoose	874
6	Frozil20	714
7	Historical_Sand	572
8	__tomato	539
8	Kubeusz2010	539
10	Blackberry1310	521
11	pintsizedrogue	514
12	jnp_gaming	512
13	Chromary	483
14	noam464	469
15	Xclax101	424
16	Enderxz3	420
17	Onennon	412
18	teslawolf38	392
19	kekhon	377
20	PortlyPete69	371
21	sp00ky_ghost977	351
22	EcksD	331
23	Skippeh	309
24	Esme_1	301
25	PlzNoBM	290
26	Blaiku	288
27	TheSecondLord	287
28	RealGroot	267
29	6king6colt6	257
30	Xalithia	247
31	Kyrum2169	234
32	Covalents	226
33	xolstoi	222
34	lillips	216
35	MightyWertu	201
36	Hermanni__	192
37	whoaluv	188
38	Akoot_	186
39	thewindmillman	183
40	Jovaphobic	179
40	El_Jalapeno	179
42	FirsTimeGamingTV	170
42	YungMaki	170
44	Bumpy419	166
45	MyNameIsJobo	165
46	Deathkob	147
47	Mattesco	138
48	gusstationwerker	135
49	HellsSponge	133
49	HesDemonPants	133
51	MattieHD	130
52	Werbe	128
53	Lez_	127
53	claivin	127
55	Maenara	123
56	Rumpletaezer	122
56	ApophisNova	122
58	MyNamaSheff	121
59	Spacewardharpy7	120
60	Snowflowe	118
61	eviltunix	117
62	luseis	115
63	Zaridey	114
64	Skylord_Luke	112
65	500am	106
65	_Karmaa	106
67	rarrq	104
68	Hisiste	97
69	Groundler	95
70	Kowcio_	93
71	mihimihimihi	92
72	xDraggin	89
72	PlasticOtari	89
74	12Magner05	84
74	mwrty	84
76	r123moore	79
76	Shogunite	79
78	lordpipe	78
79	jcool7	77
80	Groovy_MoonBird	70
81	emrekn	69
81	SammiWolfGirl	69
83	Voxin2K	68
83	TheSeismicDuck	68
83	shrimp_flips	68
86	WyngGoy	67
86	TechnoNinja64	67
88	Malorn_Aetherius	66
88	burbankbuilder28	66
88	Hiryu27	66
91	eiC_	65
92	gcaisawesome	64
93	gabriels543	60
94	fade_emerge78823	59
94	iSammael	59
96	eitanzaki	58
96	Racengan	58
98	xxPipperDipperxx	53
98	xzvu	53
100	Jackattack53	51
101	Awyrlas	50
101	Steelynan	50
101	ConnorDanky_	50
104	Ecplosive	49
105	Myszoaz	48
106	AlexxO_o	47
106	fluddd	47
108	anbbang	44
109	Fullut	43
109	Kamflame10	43
111	Marbz_	42
112	xPixelRainx	41
112	PigDab	41
112	KingMatthew506	41
115	ImpavidArcher	38
115	NameGenerat0r	38
117	cedric72	36
118	seramalen	35
118	Dogcorn69420	35
120	Elastiq	34
120	geekbird	34
122	Iagoku	33
123	NotP0tato	32
123	jushykins	32
123	_TCARREIRA_	32
126	Warlord324	30
127	ShedJr_	28
127	Hoid_the_Roamer	28
127	stuy9	28
127	MustaLoordi	28
131	livingdaydreams	27
131	Inchef	27
133	joethahobo	26
133	OffWithTheirHead	26
135	NieToksikpl	25
135	weabis	25
135	Barlycorn	25
135	Airem_Core	25
135	bladeefan2009	25
140	TooManyDuck	24
140	Alteriity	24
140	thescout7	24
140	Quincannon	24
140	lcvezra	24
145	NotMeowMix	23
145	Soplight	23
145	diggydog67	23
148	Jindong	22
148	__Fanda__	22
150	Smoke____	21
151	SellyZ	20
151	Di_infiri	20
151	censorsheep	20
151	fffMike	20
155	H72l9w	19
155	Mewar	19
155	zToasty69z	19
155	ChronoSounds	19
155	tsitrawhy	19
155	Legendosh	19
155	FishisTTV	19
162	Huwulling	18
162	SteveCraftBlocks	18
162	Noah_Bez	18
162	Smiguli_	18
162	ZeroKraken	18
167	lorpus	17
167	GoofySilly	17
167	Njensen7	17
170	Crowvens	16
170	PhantomsGhost_	16
170	AuroraValkyrie	16
170	TAKrules	16
