rank	username	minecraft:used/minecraft:black_stained_glass_pane
1	joethahobo	18031
2	Lez_	9759
3	Franco093	7452
4	beeperbeeper5	6320
5	Mahoose	4935
6	RebelAndroid	3237
7	500am	2658
8	pixelviolin	1674
9	titanlax	1556
10	pintsizedrogue	1440
11	Spacewardharpy7	1369
12	burbankbuilder28	1359
13	RoskobiOne	857
14	FreakGenius	853
15	iSammael	839
16	teslawolf38	836
17	mihimihimihi	833
18	Ssor69	773
19	_Karmaa	763
20	Xalithia	706
21	12Magner05	639
22	Eraxa	628
23	Rich_Kat	611
24	I_Am_Mushkin	568
25	Eczbek	555
26	Eczbox	553
27	valkam13	458
28	YungMaki	405
29	NameGenerat0r	401
30	Steelynan	398
31	Frozil20	354
32	kekhon	341
33	MakeHistory157	286
33	lcvezra	286
35	TheSecondLord	282
36	TheShyPig	270
37	Snowflowe	266
38	El_Jalapeno	259
39	jnp_gaming	251
40	olliebollie48	237
41	MunkaKris	216
42	SingedBread	206
43	livingdaydreams	204
44	DTwenty	202
45	k_ce	197
46	Syropatathe	182
47	tsitrawhy	171
48	Merv__	155
49	Mattesco	146
50	6king6colt6	140
51	Matyyy15	136
52	Marbz_	128
53	jushykins	122
54	AJplaysMC_	120
55	Blaiku	118
56	IvarEXE	113
57	audiocracked	109
58	diamondgolem35	107
59	ShedJr_	102
60	cedric72	99
61	Deathkob	97
62	BobDeBouwer1337	96
62	fffMike	96
64	Hyp3rion_	95
65	EveryonesUncle	94
66	MightyWertu	90
67	SaucyDark	89
68	AltnumberF4	86
69	fkGrim	80
70	ReflexCode	78
71	NieToksikpl	75
71	Manaateee	75
73	Zythose	74
74	xolstoi	70
75	Historical_Sand	69
75	Werbe	69
77	ImpavidArcher	67
78	mobunni	66
79	EMC_	65
80	rarrq	61
81	Myszoaz	57
82	SvenskaHugo	55
83	ROY4LE	53
84	Blackberry1310	51
85	benediktine1	49
86	noam464	44
86	Groundler	44
88	xxPipperDipperxx	42
88	drunkeeez	42
88	MAns_44	42
91	Akoot_	41
92	ssleepless	39
93	AnnieBathory	37
93	skrongus	37
95	Jackattack53	36
96	Onennon	35
97	_Huge_Male_	33
97	jessewegottacook	33
97	PegLegPete93	33
100	Hiryu27	29
100	AssFullaCum	29
100	EcksD	29
103	Groovy_MoonBird	28
104	Rumpletaezer	27
105	ConnorDanky_	26
106	Jonafrog99	25
107	Vetral1	24
108	Huwulling	23
109	Apollo_993	21
110	Enderxz3	20
111	Kowcio_	19
111	Nicserso	19
113	luseis	17
113	TechnoNinja64	17
115	Hyugo	16
115	MoistMicrowave	16
115	thescout7	16
115	KliBeast21	16
115	sp00ky_ghost977	16
115	ZoomieZoomie	16
121	yaboo88	15
121	Shogunite	15
123	q_wq	14
123	Solar_Power	14
123	Rebytre	14
126	AuroraValkyrie	13
127	Notta	12
127	starbits140	12
127	Soplight	12
130	UncreativeArtist	11
130	Maenara	11
130	Ezekson	11
133	bloodbiter	10
133	Avrelion	10
133	ImDisconnected_	10
133	lillips	10
133	LexMakesHistory	10
133	RedcatVII	10
133	cichy096	10
140	SteveCraftBlocks	9
140	Smashic	9
140	fr_ser	9
140	Fuad_R	9
140	Toriankel	9
145	Inbefour	8
145	Avocadogerms	8
145	Kubeusz2010	8
148	eitanzaki	7
148	theonlymagikarp	7
150	MinerDec	6
150	lordpipe	6
150	UCP_TheKingK	6
153	IgnoredBee	5
153	fluddd	5
153	THEKINGLyric10	5
156	SmashingPump	4
156	TinMaster	4
156	CliffEmAll	4
156	LeonelSalamanca	4
156	NomadicRobin_	4
156	SammiWolfGirl	4
162	Fullut	3
162	Motsaro	3
162	oscminus	3
162	ApophisNova	3
162	claivin	3
162	anbbang	3
162	MyNamaSheff	3
169	CLG_Kata	2
169	NinjaKnifeKill	2
169	MattieHD	2
169	noodlepack	2
169	Arceus1975	2
169	YungWali	2
169	marumochis	2
169	_Mythic____	2
169	xzvu	2
169	PortlyPete69	2
169	SpacesickPrism	2
180	_Virify_	1
180	Raltemoxitonica	1
180	Secret_Canary	1
180	Aneurysmas	1
180	MineMaster0012	1
180	MilleGrug	1
180	TheOuterCore	1
