rank	username	minecraft:used/minecraft:chest
1	HellsSponge	8310
2	noam464	8150
3	Hyp3rion_	7066
4	Spacewardharpy7	7050
5	Di_infiri	6939
6	PigDab	6623
7	joethahobo	6499
8	thewindmillman	6461
9	Ezekson	6059
10	Jimb0nat0r	5944
11	gcaisawesome	4854
12	Blaiku	4611
13	eitanzaki	4496
14	Kakolbus	4410
15	EMC_	4297
16	Smoke____	3949
17	El_Jalapeno	3470
18	EveryonesUncle	3433
19	pintsizedrogue	3351
20	beeperbeeper5	3295
21	Werbe	3090
22	Zythose	2765
23	TheShyPig	2653
24	Kowcio_	2638
25	FreakGenius	2535
26	Mahoose	2520
27	Snowflowe	2294
28	fffMike	2274
29	Lord_Jord	2163
30	Enderxz3	2073
31	lordpipe	2048
32	Historical_Sand	2036
33	thescout7	2034
34	Darkgon	1972
35	MightyWertu	1902
36	kekhon	1870
37	Lez_	1856
38	Elastiq	1802
39	mihimihimihi	1784
40	500am	1740
41	Inbefour	1714
42	teslawolf38	1688
43	Iamthejo	1647
44	Sheldor097	1641
45	ROY4LE	1632
46	YungMaki	1609
47	MattieHD	1597
48	ImpavidArcher	1594
49	EcksD	1509
50	Frozil20	1501
50	Legendosh	1501
52	Jackattack53	1496
53	m_be9	1494
54	_Nuf	1465
55	MyNameIsJobo	1438
56	Marbz_	1386
57	censorsheep	1372
58	ApophisNova	1355
58	MyNamaSheff	1355
60	Jimi7hits	1351
61	xolstoi	1347
62	KarlKaek	1265
63	Hisiste	1256
64	Touched_Bread	1233
65	MakeHistory157	1227
66	obzii	1225
67	jnp_gaming	1212
68	Akoot_	1207
69	TechnoNinja64	1188
70	Racengan	1180
71	r123moore	1137
72	Blackberry1310	1097
73	Hermanni__	1087
74	Malorn_Aetherius	1058
75	mwrty	1055
76	Steelynan	1037
77	Mr_Byzantine	1005
78	rarrq	964
79	Alteriity	955
80	Groovy_MoonBird	945
81	TheSecondLord	935
82	MilleGrug	917
83	Skippeh	906
84	set67	899
85	Z3braYTIL	895
86	12Magner05	891
87	Eraxa	888
88	RebelAndroid	871
89	Jovaphobic	868
90	Fullut	863
91	_Virify_	842
92	Shogunite	830
93	NatalieTW	814
94	Zaridey	795
95	eviltunix	772
96	luseis	771
97	Vorlice	769
98	Skylord_Luke	740
99	CattSoup	738
100	Comma__	736
101	Deathkob	733
102	EngagedGrub41	732
103	Fuad_R	709
104	Syropatathe	694
105	lizardfightclub	673
106	PhantomsGhost_	647
106	ConnorDanky_	647
108	RoofTyler	646
108	Groundler	646
110	Bumpy419	616
111	The_slideV3	610
112	Njensen7	603
113	LeauVox4921	602
114	Barlycorn	586
115	TheThomas69	580
116	gabriels543	578
116	Deerfoot	578
118	Soplight	576
119	Merv__	568
120	sp00ky_ghost977	564
121	Nycteus_	562
122	xxPipperDipperxx	559
123	RealGroot	555
124	Inchef	545
125	PlasticOtari	526
126	Paintz	520
126	Hiryu27	520
128	wwwwinnebagoooo	514
129	NameGenerat0r	510
130	Cowison	505
131	Da_Boss_Rani	498
132	ZoomieZoomie	488
133	Xalithia	486
133	Meatlaugh	486
135	_Dean_123	484
136	WyngGoy	482
137	Ryker	477
138	Rumpletaezer	471
138	Mythic1130	471
140	ProfessorBee	470
141	T045RTY	466
142	SkateboardR6	464
143	__tomato	463
144	CollinMH06	459
145	bloodbiter	454
146	Mewar	453
147	Apollo_993	451
148	BronkerBrum	450
149	Kyrum2169	446
150	Megarboh	441
151	gusstationwerker	440
152	AlphaWolfPlaysMC	436
153	_Karmaa	433
154	Quotary	429
155	Sral7	428
156	Esme_1	425
157	Tyrannosplart	424
158	Warlord324	423
158	tsitrawhy	423
158	non089	423
161	SammiWolfGirl	418
162	himak1	417
163	NoChumpChange	416
164	Zedducius	415
165	PlzNoBM	412
166	picardred	408
167	Prodiginus	397
168	MinttyFressh	393
168	audiocracked	393
170	StinkyDiplomat	390
171	cedric72	387
172	ssleepless	383
172	h2p_emrld	383
174	hcb238	382
174	Hoid_the_Roamer	382
176	PortlyPete69	377
177	Zoeyfortnite	375
178	SpacesickPrism	374
179	diamondgolem35	371
180	SmashingPump	367
181	DanTheBuilderino	365
182	JESS_THE_RERE	352
183	diggydog67	349
184	TheDankPlatypus	347
185	vandmanden	344
186	Smashic	343
187	RyuNeko932000	342
188	ayamefag	336
189	emrekn	333
190	eiC_	332
190	AlexxO_o	332
192	Onennon	330
193	ThiccExotic	328
194	AuroraSkies	327
195	lorpus	326
196	BlancoFlaco	322
197	FishyBoy3811	321
198	Blu3beast	318
199	Arceus1975	312
199	groofles	312
201	TooManyDuck	310
202	FirsTimeGamingTV	307
202	BobDeBouwer1337	307
204	mariominejedi	305
205	Swexti	304
206	SexcMf	301
207	Lutres_Torane	300
208	Yatitay	299
209	ori0le	298
210	Euclidoris	296
211	Awyrlas	294
212	UrbanPlanningEx	293
213	q_wq	285
213	legal_tax_evader	285
215	Nicserso	284
216	fluddd	279
216	Kferno	279
218	Jackster03	278
219	IvarEXE	275
220	OfficerAnvil	271
221	6king6colt6	269
222	Eczbek	267
223	Incinere	263
223	fade_emerge78823	263
225	RatatJuice	262
225	Maenara	262
225	GoofySilly	262
228	pixelviolin	260
229	IamCL4SSY	259
229	Fuhrer_Teemo	259
231	CoffeeNoir	258
232	Mattesco	257
233	soundad	254
233	ITDV	254
233	H72l9w	254
236	Airem_Core	252
237	F_Uhre	251
238	Chromary	245
239	Xclax101	244
239	KingMatthew506	244
241	Covalents	243
241	prizm_	243
243	UCP_TheKingK	242
243	lcvezra	242
245	FishisTTV	234
246	XboxPanda	230
247	ougstur	229
248	ZA07	228
248	2bolx_	228
250	Ssor69	223
250	Kouridragon	223
252	titanlax	221
253	Winklepicker279	220
254	BumbleBeever	218
255	Factoroni	214
256	cheerytomato	212
256	NotMeanttoChange	212
256	HesDemonPants	212
259	M_Patata	211
259	lillips	211
261	BodaciousCake	206
261	PegLegPete93	206
263	SaucyDark	204
263	seramalen	204
263	07shiny	204
266	Fildyr	203
267	tuckerdoodle	202
268	G1ldor	201
268	SaintJosie	201
270	Astronicky	199
271	Optiprimus	197
271	SvenskaHugo	197
273	4774	196
274	MasterNueve	194
275	Rebytre	193
275	calamariclam_I	193
275	00000000-0000-0000-0009-01ff0c3e5e4f	193
278	Russiancat1	192
279	CliffEmAll	191
280	fkGrim	190
281	fw3xywashere	186
282	Biites	185
283	wezzzi	184
284	ShedJr_	183
284	claivin	183
286	little_dUki	181
287	XxCookiequeenxX	180
288	Huwulling	178
288	MangoTheFish	178
290	Quincannon	177
290	yatsuta	177
292	DAD_1996	174
292	AltnumberF4	174
294	Myszoaz	173
294	GravitySaint	173
296	AuroraValkyrie	172
296	BartekB19	172
298	NomadicRobin_	169
299	starbits140	168
299	xzvu	168
