rank	username	minecraft:used/minecraft:clay
1	YungMaki	15695
2	Kowcio_	12163
3	thewindmillman	11026
4	PlasticOtari	6700
5	joethahobo	6216
6	Di_infiri	4218
7	Alteriity	4174
8	Lord_Jord	4084
9	SingedBread	3838
10	Enderxz3	3399
11	Sral7	3266
12	Mr_Byzantine	2316
13	Rumpletaezer	2266
14	EveryonesUncle	2246
15	Huwulling	2054
16	TheShyPig	1969
17	LeauVox4921	1889
18	k_ce	1884
19	weabis	1729
20	xolstoi	1416
21	FreakGenius	1235
22	Mattesco	1192
23	xxPipperDipperxx	1175
24	Akoot_	1140
25	pintsizedrogue	1099
26	ConnorDanky_	1048
27	AdmiralSmoke	1047
28	Manaateee	851
29	Jimb0nat0r	829
30	Saucepeh	661
31	_i_ERROR_i_	647
32	Werbe	625
33	drunkeeez	517
34	Skylord_Luke	514
35	Deathkob	464
36	TheSecondLord	451
37	Zythose	448
38	Krowuss	432
39	Kakolbus	421
40	Deerfoot	341
41	Legendosh	339
42	kekhon	324
43	PigDab	320
44	NieToksikpl	304
45	jessewegottacook	298
46	CattSoup	296
47	mihimihimihi	282
48	AlexxO_o	267
49	Crowman1	259
49	Jackattack53	259
51	Inchef	256
52	Onennon	246
53	DTwenty	245
54	ImDisconnected_	236
55	Mahoose	229
56	EMC_	228
57	luseis	222
58	NomadicRobin_	203
59	Blackberry1310	200
60	tuckerdoodle	192
61	Hyp3rion_	187
61	h2p_emrld	187
63	LeEricc	180
64	beeperbeeper5	179
65	NameGenerat0r	175
66	Ryker	171
66	mwrty	171
68	500am	169
69	Arceus1975	166
70	12Magner05	161
71	gcaisawesome	142
71	Syropatathe	142
73	MrExplorer	128
74	Marbz_	123
74	PaperCanvas	123
76	Soplight	122
77	seanitoo	117
78	fffMike	113
79	PortlyPete69	107
80	Hahaa_0	101
81	Winklepicker279	98
81	07shiny	98
83	SpacesickPrism	95
84	xzvu	90
85	noam464	88
86	OfficerAnvil	79
87	_Bguette_	77
88	Merv__	73
89	ImpavidArcher	72
89	Steelynan	72
91	Wowful	67
92	SnowyAvi	66
93	AgressiveEggdog	64
93	Lez_	64
93	zeki123	64
93	ReflexCode	64
97	TheBananaKat	62
98	ECstardust	61
98	EngagedGrub41	61
100	SyntheticSurgeon	60
101	cichy096	59
102	m_be9	56
103	Rebytre	53
104	lcvezra	51
105	Cellcorgi649	49
105	Racengan	49
105	EcksD	49
108	MattieHD	48
109	LeGold	46
109	groofles	46
109	Groundler	46
112	lorywithay	42
113	Bumpy419	41
113	GooseWithin	41
113	AuroraSkies	41
116	Bandito_Roamer	40
116	r123moore	40
118	Chromary	39
118	ZoomieZoomie	39
120	2blox_	38
121	SvenskaHugo	37
122	Fullut	36
122	Soap_Bender	36
124	jushykins	35
124	set67	35
124	Blu3beast	35
124	MineMaster0012	35
128	MakeHistory157	34
129	__Fanda__	33
130	jnp_gaming	32
131	Ezekson	30
132	_Tilariel_	28
133	surfinggiraffejp	27
134	_Dean_123	26
134	lordpipe	26
136	ApophisNova	25
136	Druid95	25
136	MyNamaSheff	25
139	Eraxa	24
140	Cortexia	23
140	Smashic	23
142	Hpdinosaur	22
142	MyNameIsJobo	22
142	Segotep999	22
142	TechnoNinja64	22
146	diamondgolem35	21
146	eitanzaki	21
146	hanaryheatwave	21
146	Shogunite	21
150	nattybears	20
150	krutas2000	20
152	Cryptacity	19
153	Reneedium	18
154	TuesdayEpisode	17
155	H0UNDFRMH3LL	15
156	oscminus	14
156	FadedSpade82	14
158	youhjjhhhjj	13
158	CoffeeNoir	13
158	Swexti	13
158	El_Jalapeno	13
162	starbits140	12
163	teslawolf38	11
