rank	username	minecraft:used/minecraft:cobbled_deepslate_slab
1	gcaisawesome	10191
2	YungMaki	4400
3	EMC_	3934
4	AltnumberF4	2616
5	benediktine1	1068
6	ImpavidArcher	628
7	PlasticOtari	358
8	Rebytre	190
9	Kubelz	180
10	Megarboh	171
11	Hylo482y	107
12	thewindmillman	105
13	Hermanni__	71
14	Masssonnn	57
15	pintsizedrogue	35
16	SquadMonster	32
17	hm947	24
18	WYFYoyo	23
19	Winklepicker279	22
20	Marbz_	18
21	TheSecondLord	16
22	Smoke____	12
23	Mahoose	10
24	JuuustYeet	9
24	CalebDHawk	9
26	orxngejuice	5
27	Merv__	2
27	Spacewardharpy7	2
27	Soplight	2
30	rachcl	1
