rank	username	minecraft:used/minecraft:cookie
1	TechnoNinja64	2955
2	kekhon	827
3	Blackberry1310	631
4	Blu3beast	578
5	Steelynan	533
6	pintsizedrogue	467
7	Akoot_	422
8	Tolhart	412
9	Groovy_MoonBird	395
9	Di_infiri	395
11	DarlaMeow	360
12	Legendosh	345
13	PortlyPete69	319
14	Reamdin	316
15	IdeallyGrey	313
16	Zielo2017PL	302
17	Mahoose	292
18	iElijah	290
18	738b4f65-6cbd-4ead-ba31-c14211abfb06	290
20	Spenduh	280
21	Enderslayerxz3	262
22	Corbsman	256
23	seramalen	255
24	RodSerlingCringe	253
25	EcksDofficial	245
26	jcool7	234
27	Lutres_Torane	216
28	SyK7	203
29	rarrq	199
30	CruncyIsTaken	195
31	2Stout	186
32	SuperPooch06	184
33	Zythose	183
34	Oxygen16	182
35	The_slideV3	178
36	Racengan	175
37	Minimize501	173
38	bloodbiter	171
39	Lukeee33	160
40	Smoke____	158
41	_Boipl_	152
42	pixelviolin	149
43	fallingemma	146
44	Euclidoris	136
45	T045RTY	134
46	teslawolf38	133
47	lordsaladito	128
47	Kowcio_	128
49	_Bguette_	127
50	Quaintster	124
51	Optiprimus	110
52	soundad	109
52	NebulousBadger	109
54	Truckoss	108
55	lcvezra	107
56	Hyugo	106
57	thescout7	100
58	Werbe	98
59	Luigipunch989	94
60	Syropatathe	91
61	Mattesco	89
62	Calbo_	88
63	LordAurum	87
64	The11thDoctor	86
65	bigstankyy	83
66	Natty	78
66	Marbz_	78
68	_Dean_123	77
69	Hiryu27	76
70	PlasticOtari	74
71	NameGenerat0r	73
72	KarlKaek	72
72	chipklip	72
72	radioactv_jelly	72
75	eitanzaki	70
76	Stiar	69
77	Jackattack53	68
78	Ssor69	67
78	stahouo	67
78	EcksD	67
81	titanlax	65
81	EtherealEspresso	65
81	SammiWolfGirl	65
84	RosaDoesMC	64
84	TooManyDuck	64
84	wickedword	64
84	BodaciousCake	64
84	Resner	64
84	RyuNeko932000	64
84	TheShyPig	64
84	Babushka0430	64
84	Segotep999	64
84	KingMatthew506	64
94	Universz	63
95	stickwhiskers	60
95	yatsuta	60
97	speenduhXD	59
98	thewindmillman	58
99	CalebDHawk	57
100	Kynigito	56
100	YoshikageBites	56
102	Ezekson	54
103	Inchef	53
103	r123moore	53
103	fw3xywashere	53
106	pappaberg	50
107	xxPipperDipperxx	49
107	QueenOfDirt	49
109	bbrothers_5	48
109	m_be9	48
109	Eraxa	48
109	oxfordschool	48
113	ese_wn_po	47
114	Krasnal1337	46
114	GingerNeutron	46
114	JakobDylanC	46
117	Zorgalorg	45
118	Gryglu583	44
118	kinas45y5	44
120	__tomato	43
121	RIDDLYRIGHT	42
121	Boboczus	42
121	Lord_Doob	42
121	Chayula	42
125	ILoveCarrot	41
125	Blaiku	41
125	apnos	41
128	Inbefour	40
129	Fullut	39
129	Travka100	39
131	Notta	38
131	MeowMeowMcmuffin	38
131	censorsheep	38
134	angwla	37
135	ColeSnyder	36
135	TheDiamondCG	36
135	set67	36
135	E775	36
135	Frozil12	36
135	Ben_van_Berkum	36
135	Kartoong	36
142	duqboy	35
142	TheJetNinja	35
142	Cocoamallows	35
145	thgrocks	34
146	fkGrim	33
147	Arteriana	32
