rank	username	minecraft:used/minecraft:diamond_shovel
1	joethahobo	1361878
2	EveryonesUncle	703141
3	HellsSponge	567849
4	PigDab	561870
5	gcaisawesome	536850
6	lordpipe	467333
7	Di_infiri	449471
8	noam464	316963
9	TheShyPig	313765
10	YungMaki	306636
11	Spacewardharpy7	282577
12	Smoke____	226600
13	Frozil12	207576
14	Werbe	204377
15	El_Jalapeno	200903
16	TheSecondLord	192212
17	Freak_Genius	192077
18	Blu3beast	178543
19	EcksD	166819
20	eitanzaki	164162
21	Sral7	154396
22	PhantomsGhost_	152539
23	beeperbeeper5	146202
24	thescout7	136723
25	Blaiku	136233
26	m_be9	130087
27	awesomeoneme	129356
28	Steelynan	128278
29	Legendosh	127619
30	Ezekson	125568
31	Snowflowe	119531
32	kekhon	107453
33	burbankbuilder28	105305
34	Hyp3rion_	103690
35	cedric72	98857
36	Miko_Fullbuster	97217
37	eviltunix	89599
38	12Magner05	88490
39	Enderslayerxz3	88041
40	FelixPSY375	87623
41	SuperPooch06	87205
42	Groovy_MoonBird	86754
43	Cowison	86122
44	Mahoose	84713
45	vandmanden	84021
46	Onennon	81357
47	Arceus1975	81315
48	ApophisNova	80363
48	MyNamaSheff	80363
50	Mewar	80113
51	jnp_gaming	80024
52	CoffeeNoir	79934
53	TechnoNinja64	79629
54	mwrty	78804
55	Skylord_Luke	76955
56	Deathkob	74918
57	picardred	73977
58	Dogcorn69420	72471
59	MyNameIsJobo	71445
60	Groundler	70821
61	Bumpy419	70505
62	Menthas	70172
63	Fullut	70050
64	Blackberry1310	68901
65	claivin	67640
66	Jiminie	67628
67	rarrq	65951
68	Lord_Jord	61199
69	ROY4LE	59267
70	Jovaphobic	58468
71	bigstankyy	58102
72	Merv__	57843
73	Inbefour	57634
74	MightyWertu	57166
75	Jackattack53	56216
76	Skippeh	55730
77	stahouo	55284
78	Hoid_the_Roamer	52888
79	Zythose	52056
80	Hermanni__	51228
81	PlzNoBM	49105
82	ImpavidArcher	48873
83	ProfessorBee	48687
84	himak1	47390
85	Rumpletaezer	47250
86	Maenara	47227
87	TooManyDuck	46281
88	AuroraValkyrie	45849
89	Franco093	45804
90	MinttyFressh	44693
91	_Karmaa	43909
92	Mattesco	42262
93	sp00ky_ghost977	41604
94	Akoot_	41302
95	WyngGoy	41217
96	Hisiste	41096
97	SSytex_X	40285
98	RodSerlingCringe	39272
99	emrekn	38832
100	500am	38219
101	BumbleBeever	37696
102	hcb238	37571
103	_Dean_123	36014
104	lcvezra	35969
105	pintsizedrogue	35569
106	Quincannon	34252
107	Nicserso	34197
108	Awyrlas	33776
109	Kim_Jong_eel	33551
110	wwwwinnebagoooo	33484
111	set67	33309
112	oxfordschool	33046
113	EMC_	32803
114	yulgur1	32525
115	Jimi7hits	32061
116	fred870d	31727
117	Njensen7	31431
118	Optiprimus	31051
119	__tomato	30549
120	PlasticOtari	30344
121	SaucyDark	30152
122	T045RTY	29846
123	lillips	29686
124	Euclidoris	29536
125	xxPipperDipperxx	29238
126	Hiryu27	28841
127	2c19c699-1659-42a9-8736-134c5a6d6d2a	28663
128	groofles	28598
129	AlphaWolfPlaysMC	28473
130	SpaceGrenadier	28448
131	cog	27936
132	diamondgolem35	27667
133	gabriels543	27645
134	alderban107	27557
135	Kubelz	27382
136	Powowowow	27008
137	Cocoamallows	26999
138	Shogunite	26619
139	ExtraDumb	26608
140	Rasmanden	26569
141	Racengan	26540
142	wezzzi	26206
143	NameGenerat0r	26050
144	OverallConcept	25931
145	DTwenty	25596
146	_TCARREIRA_	25097
147	DemTechAlpha	24550
148	Sky_light_KING	24543
149	titanlax	24217
150	EcksDofficial	24032
151	Zoeyfortnite	23847
152	NomadicRobin_	23801
153	Spenduh	23798
154	TheDankPlatypus	23318
155	audiocracked	23278
156	Ssor69	23129
157	chipklip	22798
158	LeauVox4921	22539
159	BlancoFlaco	21848
160	diggydog67	21621
161	chimpmunker	21564
162	jcool7	21533
163	loveseeker	21301
164	Incinere	21183
165	Soplight	21021
166	KarlKaek	20799
167	Xalithia	20406
168	Winston_Ingram	20324
169	Luigipunch989	20002
170	Swexti	19793
171	PortlyPete69	19434
172	Barlycorn	19260
173	I_Am_Mushkin	19159
174	lizardfightclub	18850
175	XboxPanda	18835
176	TheBiggestFeller	18763
177	h2p_emrld	18728
178	Xclax101	18327
179	SDMNAEK	18186
180	Inchef	18099
181	stavgod	18074
182	surfinggiraffejp	18049
183	SvenskaHugo	18015
184	ayqq	18004
185	ssleepless	17775
186	Eraxa	17759
187	Comma__	17454
188	Ryker	17147
189	WET_WET_WET	17106
190	NoChumpChange	17039
191	Iagoku	16995
192	anbbang	16951
193	Hyugo	16895
194	__Fanda__	16844
195	fluddd	16836
196	Mistruth	16646
197	TheThomas69	16638
198	mawileite	16570
199	masskedman	16525
200	Quotary	16523
201	Sheldor097	16050
202	XxCookiequeenxX	16003
203	OfficerAnvil	15932
204	Strangemonkey71	15801
205	Dan_Scha	15564
206	301851	15409
207	MakeHistory157	15389
208	RobotMinion101	15383
209	theonlymagikarp	15304
210	Notta	15251
211	Zaridey	15117
212	4774	15112
213	_8man	14924
214	prizm_	14836
215	_stets	14756
216	The_slideV3	14724
217	AuroraSkies	14333
218	mariominejedi	14170
219	Rebytre	14128
220	walll	14075
221	StinkyDiplomat	13972
222	6king6colt6	13885
223	Warlord324	13659
224	Yahir091	13476
225	DC_XII	13350
226	Dusk_95	13003
227	andy_rex	12998
228	CalebDHawk	12810
229	Deodorante	12651
230	Historical_Sand	12560
231	GlitchyPlate810	12550
232	Yatitay	12450
233	FreddyFart	12210
234	H72l9w	12168
235	obzii	12167
236	trexgb	12073
237	IAmTheWalrus910	12009
238	Dreamdbr14	11858
239	Malorn_Aetherius	11832
240	UrbanPlanner1978	11799
241	censorsheep	11784
242	soundad	11781
242	Syropatathe	11781
244	Truckoss	11675
245	Alexanderjac	11580
246	jacxhadow	11350
247	Meatlaugh	11321
248	MustaLoordi	11289
249	BobDeBouwer1337	11282
250	youhjjhhhjj	11227
251	_Dri_	11220
252	UncreativeArtist	11187
253	kinas45y5	11152
254	radioactv_jelly	11124
255	K_a__a_n	11103
256	livingdaydreams	11019
257	HyperCave	10968
258	Covalents	10909
259	mafiKiwi	10870
260	Kakolbus	10429
261	FishisTTV	10416
262	Darkgon	10358
263	Fuhrer_Teemo	10277
264	Airem_Core	10273
265	epiksk8erduck	10182
266	VentiHilton	10084
267	beeleg	10062
268	fkGrim	9824
269	Kouridragon	9803
270	Nycteus_	9780
271	Kowcio_	9750
272	07shiny	9709
273	RoskobiOne	9520
274	Sabby65	9483
275	ImDisconnected_	9390
276	crying_wolf_13	9368
277	CyrusIsTired	9279
277	djancak	9279
279	DarlaMeow	9256
280	FirsTimeGamingTV	9240
281	lotarp	9187
282	nocturne78	9177
283	fffMike	9008
284	Nicky19	8991
285	Cryptacity	8949
286	pixelviolin	8854
287	Quaintster	8847
288	Z3braYTIL	8829
289	TheEnderman548	8785
290	00000000-0000-0000-0009-01ff0c3e5e4f	8742
291	UCP_TheKingK	8735
292	CaptainDeadBread	8648
293	Flores991	8602
294	YungWali	8579
295	NinjaKnifeKill	8577
296	oreee	8554
297	Kkanot	8552
298	Bandito_Roamer	8498
299	Jackster03	8368
300	Sqwishy	8341
