rank	username	minecraft:used/minecraft:emerald_block
1	pintsizedrogue	9943
2	MilleGrug	8140
3	thewindmillman	4903
4	Segotep999	4027
5	_i_ERROR_i_	3812
6	Kowcio_	3280
7	AdmiralSmoke	3172
8	EcksD	2875
9	Spacewardharpy7	2814
10	SvenskaHugo	2609
11	EMC_	2251
12	diamondgolem35	1586
13	fw3xy74	1558
14	SquadMonster	1521
15	Skylord_Luke	1428
16	SmashingPump	1414
17	pixelviolin	1359
18	k_ce	1338
19	Werbe	1326
20	12Magner05	1296
21	NoChumpChange	1103
22	Lez_	1087
23	joethahobo	1058
24	Steve897	1013
25	TheSecondLord	980
26	CLG_Kata	948
27	Groovy_MoonBird	933
28	RebelAndroid	902
29	beeperbeeper5	842
30	Rebytre	832
31	SpacesickPrism	815
32	excelsionprime	808
33	OreTheBear	795
34	Secret_Canary	780
35	StinkyDiplomat	737
36	500am	731
37	Da_Boss_Rani	713
38	Manaateee	711
39	GooseWithin	709
40	Flapjacker687	697
41	Arceus1975	686
42	Nycteus_	643
43	PlzNoBM	625
44	Lutres_	609
45	dimondking777	601
46	ItsDeltaMC	584
47	ITDV	544
48	Buuck_	531
49	Sral7	518
50	AlexxO_o	512
51	mariominejedi	510
52	little_dUki	467
53	4774	462
54	noam464	447
55	ConnorDanky_	446
56	Steelynan	437
57	Smashic	414
58	Mattesco	400
59	Merv__	393
59	powercas_gamer	393
61	Enderxz3	392
62	Hyp3rion_	386
63	Flores991	380
64	NomadicRobin_	369
65	MinttyFressh	365
66	luseis	357
67	Ryker	340
68	MissCeleste7	335
69	AltnumberF4	333
70	TheOuterCore	331
71	Pundehoo	330
72	Fuad_R	319
73	Racengan	316
74	Jindong	307
75	Dogcorn69420	302
76	NieToksikpl	295
77	Snowflowe	285
78	eitanzaki	255
79	TheDumbHuman	252
80	Crowman1	241
81	Huwulling	236
82	ImpavidArcher	231
83	Fullut	223
84	KingEgg1	220
85	_Dri_	204
86	jessewegottacook	195
87	legal_tax_evader	193
88	Comma__	191
89	Alteriity	190
90	BartekB19	188
91	kekhon	182
91	PaperCanvas	182
93	Soplight	179
94	MightyWertu	175
95	Apollo_993	174
96	SlayerCrypto	168
