rank	username	minecraft:used/minecraft:experience_bottle
1	Jackattack53	5047
2	pintsizedrogue	4811
3	Blaiku	3654
4	PlasticOtari	3047
5	gcaisawesome	2800
6	Krowuss	2619
7	Hyp3rion_	2077
8	StarCookiees_	2033
9	eitanzaki	1781
10	Segotep999	1726
11	MattieHD	1517
12	Eraxa	1507
13	ECstardust	1147
14	THEKINGLyric10	1122
15	Smashic	942
16	Moss_2006	923
17	Frozil20	838
18	PigDab	825
19	TheSecondLord	799
20	corvidpartyfor6	793
21	Olib3ar	728
22	Mattesco	702
23	TheEnderMan548	700
24	Alteriity	620
25	shineh10	549
25	m_be9	549
27	SmashingPump	469
28	noam464	462
28	crashomon	462
30	500am	451
31	U_Mos_	448
32	ProbsNotNova	407
33	QuiCreans	388
34	_i_ERROR_i_	386
35	Akoot_	382
36	RebytreGT	375
37	Kowcio_	366
38	lorpus	355
39	KGTV	351
39	Jimb0nat0r	351
41	2extreeme	320
42	MrShojo	305
43	EdGalbraith	290
44	Yamdalorian	276
45	Manaateee	273
46	j5ylim	268
47	MakeHistory157	260
48	AuroraSkies	257
49	skitzxo	256
50	PazinGaming	243
51	luseis	241
52	YungMaki	232
53	bl1ss0	222
54	emreknugrlu	213
55	Awyrlas	197
56	pixelviolin	168
57	Di_infiri	160
58	BeastyBoi954911	152
58	_Mythic____	152
60	MinttyFressh	134
61	EcksD	128
62	Snowflowe	124
63	k_ce	120
64	diamondgolem35	117
65	Inbefour	116
66	FreakGenius	101
66	NATE_the_HALO	101
68	oscminus	100
69	claivin	98
70	Mahoose	97
71	HellsSponge	95
72	thewindmillman	89
73	Inchef	85
74	Mr_Byzantine	82
74	Bumpy419	82
76	Shogunite	80
77	TheOuterCore	78
78	DAD_1996	77
79	vandmanden	74
80	Lez_	72
80	Blackberry1310	72
80	Felenov	72
83	FiguraDei	70
83	starbits140	70
85	Buuck_	65
86	Swexti	64
86	Hetti301	64
86	Samificator	64
86	NomadicRobin_	64
86	Sorry_Arey	64
86	Lutres_	64
92	Leyraxos	62
92	Huwulling	62
92	Herkadoo	62
95	CLG_Kata	60
96	ConnorDanky_	57
97	TheBananaKat	55
98	RebelAndroid	48
98	KomputerDude	48
98	SkateboardR6	48
101	BPTY4618	47
102	Apollo_993	46
103	masskedman	36
104	HyperCave	35
105	QuesoCrusaderIII	33
106	brofrickcheaters	32
107	joethahobo	31
107	Historical_Sand	31
109	Mjolnir145	29
110	T045RTY	28
110	Juansinmiedo18	28
110	Nicserso	28
110	Enderxz3	28
114	Groovy_MoonBird	26
114	Racengan	26
116	ZaneABrain	25
117	Sleek_Storm_721	24
117	mattybeewrapss	24
117	XxCookiequeenxX	24
117	Dogcorn69420	24
117	Iamthejo	24
122	MrKrabOnCoke	22
123	beeperbeeper5	19
123	Kamflame	19
125	JollyDroopy52	18
126	DinoDoctor_	17
126	hanaryheatwave	17
128	TheImperial	16
128	AltnumberF4	16
130	Kkanot	15
