rank	username	minecraft:used/minecraft:firework_rocket
1	Hyp3rion_	236851
2	Jackattack53	117294
3	Kowcio_	73544
4	Segotep999	62692
5	Lez_	58600
6	Spacewardharpy7	49651
7	Mattesco	47155
8	Jimb0nat0r	44374
9	beeperbeeper5	44349
10	Manaateee	43939
11	ECstardust	43767
12	oscminus	41613
13	Yamdalorian	40606
14	noam464	37827
15	PlasticOtari	36219
16	Mahoose	35816
17	lordpipe	32463
18	PazinGaming	29698
19	Smashic	29506
20	joethahobo	28140
21	Spenduh	26329
22	weabis	23385
23	Huwulling	19996
24	pintsizedrogue	18236
25	StarCookiees_	17766
26	EcksD	17713
27	hanaryheatwave	17505
28	YungMaki	16674
29	EMC_	16392
30	wwwwinnebagoooo	16149
31	500am	15899
32	TheSecondLord	15528
33	k_ce	14850
34	_Mythic____	14466
35	Krowuss	14245
36	Secret_Canary	14102
37	12Magner05	13699
38	mihimihimihi	13667
39	luseis	13466
40	Alteriity	13408
41	MilleGrug	12870
42	Kakolbus	12568
43	Marbz_	12378
44	Inchef	12321
45	_Huge_Male_	12019
46	EdGalbraith	11867
47	Enderxz3	11190
48	PigDab	10966
49	Fuad_R	10643
50	eitanzaki	10409
51	TheKingK_	10104
52	skitzxo	9941
53	AlexxO_o	9836
54	SvenskaHugo	9820
55	CLG_Kata	9588
56	fffMike	9216
57	hm947	9000
58	crashomon	8776
59	Da_Boss_Rani	8599
60	Di_infiri	8551
61	MinttyFressh	8491
62	Steelynan	8018
63	KarlKaek	7992
64	non089	7660
65	Werbe	7628
66	OreTheBear	7606
67	Archsam	7391
68	fade_emerge78823	7339
69	RebytreGT	7327
70	diamondgolem35	6946
71	Merv__	6876
72	Apollo_993	6870
73	SpacesickPrism	6803
74	SingedBread	6546
75	MAns_44	6536
76	Lord_Jord	6244
77	pretty_pink_reno	6197
78	MSK__	5719
79	Mr_Byzantine	5696
80	AltnumberF4	5523
81	SmashingPump	5414
82	lorpus	5395
83	Winklepicker279	5266
84	_i_ERROR_i_	5204
85	Skylord_Luke	5174
86	powercas_gamer	5116
87	TheWildMateo	5079
88	zToasty69z	5009
89	Crowman1	5005
90	rarrq	4892
91	MattieHD	4730
92	skroobiez	4706
93	xxPipperDipperxx	4538
94	fw3xy74	4494
95	Groovy_MoonBird	4457
96	2blox_	4412
97	TheWickedBird	4395
98	tuckerdoodle	4329
99	fragrantmonke444	4222
100	HyperCave	3909
101	Soplight	3864
102	Historical_Sand	3842
103	EveryonesUncle	3836
104	Hetti301	3735
105	HolyVenom	3710
106	TheSandwhich_	3642
107	obzii	3639
108	SuperPooch06	3598
109	gcaisawesome	3588
109	CattSoup	3588
111	catandmoose	3582
112	blackeemperor	3489
113	CoffeeNoir	3481
114	bl1ss0	3475
115	NATE_the_HALO	3472
116	TheDankPlatypus	3329
117	hermmm_	3327
118	NomadicRobin_	3320
119	shineh10	3300
120	myaccountwasgone	3294
121	Lutres_	3264
122	pixelviolin	3224
123	Masssonnn	3176
124	Dakar_	3153
125	ImpavidArcher	3127
126	fluddd	3075
127	Blackberry1310	3066
128	Hydro___________	3008
129	tsitrawhy	2963
130	iSammael	2895
131	Elastiq	2885
132	SyntheticSurgeon	2798
133	lorywithay	2773
134	Wowful	2751
135	StinkyDiplomat	2706
136	thewindmillman	2704
137	RebelAndroid	2696
138	Buuck_	2694
139	Iamthejo	2681
140	ZaneABrain	2663
141	GooseWithin	2659
142	Nicserso	2618
143	Samificator	2445
144	Jonafrog99	2442
145	ElectricDragon81	2394
146	4774	2355
147	Blu3beast	2345
148	TheBananaKat	2337
149	Legendosh	2318
150	WET_WET_WET	2314
151	ItsDeltaMC	2312
152	HellsSponge	2299
153	MuffinManzz	2283
153	IdeallyGrey	2283
155	NameGenerat0r	2273
156	Gus2005	2256
157	TheEnderMan548	2254
158	ConnorDanky_	2206
159	T045RTY	2203
160	LeEricc	2136
161	emreknugrlu	2111
162	Napoleonpancake	2076
163	Boipl	2060
164	FishisTTV	2047
165	Eraxa	2033
166	Jimi7hits	1925
167	r123moore	1920
168	dimondking777	1897
169	Auseawesome	1895
170	NumbaOneMunch	1884
171	Pumpkin_P_Patch	1858
172	QuiCreans	1849
173	NieToksikpl	1843
174	Luminad3	1831
175	cyrusisntgay	1814
176	Mr_Froxy	1738
177	H0UNDFRMH3LL	1735
178	Chromary	1725
179	PaperCanvas	1713
180	Fullbit_	1693
181	Touched_Bread	1675
182	masskedman	1641
183	Flores991	1625
184	prizm_	1603
185	ApophisNova	1585
186	_Dean_123	1584
187	BPTY4618	1582
188	Blaiku	1576
189	Aryamanee	1546
190	teslawolf38	1545
191	kekhon	1532
192	censorsheep	1505
193	AstreaTSS	1498
194	CollinMH06	1472
195	excelsionprime	1468
196	MyNamaSheff	1467
197	QuesoCrusaderIII	1465
198	Arceus1975	1439
198	ZeroKraken	1439
200	KingEgg1	1438
201	Z3braYTIL	1425
202	akap47	1417
203	Killercatty78	1380
