rank	username	minecraft:used/minecraft:golden_boots
1	Lorcout	22
2	Kowcio_	13
3	steppe_nomad	12
4	lorpus	10
5	Mahoose	8
5	Mattesco	8
5	DairyNickel756	8
8	Moss_2006	6
8	robonya_	6
10	Jekyll	5
11	Auseawesome	4
11	Secret_Canary	4
11	Jimb0nat0r	4
14	CLG_Kata	3
14	SuperPooch06	3
14	Hyp3rion_	3
14	LovableFemboy	3
18	EdaterPure	2
18	TheSecondLord	2
18	Fullut	2
18	Juansinmiedo18	2
18	noam464	2
18	craaaash	2
18	oscminus	2
18	Werbe	2
18	Hahaa_0	2
18	DJzombiehunter	2
18	Dakar_	2
18	cutelilreno	2
18	TheWickedBird	2
31	GGabrielSauce	1
31	k_ce	1
31	Runic_Owl	1
31	robertsnose	1
31	ECstardust	1
31	diamondgolem35	1
31	noobo_	1
31	R0cketmanstan	1
31	Lez_	1
31	beeperbeeper5	1
31	MattieHD	1
31	ArdaAslan02	1
31	knarian	1
31	IKeepDying	1
31	Inchef	1
31	benediktine1	1
31	bl1ss0	1
31	TheInfernoPup	1
31	thebaddruid	1
31	BronkerBrum	1
31	zToasty69z	1
31	Akoot_	1
31	That_tech_head	1
31	luseis	1
31	Dynamax	1
31	ykgelatina	1
31	Gus2005	1
31	_flud	1
31	PixelatedBoss	1
31	BeeMunch	1
31	zKaneki	1
31	nagyvad	1
31	NiveauSubmarine	1
31	IlkeCookes_	1
31	IdeallyGrey	1
31	Pumpkin_P_Patch	1
31	Segotep999	1
31	_i_ERROR_i_	1
31	Eczbek	1
31	elliebelle107	1
31	kaiwill0w	1
31	chiakirice	1
31	Spaghettatron	1
